"Year Level","Qualification","Region","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Participant Count","Cohort Warning"
"13","NCEA Level 1","Wellington","2022","0","0.989","0.015","4753","71","4806",""
"13","NCEA Level 1","Wellington","2023","0","0.99","0.019","4683","88","4729",""
"13","NCEA Level 1","Wellington","2024","0","0.978","0.029","4942","145","5053",""
"13","NCEA Level 1","West Coast","2015","0","0.971","0.054","198","11","204",""
"13","NCEA Level 1","West Coast","2016","0","0.995","0.051","197","10","198",""
"13","NCEA Level 1","West Coast","2017","0","0.988","0.025","160","4","162",""
"13","NCEA Level 1","West Coast","2018","0","0.986","0.033","210","7","213",""
"13","NCEA Level 1","West Coast","2019","0","0.971","0.039","199","8","205",""
"13","NCEA Level 1","West Coast","2020","0","0.974","0.026","186","5","191",""
"13","NCEA Level 1","West Coast","2021","0","0.984","0.032","182","6","185",""
"13","NCEA Level 1","West Coast","2022","0","0.988","0.037","160","6","162",""
"13","NCEA Level 1","West Coast","2023","0","0.968","0.016","183","3","189",""
"13","NCEA Level 1","West Coast","2024","0","0.989","0.043","182","8","184",""
