Secondary Subject,Level,Ethnicity,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Classical Studies,Level 2,Middle Eastern/Latin American/African,2023,63,105,0.056,71,0.056,306,0.134,0.317,0.33,0.219,41,97,101,67,
Classical Studies,Level 2,Middle Eastern/Latin American/African,2024,74,117,0.055,70,0.049,327,0.131,0.343,0.269,0.257,43,112,88,84,
Classical Studies,Level 2,Pacific Peoples,2015,86,335,0.038,223,0.038,1008,0.256,0.422,0.226,0.096,258,425,228,97,
Classical Studies,Level 2,Pacific Peoples,2016,90,373,0.041,285,0.047,1190,0.245,0.392,0.249,0.115,291,466,296,137,
Classical Studies,Level 2,Pacific Peoples,2017,94,433,0.047,270,0.045,1210,0.303,0.378,0.207,0.112,367,457,251,135,
Classical Studies,Level 2,Pacific Peoples,2018,86,370,0.042,232,0.039,1006,0.256,0.358,0.229,0.157,258,360,230,158,
Classical Studies,Level 2,Pacific Peoples,2019,90,347,0.039,185,0.032,900,0.256,0.393,0.218,0.133,230,354,196,120,
Classical Studies,Level 2,Pacific Peoples,2020,85,303,0.033,184,0.032,805,0.282,0.394,0.216,0.108,227,317,174,87,
Classical Studies,Level 2,Pacific Peoples,2021,91,359,0.04,147,0.027,815,0.252,0.429,0.207,0.112,205,350,169,91,
Classical Studies,Level 2,Pacific Peoples,2022,89,276,0.031,124,0.022,655,0.256,0.382,0.221,0.14,168,250,145,92,
Classical Studies,Level 2,Pacific Peoples,2023,98,319,0.034,167,0.028,811,0.253,0.361,0.239,0.147,205,293,194,119,
Classical Studies,Level 2,Pacific Peoples,2024,93,303,0.027,157,0.023,801,0.211,0.422,0.257,0.11,169,338,206,88,
Classical Studies,Level 3,Asian,2015,141,672,0.086,615,0.093,2414,0.149,0.32,0.259,0.272,359,772,626,657,
Classical Studies,Level 3,Asian,2016,150,778,0.094,688,0.1,2681,0.148,0.286,0.283,0.283,397,766,758,760,
Classical Studies,Level 3,Asian,2017,130,763,0.084,653,0.087,2593,0.145,0.297,0.273,0.284,376,771,709,737,
Classical Studies,Level 3,Asian,2018,129,705,0.074,599,0.076,2311,0.16,0.304,0.257,0.279,370,702,594,645,
Classical Studies,Level 3,Asian,2019,126,607,0.062,506,0.066,1967,0.148,0.277,0.277,0.298,291,545,545,586,
Classical Studies,Level 3,Asian,2020,134,660,0.064,472,0.06,1937,0.157,0.302,0.259,0.282,304,585,501,547,
Classical Studies,Level 3,Asian,2021,125,696,0.068,526,0.065,2137,0.113,0.289,0.287,0.311,242,617,614,664,
Classical Studies,Level 3,Asian,2022,115,534,0.052,370,0.047,1561,0.159,0.266,0.29,0.286,248,415,452,446,
Classical Studies,Level 3,Asian,2023,121,581,0.058,455,0.059,1809,0.153,0.306,0.268,0.273,276,554,485,494,
Classical Studies,Level 3,Asian,2024,127,629,0.05,492,0.052,1928,0.105,0.311,0.291,0.293,202,600,562,564,
Classical Studies,Level 3,European,2015,207,3657,0.117,3052,0.121,12230,0.178,0.333,0.265,0.225,2174,4070,3236,2750,
Classical Studies,Level 3,European,2016,222,3627,0.116,2955,0.119,11733,0.183,0.315,0.268,0.234,2143,3692,3149,2749,
Classical Studies,Level 3,European,2017,202,3339,0.102,2592,0.102,10443,0.176,0.31,0.275,0.24,1835,3236,2870,2502,
Classical Studies,Level 3,European,2018,198,3121,0.095,2395,0.096,9559,0.183,0.302,0.263,0.252,1747,2884,2516,2412,
Classical Studies,Level 3,European,2019,191,2918,0.088,2231,0.091,8892,0.161,0.31,0.273,0.256,1433,2758,2424,2277,
Classical Studies,Level 3,European,2020,185,2605,0.078,1643,0.067,7223,0.159,0.298,0.258,0.285,1150,2153,1862,2058,
Classical Studies,Level 3,European,2021,181,2716,0.08,1856,0.075,7816,0.13,0.294,0.274,0.302,1016,2296,2145,2359,
Classical Studies,Level 3,European,2022,167,2449,0.075,1536,0.066,6795,0.169,0.284,0.266,0.281,1150,1931,1806,1908,
Classical Studies,Level 3,European,2023,168,2584,0.081,1795,0.075,7472,0.155,0.305,0.283,0.257,1155,2282,2114,1921,
Classical Studies,Level 3,European,2024,170,2605,0.075,1864,0.073,7651,0.139,0.3,0.284,0.277,1064,2296,2173,2118,
Classical Studies,Level 3,M?ori,2015,163,588,0.066,415,0.069,1758,0.25,0.361,0.234,0.155,439,634,412,273,
Classical Studies,Level 3,M?ori,2016,172,645,0.07,448,0.073,1908,0.267,0.342,0.215,0.177,509,652,410,337,
Classical Studies,Level 3,M?ori,2017,179,661,0.068,420,0.065,1863,0.267,0.34,0.234,0.158,498,634,436,295,
Classical Studies,Level 3,M?ori,2018,163,620,0.063,425,0.067,1733,0.249,0.319,0.252,0.18,432,552,437,312,
Classical Studies,Level 3,M?ori,2019,150,518,0.052,340,0.054,1457,0.238,0.323,0.244,0.196,347,470,355,285,
Classical Studies,Level 3,M?ori,2020,145,482,0.049,228,0.039,1206,0.222,0.321,0.241,0.216,268,387,291,260,
Classical Studies,Level 3,M?ori,2021,153,466,0.047,261,0.043,1204,0.217,0.345,0.24,0.199,261,415,289,239,
Classical Studies,Level 3,M?ori,2022,138,427,0.042,202,0.035,1045,0.284,0.32,0.198,0.198,297,334,207,207,
Classical Studies,Level 3,M?ori,2023,141,443,0.045,250,0.041,1144,0.235,0.327,0.227,0.211,269,374,260,241,
Classical Studies,Level 3,M?ori,2024,143,480,0.043,278,0.04,1256,0.234,0.334,0.247,0.185,294,420,310,232,
Classical Studies,Level 3,Middle Eastern/Latin American/African,2015,68,103,0.104,89,0.114,350,0.203,0.34,0.254,0.203,71,119,89,71,
Classical Studies,Level 3,Middle Eastern/Latin American/African,2016,55,102,0.101,83,0.104,327,0.205,0.287,0.297,0.211,67,94,97,69,
Classical Studies,Level 3,Middle Eastern/Latin American/African,2017,56,108,0.1,83,0.098,338,0.192,0.311,0.293,0.204,65,105,99,69,
Classical Studies,Level 3,Middle Eastern/Latin American/African,2018,55,105,0.091,82,0.093,321,0.243,0.287,0.255,0.215,78,92,82,69,
Classical Studies,Level 3,Middle Eastern/Latin American/African,2019,55,102,0.086,76,0.087,316,0.266,0.373,0.225,0.136,84,118,71,43,
Classical Studies,Level 3,Middle Eastern/Latin American/African,2020,55,103,0.081,69,0.074,289,0.159,0.37,0.225,0.246,46,107,65,71,
Classical Studies,Level 3,Middle Eastern/Latin American/African,2021,58,91,0.071,63,0.067,272,0.132,0.349,0.276,0.243,36,95,75,66,
Classical Studies,Level 3,Middle Eastern/Latin American/African,2022,52,77,0.057,46,0.047,211,0.209,0.289,0.256,0.246,44,61,54,52,
Classical Studies,Level 3,Middle Eastern/Latin American/African,2023,63,106,0.08,73,0.074,304,0.168,0.303,0.26,0.27,51,92,79,82,
Classical Studies,Level 3,Middle Eastern/Latin American/African,2024,65,116,0.072,91,0.078,354,0.147,0.288,0.328,0.237,52,102,116,84,
Classical Studies,Level 3,Pacific Peoples,2015,114,451,0.078,340,0.081,1370,0.301,0.371,0.218,0.11,412,508,299,151,
Classical Studies,Level 3,Pacific Peoples,2016,126,432,0.072,293,0.068,1246,0.316,0.359,0.205,0.12,394,447,256,149,
Classical Studies,Level 3,Pacific Peoples,2017,108,477,0.077,353,0.079,1429,0.289,0.372,0.226,0.113,413,531,323,162,
Classical Studies,Level 3,Pacific Peoples,2018,100,388,0.06,281,0.062,1127,0.303,0.361,0.221,0.115,341,407,249,130,
Classical Studies,Level 3,Pacific Peoples,2019,109,388,0.06,236,0.053,1054,0.309,0.331,0.226,0.134,326,349,238,141,
Classical Studies,Level 3,Pacific Peoples,2020,110,355,0.053,172,0.039,882,0.289,0.355,0.227,0.129,255,313,200,114,
Classical Studies,Level 3,Pacific Peoples,2021,100,333,0.049,160,0.036,810,0.254,0.421,0.195,0.13,206,341,158,105,
Classical Studies,Level 3,Pacific Peoples,2022,86,235,0.035,113,0.027,585,0.333,0.33,0.2,0.137,195,193,117,80,
Classical Studies,Level 3,Pacific Peoples,2023,94,298,0.044,156,0.035,770,0.303,0.332,0.218,0.147,233,256,168,113,
Classical Studies,Level 3,Pacific Peoples,2024,92,311,0.041,177,0.036,793,0.274,0.343,0.218,0.165,217,272,173,131,
Commerce,Level 1,Asian,2024,223,2959,0.239,1784,0.243,7502,0.124,0.32,0.316,0.24,932,2400,2373,1797,
Commerce,Level 1,European,2024,251,8906,0.229,6008,0.223,24565,0.127,0.379,0.31,0.184,3108,9307,7624,4526,
Commerce,Level 1,M?ori,2024,245,2408,0.133,1341,0.128,6054,0.23,0.436,0.231,0.103,1393,2639,1396,626,
Commerce,Level 1,Middle Eastern/Latin American/African,2024,144,358,0.21,214,0.214,923,0.148,0.399,0.272,0.181,137,368,251,167,
Commerce,Level 1,Pacific Peoples,2024,214,1559,0.152,875,0.14,3926,0.231,0.46,0.22,0.089,906,1805,865,350,
Cook Islands Maori,Level 1,Asian,2017,,,,,,3,,,,,,,,,Small Cohort
Cook Islands Maori,Level 1,Asian,2018,2,5,0,2,0,12,0.167,0.333,0.25,0.25,2,4,3,3,Small Cohort
Cook Islands Maori,Level 1,Asian,2019,,,,,,4,,,,,,,,,Small Cohort
Cook Islands Maori,Level 1,Asian,2023,,,,,,2,,,,,,,,,Small Cohort
Cook Islands Maori,Level 1,European,2015,5,14,0,12,0,54,0.13,0.278,0.167,0.426,7,15,9,23,
Cook Islands Maori,Level 1,European,2016,5,10,0,10,0,42,0.071,0.405,0.214,0.31,3,17,9,13,
Cook Islands Maori,Level 1,European,2017,6,8,0,7,0,31,0.161,0.194,0.419,0.226,5,6,13,7,
Cook Islands Maori,Level 1,European,2018,5,6,0,4,0,20,0.1,0.15,0.15,0.6,2,3,3,12,Small Cohort
Cook Islands Maori,Level 1,European,2019,3,3,0,2,0,10,0.2,0.3,0.2,0.3,2,3,2,3,Small Cohort
Cook Islands Maori,Level 1,European,2020,3,4,0,3,0,13,0.385,0,0.308,0.308,5,0,4,4,Small Cohort
Cook Islands Maori,Level 1,European,2021,3,22,0,19,0.001,94,0.085,0.553,0.33,0.032,8,52,31,3,
Cook Islands Maori,Level 1,European,2022,3,4,0,2,0,10,0.3,0.4,0.3,0,3,4,3,0,Small Cohort
Cook Islands Maori,Level 1,European,2023,,,,,,3,,,,,,,,,Small Cohort
Cook Islands Maori,Level 1,M?ori,2015,2,6,0,4,0,19,0.053,0.579,0.368,0,1,11,7,0,Small Cohort
Cook Islands Maori,Level 1,M?ori,2016,4,13,0.001,8,0.001,37,0.27,0.514,0.162,0.054,10,19,6,2,
Cook Islands Maori,Level 1,M?ori,2017,1,5,0,3,0,15,0.2,0.333,0.2,0.267,3,5,3,4,Small Cohort
Cook Islands Maori,Level 1,M?ori,2018,3,16,0.001,11,0.001,42,0.214,0.524,0.167,0.095,9,22,7,4,
Cook Islands Maori,Level 1,M?ori,2019,1,9,0,7,0.001,23,0.261,0.696,0.043,0,6,16,1,0,Small Cohort
Cook Islands Maori,Level 1,M?ori,2020,4,11,0.001,4,0,25,0.6,0.2,0,0.2,15,5,0,5,Small Cohort
Cook Islands Maori,Level 1,M?ori,2021,2,4,0,0,0,5,0.4,0.2,0,0.4,2,1,0,2,Small Cohort
Cook Islands Maori,Level 1,M?ori,2022,,,,,,3,,,,,,,,,Small Cohort
Cook Islands Maori,Level 1,M?ori,2023,1,4,0,0,0,6,0.333,0.667,0,0,2,4,0,0,Small Cohort
Cook Islands Maori,Level 1,Pacific Peoples,2015,12,111,0.012,90,0.013,418,0.084,0.28,0.246,0.39,35,117,103,163,
Cook Islands Maori,Level 1,Pacific Peoples,2016,11,118,0.013,104,0.015,487,0.107,0.285,0.228,0.38,52,139,111,185,
Cook Islands Maori,Level 1,Pacific Peoples,2017,11,136,0.015,120,0.017,582,0.107,0.287,0.218,0.388,62,167,127,226,
Cook Islands Maori,Level 1,Pacific Peoples,2018,11,129,0.015,113,0.017,506,0.128,0.2,0.259,0.413,65,101,131,209,
Cook Islands Maori,Level 1,Pacific Peoples,2019,11,159,0.016,133,0.019,595,0.156,0.289,0.239,0.316,93,172,142,188,
Cook Islands Maori,Level 1,Pacific Peoples,2020,12,128,0.01,105,0.015,482,0.118,0.357,0.32,0.205,57,172,154,99,
Cook Islands Maori,Level 1,Pacific Peoples,2021,11,113,0.009,93,0.014,443,0.099,0.438,0.223,0.239,44,194,99,106,
Cook Islands Maori,Level 1,Pacific Peoples,2022,5,46,0.004,38,0.005,173,0.064,0.376,0.329,0.231,11,65,57,40,
Cook Islands Maori,Level 1,Pacific Peoples,2023,2,7,0,0,0,11,0.273,0.636,0.091,0,3,7,1,0,Small Cohort
Cook Islands Maori,Level 2,Asian,2024,,,,,,2,,,,,,,,,Small Cohort
Cook Islands Maori,Level 2,European,2015,3,6,0,5,0,26,0,0.038,0.077,0.885,0,1,2,23,Small Cohort
Cook Islands Maori,Level 2,European,2016,2,11,0,7,0,35,0.114,0.286,0.057,0.543,4,10,2,19,
Cook Islands Maori,Level 2,European,2017,2,5,0,4,0,22,0,0.227,0.227,0.545,0,5,5,12,Small Cohort
Cook Islands Maori,Level 2,European,2018,3,4,0,3,0,13,0,0.308,0.154,0.538,0,4,2,7,Small Cohort
Cook Islands Maori,Level 2,European,2019,3,6,0,6,0,24,0.125,0.125,0.25,0.5,3,3,6,12,Small Cohort
Cook Islands Maori,Level 2,European,2020,,,,,,2,,,,,,,,,Small Cohort
Cook Islands Maori,Level 2,European,2021,,,,,,2,,,,,,,,,Small Cohort
Cook Islands Maori,Level 2,European,2022,2,7,0,4,0,21,0.381,0.238,0.333,0.048,8,5,7,1,Small Cohort
Cook Islands Maori,Level 2,European,2023,2,4,0,2,0,11,0,0.364,0.273,0.364,0,4,3,4,Small Cohort
Cook Islands Maori,Level 2,European,2024,,,,,,2,,,,,,,,,Small Cohort
Cook Islands Maori,Level 2,M?ori,2015,2,7,0,4,0,16,0,0.875,0.125,0,0,14,2,0,Small Cohort
Cook Islands Maori,Level 2,M?ori,2016,2,8,0.001,7,0.001,24,0.333,0.542,0.083,0.042,8,13,2,1,Small Cohort
Cook Islands Maori,Level 2,M?ori,2017,2,5,0,1,0,13,0,0.462,0.308,0.231,0,6,4,3,Small Cohort
Cook Islands Maori,Level 2,M?ori,2018,1,2,0,1,0,5,0,0.8,0.2,0,0,4,1,0,Small Cohort
Cook Islands Maori,Level 2,M?ori,2019,2,4,0,1,0,9,0.222,0.778,0,0,2,7,0,0,Small Cohort
Cook Islands Maori,Level 2,M?ori,2020,1,4,0,2,0,8,0.375,0.375,0.25,0,3,3,2,0,Small Cohort
Cook Islands Maori,Level 2,M?ori,2021,,,,,,4,,,,,,,,,Small Cohort
Cook Islands Maori,Level 2,M?ori,2023,,,,,,3,,,,,,,,,Small Cohort
Cook Islands Maori,Level 2,M?ori,2024,3,6,0,2,0,11,0.273,0.273,0.182,0.273,3,3,2,3,Small Cohort
Cook Islands Maori,Level 2,Pacific Peoples,2015,8,96,0.011,78,0.013,366,0.077,0.183,0.216,0.525,28,67,79,192,
Cook Islands Maori,Level 2,Pacific Peoples,2016,8,98,0.011,65,0.011,328,0.061,0.204,0.18,0.555,20,67,59,182,
Cook Islands Maori,Level 2,Pacific Peoples,2017,8,76,0.008,65,0.011,322,0.05,0.155,0.211,0.584,16,50,68,188,
Cook Islands Maori,Level 2,Pacific Peoples,2018,8,88,0.01,77,0.013,348,0.092,0.112,0.213,0.583,32,39,74,203,
Cook Islands Maori,Level 2,Pacific Peoples,2019,8,95,0.011,79,0.014,365,0.126,0.195,0.214,0.466,46,71,78,170,
Cook Islands Maori,Level 2,Pacific Peoples,2020,9,83,0.009,69,0.012,305,0.138,0.272,0.282,0.308,42,83,86,94,
Cook Islands Maori,Level 2,Pacific Peoples,2021,9,90,0.01,64,0.012,309,0.194,0.311,0.246,0.249,60,96,76,77,
Cook Islands Maori,Level 2,Pacific Peoples,2022,8,95,0.011,69,0.013,342,0.254,0.292,0.263,0.19,87,100,90,65,
Cook Islands Maori,Level 2,Pacific Peoples,2023,6,89,0.009,72,0.012,321,0.218,0.364,0.209,0.209,70,117,67,67,
Cook Islands Maori,Level 2,Pacific Peoples,2024,8,79,0.007,56,0.008,266,0.113,0.297,0.278,0.312,30,79,74,83,
Cook Islands Maori,Level 3,Asian,2019,,,,,,0,,,,,,,,,Small Cohort
Cook Islands Maori,Level 3,European,2015,2,4,0,3,0,15,0.133,0,0.2,0.667,2,0,3,10,Small Cohort
Cook Islands Maori,Level 3,European,2016,2,7,0,3,0,19,0,0.053,0.158,0.789,0,1,3,15,Small Cohort
Cook Islands Maori,Level 3,European,2017,2,5,0,4,0,19,0,0.053,0.053,0.895,0,1,1,17,Small Cohort
Cook Islands Maori,Level 3,European,2018,2,5,0,3,0,15,0.133,0.267,0.133,0.467,2,4,2,7,Small Cohort
Cook Islands Maori,Level 3,European,2019,3,5,0,4,0,17,0.118,0.235,0.118,0.529,2,4,2,9,Small Cohort
Cook Islands Maori,Level 3,European,2020,3,5,0,3,0,16,0.125,0.188,0.188,0.5,2,3,3,8,Small Cohort
Cook Islands Maori,Level 3,European,2021,3,3,0,2,0,11,0.091,0.273,0.182,0.455,1,3,2,5,Small Cohort
Cook Islands Maori,Level 3,European,2022,,,,,,4,,,,,,,,,Small Cohort
Cook Islands Maori,Level 3,European,2023,1,2,0,1,0,6,0.833,0,0.167,0,5,0,1,0,Small Cohort
Cook Islands Maori,Level 3,European,2024,,,,,,4,,,,,,,,,Small Cohort
Cook Islands Maori,Level 3,M?ori,2015,2,3,0,0,0,8,0,1,0,0,0,8,0,0,Small Cohort
Cook Islands Maori,Level 3,M?ori,2016,2,5,0.001,0,0,8,0.25,0.625,0.125,0,2,5,1,0,Small Cohort
Cook Islands Maori,Level 3,M?ori,2017,,,,,,4,,,,,,,,,Small Cohort
Cook Islands Maori,Level 3,M?ori,2018,2,5,0.001,2,0,14,0.071,0.357,0.214,0.357,1,5,3,5,Small Cohort
Cook Islands Maori,Level 3,M?ori,2019,1,4,0,0,0,8,0.125,0.5,0.375,0,1,4,3,0,Small Cohort
Cook Islands Maori,Level 3,M?ori,2020,2,4,0,3,0.001,10,0.2,0.3,0.1,0.4,2,3,1,4,Small Cohort
Cook Islands Maori,Level 3,M?ori,2021,2,3,0,1,0,8,0.375,0.125,0.125,0.375,3,1,1,3,Small Cohort
Cook Islands Maori,Level 3,M?ori,2022,1,3,0,2,0,7,0.857,0,0.143,0,6,0,1,0,Small Cohort
Cook Islands Maori,Level 3,M?ori,2024,,,,,,4,,,,,,,,,Small Cohort
Cook Islands Maori,Level 3,Pacific Peoples,2015,6,49,0.008,41,0.01,215,0.047,0.144,0.195,0.614,10,31,42,132,
Cook Islands Maori,Level 3,Pacific Peoples,2016,8,93,0.015,50,0.012,297,0.047,0.145,0.202,0.606,14,43,60,180,
Cook Islands Maori,Level 3,Pacific Peoples,2017,7,55,0.009,43,0.01,217,0.065,0.12,0.207,0.608,14,26,45,132,
Cook Islands Maori,Level 3,Pacific Peoples,2018,7,62,0.01,51,0.011,228,0.061,0.162,0.132,0.645,14,37,30,147,
Cook Islands Maori,Level 3,Pacific Peoples,2019,8,68,0.01,46,0.01,229,0.035,0.105,0.157,0.703,8,24,36,161,
Cook Islands Maori,Level 3,Pacific Peoples,2020,8,70,0.01,61,0.014,263,0.103,0.236,0.202,0.46,27,62,53,121,
Cook Islands Maori,Level 3,Pacific Peoples,2021,8,64,0.009,44,0.01,213,0.136,0.23,0.207,0.427,29,49,44,91,
Cook Islands Maori,Level 3,Pacific Peoples,2022,6,50,0.007,37,0.009,163,0.196,0.276,0.294,0.233,32,45,48,38,
Cook Islands Maori,Level 3,Pacific Peoples,2023,8,63,0.009,35,0.008,192,0.188,0.344,0.25,0.219,36,66,48,42,
Cook Islands Maori,Level 3,Pacific Peoples,2024,5,52,0.007,42,0.008,202,0.173,0.337,0.252,0.238,35,68,51,48,
Dance,Level 1,Asian,2015,70,254,0.025,161,0.019,811,0.069,0.284,0.276,0.371,56,230,224,301,
Dance,Level 1,Asian,2016,90,292,0.028,188,0.021,933,0.059,0.249,0.312,0.38,55,232,291,355,
Dance,Level 1,Asian,2017,103,352,0.033,205,0.023,1015,0.086,0.248,0.32,0.346,87,252,325,351,
Dance,Level 1,Asian,2018,104,358,0.032,188,0.021,968,0.051,0.258,0.343,0.348,49,250,332,337,
Dance,Level 1,Asian,2019,116,480,0.036,210,0.023,1147,0.064,0.266,0.317,0.353,73,305,364,405,
Dance,Level 1,Asian,2020,111,485,0.033,208,0.024,1147,0.052,0.253,0.332,0.363,60,290,381,416,
Dance,Level 1,Asian,2021,104,368,0.027,183,0.024,928,0.041,0.228,0.303,0.428,38,212,281,397,
Dance,Level 1,Asian,2022,89,325,0.023,165,0.021,838,0.054,0.218,0.284,0.444,45,183,238,372,
Dance,Level 1,Asian,2023,121,467,0.029,230,0.024,1192,0.085,0.255,0.336,0.324,101,304,401,386,
Dance,Level 1,Asian,2024,101,506,0.041,263,0.036,1121,0.103,0.271,0.338,0.288,115,304,379,323,
Dance,Level 1,European,2015,142,1437,0.032,941,0.025,4598,0.071,0.257,0.289,0.383,328,1182,1327,1761,
Dance,Level 1,European,2016,153,1666,0.038,1051,0.028,5296,0.075,0.23,0.3,0.395,396,1217,1590,2093,
Dance,Level 1,European,2017,165,1718,0.041,1050,0.029,5218,0.062,0.225,0.311,0.401,323,1175,1625,2095,
Dance,Level 1,European,2018,173,1817,0.044,1145,0.032,5543,0.051,0.229,0.307,0.412,284,1270,1704,2285,
Dance,Level 1,European,2019,180,2004,0.039,1041,0.029,5302,0.058,0.257,0.283,0.402,305,1365,1502,2130,
Dance,Level 1,European,2020,178,1982,0.034,995,0.029,5205,0.053,0.239,0.293,0.414,278,1244,1526,2157,
Dance,Level 1,European,2021,180,1676,0.029,973,0.029,4557,0.045,0.226,0.301,0.427,204,1032,1373,1948,
Dance,Level 1,European,2022,167,1463,0.025,832,0.024,4053,0.06,0.216,0.294,0.43,243,875,1193,1742,
Dance,Level 1,European,2023,179,1654,0.03,882,0.025,4428,0.052,0.214,0.281,0.454,229,946,1244,2009,
Dance,Level 1,European,2024,150,1301,0.033,754,0.028,3187,0.094,0.277,0.297,0.331,301,883,947,1056,
Dance,Level 1,M?ori,2015,140,816,0.046,418,0.033,2190,0.123,0.317,0.265,0.295,270,695,580,645,
Dance,Level 1,M?ori,2016,141,1035,0.059,464,0.036,2695,0.12,0.316,0.275,0.289,324,852,740,779,
Dance,Level 1,M?ori,2017,160,1040,0.062,395,0.032,2489,0.113,0.277,0.281,0.329,281,690,700,818,
Dance,Level 1,M?ori,2018,155,987,0.061,386,0.033,2338,0.087,0.276,0.292,0.346,203,645,682,808,
Dance,Level 1,M?ori,2019,172,1171,0.059,329,0.028,2410,0.097,0.297,0.286,0.321,233,715,689,773,
Dance,Level 1,M?ori,2020,160,1118,0.051,339,0.03,2320,0.117,0.306,0.25,0.326,272,710,581,757,
Dance,Level 1,M?ori,2021,161,1046,0.046,383,0.033,2280,0.091,0.298,0.256,0.355,208,679,583,810,
Dance,Level 1,M?ori,2022,152,922,0.04,308,0.026,2039,0.102,0.275,0.262,0.361,207,560,535,737,
Dance,Level 1,M?ori,2023,168,1276,0.052,309,0.025,2551,0.084,0.279,0.232,0.405,215,712,591,1033,
Dance,Level 1,M?ori,2024,142,933,0.052,253,0.024,1622,0.123,0.295,0.25,0.331,200,479,406,537,
Dance,Level 1,Middle Eastern/Latin American/African,2015,34,45,0.033,32,0.03,158,0.057,0.297,0.272,0.373,9,47,43,59,
Dance,Level 1,Middle Eastern/Latin American/African,2016,37,57,0.041,41,0.037,189,0.069,0.265,0.344,0.323,13,50,65,61,
Dance,Level 1,Middle Eastern/Latin American/African,2017,41,63,0.047,42,0.039,206,0.053,0.301,0.291,0.354,11,62,60,73,
Dance,Level 1,Middle Eastern/Latin American/African,2018,45,65,0.049,40,0.037,194,0.124,0.278,0.278,0.32,24,54,54,62,
Dance,Level 1,Middle Eastern/Latin American/African,2019,41,58,0.031,29,0.025,147,0.095,0.299,0.306,0.299,14,44,45,44,
Dance,Level 1,Middle Eastern/Latin American/African,2020,51,85,0.039,48,0.041,240,0.063,0.233,0.35,0.354,15,56,84,85,
Dance,Level 1,Middle Eastern/Latin American/African,2021,40,59,0.027,32,0.028,154,0.052,0.273,0.325,0.351,8,42,50,54,
Dance,Level 1,Middle Eastern/Latin American/African,2022,45,61,0.027,30,0.025,159,0.069,0.252,0.245,0.434,11,40,39,69,
Dance,Level 1,Middle Eastern/Latin American/African,2023,47,64,0.028,34,0.025,177,0.062,0.22,0.35,0.367,11,39,62,65,
Dance,Level 1,Middle Eastern/Latin American/African,2024,41,54,0.032,29,0.029,124,0.081,0.298,0.339,0.282,10,37,42,35,
Dance,Level 1,Pacific Peoples,2015,112,1001,0.111,291,0.042,2096,0.09,0.255,0.295,0.36,188,535,618,755,
Dance,Level 1,Pacific Peoples,2016,125,1240,0.139,347,0.049,2648,0.099,0.231,0.269,0.402,262,611,711,1064,
Dance,Level 1,Pacific Peoples,2017,129,1289,0.145,306,0.043,2498,0.08,0.235,0.3,0.385,200,587,749,962,
Dance,Level 1,Pacific Peoples,2018,137,1499,0.176,379,0.056,2958,0.056,0.227,0.282,0.434,166,672,835,1285,
Dance,Level 1,Pacific Peoples,2019,137,1461,0.143,317,0.045,2802,0.067,0.239,0.296,0.399,188,669,828,1117,
Dance,Level 1,Pacific Peoples,2020,133,1546,0.124,334,0.049,2954,0.085,0.27,0.276,0.369,251,797,816,1090,
Dance,Level 1,Pacific Peoples,2021,133,1323,0.109,308,0.046,2483,0.058,0.25,0.287,0.405,144,620,713,1006,
Dance,Level 1,Pacific Peoples,2022,127,1220,0.093,281,0.04,2386,0.079,0.241,0.282,0.397,189,576,674,947,
Dance,Level 1,Pacific Peoples,2023,137,1819,0.13,313,0.041,3318,0.075,0.22,0.273,0.432,248,730,905,1435,
Dance,Level 1,Pacific Peoples,2024,118,1284,0.125,274,0.044,2095,0.108,0.292,0.27,0.33,227,612,565,691,
Dance,Level 2,Asian,2015,74,191,0.017,91,0.011,558,0.1,0.262,0.341,0.297,56,146,190,166,
Dance,Level 2,Asian,2016,79,350,0.029,132,0.015,906,0.067,0.211,0.351,0.371,61,191,318,336,
Dance,Level 2,Asian,2017,93,327,0.026,128,0.014,868,0.045,0.241,0.336,0.378,39,209,292,328,
Dance,Level 2,Asian,2018,93,394,0.031,122,0.013,882,0.073,0.303,0.333,0.291,64,267,294,257,
Dance,Level 2,Asian,2019,104,401,0.031,146,0.015,967,0.075,0.29,0.283,0.352,73,280,274,340,
Dance,Level 2,Asian,2020,99,352,0.028,142,0.015,882,0.065,0.27,0.291,0.374,57,238,257,330,
Dance,Level 2,Asian,2021,98,301,0.025,130,0.015,760,0.032,0.239,0.309,0.42,24,182,235,319,
Dance,Level 2,Asian,2022,96,273,0.024,109,0.013,711,0.049,0.21,0.322,0.419,35,149,229,298,
Dance,Level 2,Asian,2023,108,493,0.036,164,0.017,1123,0.064,0.258,0.308,0.37,72,290,346,415,
Dance,Level 2,Asian,2024,128,582,0.035,233,0.019,1462,0.057,0.257,0.322,0.363,84,376,471,531,
Dance,Level 2,European,2015,145,1049,0.025,678,0.021,3833,0.072,0.208,0.3,0.42,276,797,1151,1609,
Dance,Level 2,European,2016,157,1099,0.026,617,0.019,3719,0.065,0.19,0.279,0.466,240,708,1039,1732,
Dance,Level 2,European,2017,169,1274,0.029,716,0.022,4381,0.062,0.214,0.285,0.439,272,938,1248,1923,
