Secondary Subject,Level,Ethnicity,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Agricultural and Horticultural Science,Level 2,European,2022,124,1761,0.042,705,0.024,4985,0.202,0.386,0.226,0.186,1005,1924,1129,927,
Agricultural and Horticultural Science,Level 2,European,2023,129,1887,0.044,759,0.024,5503,0.2,0.41,0.223,0.168,1098,2257,1225,923,
Agricultural and Horticultural Science,Level 2,European,2024,121,1765,0.039,675,0.021,5021,0.2,0.393,0.213,0.195,1002,1971,1068,980,
Agricultural and Horticultural Science,Level 2,M?ori,2015,73,263,0.018,75,0.008,658,0.394,0.383,0.158,0.065,259,252,104,43,
Agricultural and Horticultural Science,Level 2,M?ori,2016,91,389,0.026,74,0.008,770,0.327,0.445,0.162,0.065,252,343,125,50,
Agricultural and Horticultural Science,Level 2,M?ori,2017,89,347,0.023,68,0.007,714,0.352,0.431,0.141,0.076,251,308,101,54,
Agricultural and Horticultural Science,Level 2,M?ori,2018,93,359,0.025,61,0.007,749,0.382,0.426,0.121,0.071,286,319,91,53,
Agricultural and Horticultural Science,Level 2,M?ori,2019,92,321,0.022,55,0.006,652,0.334,0.469,0.121,0.075,218,306,79,49,
Agricultural and Horticultural Science,Level 2,M?ori,2020,99,408,0.028,65,0.008,781,0.383,0.396,0.133,0.088,299,309,104,69,
Agricultural and Horticultural Science,Level 2,M?ori,2021,98,405,0.027,68,0.008,815,0.318,0.471,0.129,0.082,259,384,105,67,
Agricultural and Horticultural Science,Level 2,M?ori,2022,93,413,0.028,67,0.008,826,0.356,0.42,0.144,0.08,294,347,119,66,
Agricultural and Horticultural Science,Level 2,M?ori,2023,111,470,0.029,103,0.011,1063,0.317,0.439,0.15,0.094,337,467,159,100,
Agricultural and Horticultural Science,Level 2,M?ori,2024,94,427,0.024,92,0.009,930,0.319,0.406,0.177,0.097,297,378,165,90,
Agricultural and Horticultural Science,Level 2,Middle Eastern/Latin American/African,2015,17,21,0.015,4,0.004,40,0.375,0.325,0.3,0,15,13,12,0,
Agricultural and Horticultural Science,Level 2,Middle Eastern/Latin American/African,2016,18,24,0.017,6,0.006,51,0.412,0.431,0.078,0.078,21,22,4,4,
Agricultural and Horticultural Science,Level 2,Middle Eastern/Latin American/African,2017,8,11,0.007,4,0.004,27,0.111,0.407,0.222,0.259,3,11,6,7,Small Cohort
Agricultural and Horticultural Science,Level 2,Middle Eastern/Latin American/African,2018,16,21,0.014,6,0.006,41,0.39,0.439,0.146,0.024,16,18,6,1,
Agricultural and Horticultural Science,Level 2,Middle Eastern/Latin American/African,2019,15,21,0.014,4,0.004,40,0.225,0.35,0.275,0.15,9,14,11,6,
Agricultural and Horticultural Science,Level 2,Middle Eastern/Latin American/African,2020,15,21,0.013,4,0.004,39,0.256,0.41,0.179,0.154,10,16,7,6,
Agricultural and Horticultural Science,Level 2,Middle Eastern/Latin American/African,2021,16,30,0.018,5,0.004,52,0.365,0.404,0.096,0.135,19,21,5,7,
Agricultural and Horticultural Science,Level 2,Middle Eastern/Latin American/African,2022,14,19,0.011,2,0.002,35,0.514,0.257,0.086,0.143,18,9,3,5,
Agricultural and Horticultural Science,Level 2,Middle Eastern/Latin American/African,2023,19,31,0.017,5,0.004,57,0.333,0.421,0.105,0.14,19,24,6,8,
Agricultural and Horticultural Science,Level 2,Middle Eastern/Latin American/African,2024,18,41,0.019,3,0.002,58,0.276,0.379,0.241,0.103,16,22,14,6,
Agricultural and Horticultural Science,Level 2,Pacific Peoples,2015,34,96,0.011,29,0.005,246,0.337,0.48,0.138,0.045,83,118,34,11,
Agricultural and Horticultural Science,Level 2,Pacific Peoples,2016,41,126,0.014,22,0.004,234,0.38,0.444,0.154,0.021,89,104,36,5,
Agricultural and Horticultural Science,Level 2,Pacific Peoples,2017,39,129,0.014,9,0.001,205,0.322,0.517,0.127,0.034,66,106,26,7,
Agricultural and Horticultural Science,Level 2,Pacific Peoples,2018,41,103,0.012,9,0.002,181,0.431,0.453,0.077,0.039,78,82,14,7,
Agricultural and Horticultural Science,Level 2,Pacific Peoples,2019,42,124,0.014,38,0.007,289,0.374,0.433,0.135,0.059,108,125,39,17,
Agricultural and Horticultural Science,Level 2,Pacific Peoples,2020,49,192,0.021,37,0.006,347,0.424,0.36,0.144,0.072,147,125,50,25,
Agricultural and Horticultural Science,Level 2,Pacific Peoples,2021,49,147,0.016,34,0.006,312,0.353,0.452,0.103,0.093,110,141,32,29,
