Secondary Subject,Level,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Social Studies,Level 2,2017,85,1915,0.026,1105,0.021,5393,0.223,0.311,0.219,0.247,1201,1678,1182,1332,
Social Studies,Level 2,2018,81,1916,0.027,953,0.019,4906,0.226,0.28,0.231,0.263,1107,1376,1131,1292,
Social Studies,Level 2,2019,97,2120,0.03,943,0.019,5005,0.23,0.288,0.214,0.267,1152,1443,1073,1337,
Social Studies,Level 2,2020,95,2298,0.032,944,0.019,5348,0.201,0.291,0.221,0.286,1077,1556,1184,1531,
Social Studies,Level 2,2021,92,2145,0.031,1106,0.023,5453,0.16,0.271,0.226,0.343,874,1477,1231,1871,
Social Studies,Level 2,2022,99,2420,0.036,1093,0.024,5761,0.213,0.311,0.189,0.287,1228,1792,1089,1652,
Social Studies,Level 2,2023,96,2204,0.031,1063,0.022,5412,0.214,0.313,0.207,0.266,1160,1693,1118,1441,
Social Studies,Level 2,2024,87,2181,0.028,1184,0.022,5661,0.226,0.3,0.202,0.272,1277,1701,1141,1542,
Social Studies,Level 3,2015,77,1897,0.038,1380,0.035,6028,0.233,0.327,0.223,0.216,1402,1974,1347,1305,
Social Studies,Level 3,2016,77,1895,0.037,1492,0.038,6158,0.216,0.331,0.212,0.241,1332,2039,1306,1481,
Social Studies,Level 3,2017,84,2105,0.04,1579,0.039,6493,0.211,0.307,0.208,0.274,1373,1994,1349,1777,
Social Studies,Level 3,2018,87,2203,0.041,1572,0.039,6505,0.207,0.325,0.202,0.266,1344,2115,1315,1731,
Social Studies,Level 3,2019,97,2408,0.045,1650,0.042,6838,0.218,0.306,0.218,0.258,1493,2090,1491,1764,
Social Studies,Level 3,2020,102,2202,0.041,1570,0.041,6374,0.165,0.318,0.228,0.288,1054,2028,1454,1838,
Social Studies,Level 3,2021,85,2536,0.046,1710,0.043,7046,0.138,0.318,0.214,0.331,971,2239,1506,2330,
Social Studies,Level 3,2022,93,2476,0.046,1707,0.046,7022,0.178,0.304,0.206,0.313,1247,2132,1445,2198,
Social Studies,Level 3,2023,91,2229,0.043,1668,0.044,6675,0.171,0.315,0.208,0.307,1139,2100,1389,2047,
Social Studies,Level 3,2024,96,2380,0.041,1742,0.042,7136,0.177,0.312,0.211,0.3,1265,2225,1507,2139,
Spanish,Level 1,2015,99,1335,0.018,1180,0.02,5376,0.105,0.271,0.3,0.324,563,1458,1615,1740,
Spanish,Level 1,2016,129,1438,0.02,1258,0.021,5742,0.103,0.246,0.329,0.322,590,1411,1890,1851,
Spanish,Level 1,2017,108,1386,0.02,1226,0.021,5570,0.089,0.266,0.325,0.32,494,1484,1808,1784,
Spanish,Level 1,2018,104,1546,0.022,1298,0.023,5844,0.087,0.265,0.319,0.33,506,1548,1862,1928,
Spanish,Level 1,2019,122,1673,0.02,1326,0.023,5976,0.106,0.259,0.3,0.335,636,1547,1790,2003,
Spanish,Level 1,2020,109,1657,0.017,1232,0.023,5617,0.092,0.263,0.309,0.336,514,1477,1738,1888,
Spanish,Level 1,2021,106,1378,0.015,1090,0.021,4896,0.049,0.233,0.3,0.418,238,1142,1468,2048,
Spanish,Level 1,2022,99,1188,0.013,951,0.018,4295,0.079,0.26,0.307,0.354,339,1117,1318,1521,
Spanish,Level 1,2023,104,1206,0.013,959,0.017,4324,0.076,0.269,0.301,0.353,330,1165,1302,1527,
Spanish,Level 1,2024,85,1000,0.015,689,0.016,2961,0.097,0.295,0.314,0.294,287,873,931,870,
Spanish,Level 2,2015,91,574,0.008,530,0.01,2390,0.079,0.269,0.298,0.354,189,643,712,846,
Spanish,Level 2,2016,106,693,0.01,635,0.012,2871,0.099,0.264,0.311,0.327,284,757,892,938,
Spanish,Level 2,2017,102,705,0.01,627,0.012,2827,0.085,0.242,0.31,0.364,239,683,877,1028,
Spanish,Level 2,2018,99,654,0.009,592,0.012,2659,0.083,0.263,0.311,0.343,220,700,826,913,
Spanish,Level 2,2019,95,740,0.01,657,0.013,2901,0.095,0.248,0.301,0.356,276,720,872,1033,
Spanish,Level 2,2020,102,709,0.01,625,0.013,2742,0.086,0.261,0.285,0.368,237,715,781,1009,
Spanish,Level 2,2021,100,665,0.01,571,0.012,2533,0.066,0.223,0.305,0.406,167,566,772,1028,
Spanish,Level 2,2022,99,643,0.009,552,0.012,2437,0.079,0.237,0.305,0.379,192,577,744,924,
Spanish,Level 2,2023,99,687,0.01,599,0.012,2629,0.088,0.275,0.283,0.353,232,724,744,929,
Spanish,Level 2,2024,96,689,0.009,597,0.011,2580,0.091,0.261,0.298,0.35,236,673,769,902,
Spanish,Level 3,2015,79,441,0.009,394,0.01,1846,0.092,0.239,0.296,0.373,170,441,547,688,
Spanish,Level 3,2016,87,365,0.007,329,0.008,1537,0.101,0.236,0.264,0.399,156,362,406,613,
Spanish,Level 3,2017,75,455,0.009,406,0.01,1860,0.09,0.254,0.279,0.377,167,472,519,702,
Spanish,Level 3,2018,90,491,0.009,433,0.011,1968,0.121,0.268,0.26,0.35,239,528,512,689,
Spanish,Level 3,2019,85,456,0.008,388,0.01,1758,0.126,0.239,0.282,0.353,222,420,495,621,
Spanish,Level 3,2020,94,505,0.009,374,0.01,1839,0.095,0.221,0.274,0.411,175,406,503,755,
Spanish,Level 3,2021,85,434,0.008,362,0.009,1641,0.041,0.18,0.289,0.49,68,295,474,804,
Spanish,Level 3,2022,79,430,0.008,356,0.01,1614,0.076,0.232,0.294,0.398,122,374,475,643,
Spanish,Level 3,2023,83,428,0.008,357,0.009,1609,0.101,0.241,0.275,0.383,162,388,442,617,
Spanish,Level 3,2024,84,456,0.008,374,0.009,1695,0.083,0.239,0.278,0.401,140,405,471,679,
Te Ao Haka,Level 1,2023,156,2708,0.029,622,0.011,4628,0.063,0.348,0.237,0.352,291,1610,1099,1628,
Te Ao Haka,Level 1,2024,211,2816,0.042,676,0.016,5100,0.11,0.383,0.254,0.253,562,1953,1296,1289,
Te Ao Haka,Level 2,2023,138,2097,0.029,418,0.008,3357,0.071,0.278,0.212,0.439,238,933,711,1475,
Te Ao Haka,Level 2,2024,176,1937,0.024,536,0.01,3636,0.133,0.3,0.232,0.336,482,1090,844,1220,
Te Ao Haka,Level 3,2023,110,792,0.015,473,0.013,2114,0.064,0.226,0.296,0.414,136,478,625,875,
Te Ao Haka,Level 3,2024,145,1066,0.018,547,0.013,2579,0.096,0.297,0.257,0.35,247,766,663,903,
Te Reo Maori,Level 1,2015,313,3347,0.045,2463,0.041,11558,0.208,0.355,0.248,0.189,2403,4100,2866,2189,
Te Reo Maori,Level 1,2016,316,3417,0.047,2313,0.039,11100,0.201,0.352,0.267,0.18,2228,3911,2965,1996,
Te Reo Maori,Level 1,2017,327,3549,0.05,2401,0.041,11442,0.193,0.351,0.255,0.202,2203,4014,2918,2307,
Te Reo Maori,Level 1,2018,320,3404,0.049,2242,0.04,10649,0.177,0.357,0.28,0.185,1888,3803,2984,1974,
Te Reo Maori,Level 1,2019,324,3989,0.047,2439,0.043,11683,0.196,0.347,0.271,0.185,2294,4056,3169,2164,
Te Reo Maori,Level 1,2020,332,3965,0.042,2063,0.038,10755,0.149,0.348,0.279,0.224,1605,3744,2996,2410,
Te Reo Maori,Level 1,2021,332,4123,0.044,2322,0.044,11729,0.14,0.35,0.278,0.232,1644,4109,3257,2719,
Te Reo Maori,Level 1,2022,329,4037,0.043,2185,0.041,11086,0.183,0.346,0.266,0.205,2033,3835,2945,2273,
Te Reo Maori,Level 1,2023,320,4641,0.049,2431,0.044,12295,0.164,0.369,0.273,0.193,2019,4541,3356,2379,
Te Reo Maori,Level 1,2024,295,4352,0.065,2125,0.049,10624,0.193,0.397,0.255,0.155,2047,4218,2710,1649,
Te Reo Maori,Level 2,2015,270,2053,0.029,1377,0.027,6726,0.208,0.345,0.252,0.194,1401,2321,1698,1306,
Te Reo Maori,Level 2,2016,291,2088,0.029,1320,0.025,6511,0.208,0.351,0.254,0.186,1357,2287,1653,1214,
Te Reo Maori,Level 2,2017,290,2061,0.028,1378,0.027,6671,0.202,0.342,0.264,0.192,1348,2279,1760,1284,
Te Reo Maori,Level 2,2018,290,2127,0.03,1335,0.027,6529,0.205,0.325,0.274,0.196,1337,2125,1787,1280,
Te Reo Maori,Level 2,2019,291,2298,0.032,1490,0.03,6943,0.205,0.335,0.272,0.188,1420,2326,1891,1306,
Te Reo Maori,Level 2,2020,284,2395,0.034,1285,0.026,6729,0.185,0.341,0.257,0.218,1243,2294,1728,1464,
Te Reo Maori,Level 2,2021,305,2363,0.034,1384,0.029,6864,0.146,0.338,0.278,0.238,1000,2323,1909,1632,
Te Reo Maori,Level 2,2022,305,2611,0.039,1450,0.032,7247,0.188,0.321,0.276,0.215,1359,2327,2000,1561,
Te Reo Maori,Level 2,2023,300,2824,0.039,1662,0.034,7945,0.187,0.349,0.268,0.196,1484,2769,2133,1559,
Te Reo Maori,Level 2,2024,306,3155,0.04,1818,0.034,8954,0.167,0.345,0.276,0.212,1491,3093,2470,1900,
Te Reo Maori,Level 3,2015,238,1400,0.028,946,0.024,4526,0.235,0.296,0.254,0.215,1064,1340,1149,973,
Te Reo Maori,Level 3,2016,251,1448,0.029,956,0.024,4530,0.206,0.325,0.253,0.216,935,1472,1144,979,
Te Reo Maori,Level 3,2017,249,1433,0.027,977,0.024,4643,0.209,0.313,0.249,0.229,969,1451,1158,1065,
Te Reo Maori,Level 3,2018,248,1422,0.027,857,0.021,4215,0.182,0.327,0.268,0.223,766,1380,1129,940,
Te Reo Maori,Level 3,2019,264,1661,0.031,927,0.024,4733,0.177,0.3,0.269,0.254,838,1420,1273,1202,
Te Reo Maori,Level 3,2020,263,1793,0.033,888,0.023,4731,0.161,0.319,0.259,0.261,762,1511,1223,1235,
Te Reo Maori,Level 3,2021,255,1698,0.031,1027,0.026,4864,0.143,0.303,0.282,0.273,694,1472,1372,1326,
Te Reo Maori,Level 3,2022,267,1755,0.033,937,0.025,4786,0.196,0.302,0.261,0.241,939,1444,1251,1152,
Te Reo Maori,Level 3,2023,264,1844,0.035,1114,0.03,5297,0.186,0.301,0.272,0.242,983,1595,1439,1280,
Te Reo Maori,Level 3,2024,265,2130,0.037,1285,0.031,6076,0.167,0.315,0.26,0.258,1016,1911,1581,1568,
Te Reo Maori Kuki Airani,Level 1,2024,11,174,0.003,91,0.002,464,0.144,0.358,0.269,0.228,67,166,125,106,
Te Reo Rangatira,Level 1,2015,39,442,0.006,269,0.005,2156,0.176,0.358,0.314,0.153,379,771,676,330,
Te Reo Rangatira,Level 1,2016,39,399,0.005,274,0.005,2074,0.147,0.408,0.301,0.144,305,847,624,298,
Te Reo Rangatira,Level 1,2017,42,435,0.006,243,0.004,2077,0.183,0.36,0.284,0.173,381,747,590,359,
Te Reo Rangatira,Level 1,2018,45,392,0.006,183,0.003,1630,0.208,0.333,0.29,0.17,339,542,472,277,
Te Reo Rangatira,Level 1,2019,40,355,0.004,156,0.003,1412,0.125,0.37,0.273,0.232,176,523,386,327,
Te Reo Rangatira,Level 1,2020,36,385,0.004,175,0.003,1572,0.174,0.332,0.251,0.242,274,522,395,381,
Te Reo Rangatira,Level 1,2021,39,384,0.004,206,0.004,1609,0.143,0.279,0.3,0.278,230,449,483,447,
Te Reo Rangatira,Level 1,2022,37,436,0.005,233,0.004,1824,0.2,0.34,0.27,0.19,364,620,493,347,
Te Reo Rangatira,Level 1,2023,38,377,0.004,115,0.002,1357,0.241,0.325,0.231,0.203,327,441,313,276,
Te Reo Rangatira,Level 1,2024,26,265,0.004,153,0.004,739,0.233,0.326,0.217,0.225,172,241,160,166,
Te Reo Rangatira,Level 2,2015,48,336,0.005,233,0.005,1673,0.121,0.414,0.269,0.196,202,693,450,328,
Te Reo Rangatira,Level 2,2016,43,340,0.005,275,0.005,1779,0.165,0.397,0.256,0.182,293,706,456,324,
Te Reo Rangatira,Level 2,2017,45,373,0.005,269,0.005,1772,0.17,0.364,0.278,0.188,302,645,492,333,
Te Reo Rangatira,Level 2,2018,41,358,0.005,239,0.005,1543,0.203,0.369,0.219,0.209,314,569,338,322,
Te Reo Rangatira,Level 2,2019,49,353,0.005,171,0.003,1213,0.153,0.316,0.312,0.219,185,383,379,266,
Te Reo Rangatira,Level 2,2020,49,323,0.005,177,0.004,1233,0.107,0.375,0.292,0.226,132,462,360,279,
Te Reo Rangatira,Level 2,2021,50,297,0.004,174,0.004,1181,0.145,0.294,0.306,0.256,171,347,361,302,
Te Reo Rangatira,Level 2,2022,46,368,0.005,179,0.004,1350,0.091,0.274,0.347,0.288,123,370,468,389,
Te Reo Rangatira,Level 2,2023,50,350,0.005,168,0.003,1311,0.229,0.338,0.249,0.185,300,443,326,242,
Te Reo Rangatira,Level 2,2024,51,442,0.006,235,0.004,1713,0.139,0.312,0.312,0.237,238,534,535,406,
Te Reo Rangatira,Level 3,2015,57,316,0.006,198,0.005,1513,0.126,0.32,0.312,0.242,191,484,472,366,
Te Reo Rangatira,Level 3,2016,46,304,0.006,204,0.005,1400,0.134,0.322,0.331,0.213,188,451,463,298,
Te Reo Rangatira,Level 3,2017,57,368,0.007,238,0.006,1422,0.152,0.306,0.296,0.246,216,435,421,350,
Te Reo Rangatira,Level 3,2018,55,363,0.007,244,0.006,1450,0.152,0.322,0.292,0.234,221,467,423,339,
Te Reo Rangatira,Level 3,2019,53,326,0.006,203,0.005,1171,0.112,0.355,0.279,0.254,131,416,327,297,
Te Reo Rangatira,Level 3,2020,51,306,0.006,199,0.005,1138,0.139,0.307,0.304,0.25,158,349,346,285,
Te Reo Rangatira,Level 3,2021,55,311,0.006,188,0.005,1093,0.127,0.308,0.266,0.298,139,337,291,326,
Te Reo Rangatira,Level 3,2022,58,359,0.007,193,0.005,1254,0.14,0.262,0.275,0.322,176,329,345,404,
Te Reo Rangatira,Level 3,2023,51,351,0.007,200,0.005,1231,0.15,0.317,0.249,0.284,185,390,306,350,
Te Reo Rangatira,Level 3,2024,60,474,0.008,250,0.006,1575,0.204,0.297,0.265,0.233,322,468,418,367,
Technology,Level 1,2015,322,12734,0.172,3779,0.064,26477,0.225,0.389,0.197,0.19,5950,10294,5215,5018,
Technology,Level 1,2016,326,12203,0.167,3228,0.055,24509,0.216,0.378,0.198,0.208,5286,9258,4862,5103,
Technology,Level 1,2017,330,12222,0.172,3396,0.059,24972,0.211,0.376,0.201,0.211,5269,9394,5030,5279,
Technology,Level 1,2018,311,10724,0.154,2691,0.048,21182,0.188,0.394,0.206,0.212,3973,8352,4362,4495,
Technology,Level 1,2019,293,9587,0.114,2428,0.043,18941,0.184,0.394,0.208,0.214,3482,7464,3933,4062,
Technology,Level 1,2020,282,8378,0.088,1805,0.033,15896,0.195,0.369,0.209,0.227,3096,5872,3320,3608,
Technology,Level 1,2021,283,8590,0.091,1892,0.036,16491,0.166,0.371,0.216,0.247,2743,6115,3564,4069,
Technology,Level 1,2022,276,8289,0.087,1892,0.036,15791,0.177,0.354,0.226,0.242,2801,5597,3572,3821,
Technology,Level 1,2023,260,8461,0.089,2147,0.038,16150,0.174,0.374,0.218,0.234,2811,6034,3520,3785,
Technology,Level 1,2024,,,,,,1,,,,,,,,,Small Cohort
Technology,Level 2,2015,299,7088,0.101,2277,0.044,14557,0.264,0.348,0.188,0.201,3837,5059,2733,2928,
Technology,Level 2,2016,307,7662,0.106,2281,0.044,15370,0.238,0.339,0.198,0.225,3656,5209,3046,3459,
Technology,Level 2,2017,315,7584,0.104,2029,0.039,14752,0.23,0.346,0.186,0.238,3392,5103,2743,3514,
Technology,Level 2,2018,313,7240,0.102,1809,0.036,13752,0.238,0.331,0.194,0.237,3276,4557,2666,3253,
Technology,Level 2,2019,287,6353,0.089,1518,0.031,11832,0.225,0.314,0.2,0.261,2661,3716,2361,3094,
Technology,Level 2,2020,281,5690,0.08,1240,0.025,10672,0.219,0.317,0.198,0.266,2335,3388,2108,2841,
Technology,Level 2,2021,283,5754,0.082,1185,0.025,10483,0.205,0.338,0.202,0.255,2152,3540,2117,2674,
Technology,Level 2,2022,260,5357,0.079,1065,0.023,9870,0.215,0.314,0.206,0.264,2123,3103,2037,2607,
Technology,Level 2,2023,272,6059,0.084,1379,0.028,11361,0.196,0.334,0.207,0.262,2224,3798,2357,2982,
Technology,Level 2,2024,258,6588,0.083,1534,0.029,12423,0.202,0.335,0.212,0.251,2510,4166,2632,3115,
Technology,Level 3,2015,299,5460,0.109,1665,0.043,11138,0.269,0.337,0.186,0.207,2995,3756,2076,2311,
Technology,Level 3,2016,297,5254,0.104,1471,0.038,10476,0.242,0.324,0.195,0.238,2539,3397,2044,2496,
Technology,Level 3,2017,299,5368,0.101,1581,0.039,10872,0.238,0.33,0.186,0.247,2584,3583,2019,2686,
Technology,Level 3,2018,293,5147,0.097,1458,0.036,10166,0.231,0.327,0.183,0.259,2348,3328,1858,2632,
Technology,Level 3,2019,279,4709,0.087,1249,0.032,9264,0.221,0.324,0.19,0.265,2051,3002,1760,2451,
Technology,Level 3,2020,273,4339,0.08,992,0.026,8149,0.219,0.311,0.176,0.295,1781,2533,1433,2402,
Technology,Level 3,2021,275,4208,0.077,1038,0.026,8141,0.2,0.289,0.197,0.313,1631,2353,1606,2551,
Technology,Level 3,2022,260,3776,0.071,933,0.025,7323,0.194,0.315,0.189,0.302,1418,2306,1385,2214,
Technology,Level 3,2023,257,3982,0.076,975,0.026,7591,0.205,0.319,0.185,0.291,1555,2425,1405,2206,
Technology,Level 3,2024,251,4515,0.078,1094,0.026,8610,0.201,0.316,0.193,0.289,1730,2722,1666,2492,
Technology - Construction and Mechanical Technologies,Level 1,2015,287,7037,0.095,116,0.002,9133,0.146,0.423,0.227,0.205,1332,3862,2070,1869,
Technology - Construction and Mechanical Technologies,Level 1,2016,283,6956,0.095,60,0.001,8834,0.126,0.412,0.223,0.24,1113,3637,1967,2117,
Technology - Construction and Mechanical Technologies,Level 1,2017,287,7026,0.099,89,0.002,8815,0.116,0.39,0.242,0.252,1023,3438,2134,2220,
Technology - Construction and Mechanical Technologies,Level 1,2018,280,6994,0.1,77,0.001,8960,0.146,0.383,0.228,0.243,1306,3434,2039,2181,
Technology - Construction and Mechanical Technologies,Level 1,2019,263,6838,0.081,74,0.001,8718,0.143,0.383,0.221,0.254,1243,3335,1925,2215,
Technology - Construction and Mechanical Technologies,Level 1,2020,254,6019,0.063,81,0.001,7400,0.143,0.375,0.212,0.27,1060,2778,1566,1996,
Technology - Construction and Mechanical Technologies,Level 1,2021,249,6179,0.066,90,0.002,7728,0.109,0.393,0.236,0.262,842,3039,1820,2027,
Technology - Construction and Mechanical Technologies,Level 1,2022,241,6233,0.066,101,0.002,7982,0.135,0.366,0.217,0.281,1081,2921,1734,2246,
Technology - Construction and Mechanical Technologies,Level 1,2023,233,6419,0.068,70,0.001,8046,0.121,0.369,0.227,0.283,973,2969,1823,2281,
Technology - Construction and Mechanical Technologies,Level 2,2015,247,3496,0.05,46,0.001,4537,0.197,0.353,0.216,0.234,893,1601,982,1061,
Technology - Construction and Mechanical Technologies,Level 2,2016,256,3618,0.05,42,0.001,4535,0.209,0.332,0.204,0.255,949,1506,924,1156,
Technology - Construction and Mechanical Technologies,Level 2,2017,254,3626,0.05,35,0.001,4442,0.188,0.339,0.215,0.258,834,1506,957,1145,
Technology - Construction and Mechanical Technologies,Level 2,2018,246,3506,0.049,36,0.001,4268,0.214,0.322,0.199,0.264,913,1376,851,1128,
Technology - Construction and Mechanical Technologies,Level 2,2019,228,3350,0.047,34,0.001,4059,0.183,0.309,0.229,0.28,741,1255,928,1135,
Technology - Construction and Mechanical Technologies,Level 2,2020,224,3189,0.045,4,0,3791,0.181,0.319,0.203,0.296,686,1211,770,1124,
Technology - Construction and Mechanical Technologies,Level 2,2021,209,3050,0.044,58,0.001,3669,0.186,0.318,0.208,0.289,681,1166,763,1059,
Technology - Construction and Mechanical Technologies,Level 2,2022,205,2965,0.044,42,0.001,3557,0.196,0.299,0.209,0.296,696,1063,744,1054,
Technology - Construction and Mechanical Technologies,Level 2,2023,207,3326,0.046,65,0.001,4023,0.194,0.307,0.2,0.299,779,1236,805,1203,
Technology - Construction and Mechanical Technologies,Level 2,2024,203,3444,0.043,15,0,4139,0.176,0.314,0.207,0.302,729,1301,857,1252,
Technology - Construction and Mechanical Technologies,Level 3,2015,238,2572,0.052,175,0.004,3786,0.236,0.341,0.187,0.236,895,1290,707,894,
Technology - Construction and Mechanical Technologies,Level 3,2016,237,2555,0.051,203,0.005,3820,0.228,0.32,0.181,0.271,871,1222,693,1034,
Technology - Construction and Mechanical Technologies,Level 3,2017,242,2777,0.052,253,0.006,4243,0.192,0.317,0.195,0.296,815,1344,827,1257,
Technology - Construction and Mechanical Technologies,Level 3,2018,225,2719,0.051,189,0.005,4009,0.216,0.306,0.196,0.282,867,1227,784,1131,
Technology - Construction and Mechanical Technologies,Level 3,2019,227,2630,0.049,244,0.006,3992,0.2,0.319,0.186,0.295,800,1273,743,1176,
Technology - Construction and Mechanical Technologies,Level 3,2020,215,2496,0.046,165,0.004,3680,0.169,0.318,0.186,0.327,622,1171,685,1202,
Technology - Construction and Mechanical Technologies,Level 3,2021,209,2290,0.042,213,0.005,3471,0.152,0.296,0.206,0.347,528,1026,714,1203,
Technology - Construction and Mechanical Technologies,Level 3,2022,193,2307,0.043,187,0.005,3446,0.172,0.281,0.213,0.335,591,967,734,1154,
Technology - Construction and Mechanical Technologies,Level 3,2023,203,2433,0.047,229,0.006,3678,0.173,0.288,0.203,0.336,636,1060,747,1235,
Technology - Construction and Mechanical Technologies,Level 3,2024,202,2622,0.045,293,0.007,3980,0.187,0.315,0.178,0.32,743,1255,707,1275,
Technology - Design and Visual Communication,Level 1,2015,321,8161,0.11,6032,0.101,37094,0.118,0.41,0.27,0.201,4387,15226,10012,7469,
Technology - Design and Visual Communication,Level 1,2016,322,8100,0.111,5938,0.1,36441,0.116,0.405,0.272,0.208,4210,14764,9903,7564,
Technology - Design and Visual Communication,Level 1,2017,318,7724,0.109,5538,0.096,33212,0.125,0.402,0.27,0.203,4143,13358,8976,6735,
Technology - Design and Visual Communication,Level 1,2018,309,7596,0.109,5358,0.095,31945,0.112,0.406,0.268,0.214,3582,12955,8572,6836,
Technology - Design and Visual Communication,Level 1,2019,306,7490,0.089,5097,0.09,30022,0.104,0.406,0.278,0.212,3114,12187,8345,6376,
Technology - Design and Visual Communication,Level 1,2020,285,7061,0.074,4445,0.082,26571,0.112,0.38,0.283,0.225,2979,10089,7526,5977,
Technology - Design and Visual Communication,Level 1,2021,277,6285,0.067,4039,0.076,23838,0.102,0.365,0.292,0.241,2427,8708,6963,5740,
Technology - Design and Visual Communication,Level 1,2022,266,6326,0.067,4003,0.076,23703,0.108,0.384,0.282,0.227,2552,9099,6683,5369,
Technology - Design and Visual Communication,Level 1,2023,245,6162,0.065,3887,0.07,22649,0.11,0.377,0.291,0.222,2491,8537,6587,5034,
Technology - Design and Visual Communication,Level 1,2024,211,4934,0.073,2965,0.069,12546,0.118,0.384,0.288,0.21,1480,4818,3616,2632,
Technology - Design and Visual Communication,Level 2,2015,298,4423,0.063,3190,0.062,16970,0.228,0.369,0.222,0.181,3867,6258,3775,3070,
Technology - Design and Visual Communication,Level 2,2016,305,4574,0.063,3169,0.061,16869,0.198,0.36,0.244,0.198,3344,6069,4124,3332,
Technology - Design and Visual Communication,Level 2,2017,302,4583,0.063,3076,0.059,16276,0.203,0.367,0.237,0.194,3296,5973,3854,3153,
Technology - Design and Visual Communication,Level 2,2018,286,4287,0.06,2828,0.056,14913,0.208,0.354,0.23,0.209,3099,5273,3428,3113,
Technology - Design and Visual Communication,Level 2,2019,287,4499,0.063,2846,0.057,14989,0.186,0.366,0.236,0.213,2787,5479,3533,3190,
Technology - Design and Visual Communication,Level 2,2020,276,4285,0.06,2562,0.052,13839,0.168,0.354,0.242,0.237,2322,4893,3345,3279,
Technology - Design and Visual Communication,Level 2,2021,270,4265,0.061,2401,0.051,13201,0.147,0.339,0.25,0.264,1946,4472,3303,3480,
Technology - Design and Visual Communication,Level 2,2022,268,3963,0.059,2312,0.05,12605,0.179,0.342,0.244,0.236,2252,4309,3072,2972,
Technology - Design and Visual Communication,Level 2,2023,257,4372,0.061,2642,0.054,14109,0.177,0.345,0.236,0.242,2500,4871,3329,3409,
Technology - Design and Visual Communication,Level 2,2024,260,4642,0.059,2834,0.053,14869,0.156,0.349,0.247,0.248,2323,5188,3666,3692,
Technology - Design and Visual Communication,Level 3,2015,257,2487,0.05,1671,0.043,7014,0.272,0.338,0.209,0.181,1910,2369,1464,1271,
Technology - Design and Visual Communication,Level 3,2016,263,2629,0.052,1738,0.044,7149,0.238,0.349,0.225,0.188,1701,2496,1607,1345,
Technology - Design and Visual Communication,Level 3,2017,260,2766,0.052,1719,0.043,7280,0.234,0.345,0.216,0.204,1705,2514,1574,1487,
Technology - Design and Visual Communication,Level 3,2018,259,2713,0.051,1697,0.042,7077,0.224,0.371,0.201,0.204,1588,2625,1419,1445,
Technology - Design and Visual Communication,Level 3,2019,251,2503,0.046,1648,0.042,6699,0.211,0.356,0.228,0.206,1414,2382,1526,1377,
Technology - Design and Visual Communication,Level 3,2020,242,2595,0.048,1468,0.038,6367,0.18,0.364,0.223,0.233,1144,2316,1423,1484,
Technology - Design and Visual Communication,Level 3,2021,247,2700,0.049,1544,0.039,6715,0.158,0.351,0.233,0.258,1062,2358,1562,1733,
Technology - Design and Visual Communication,Level 3,2022,258,2567,0.048,1496,0.04,6341,0.198,0.368,0.223,0.211,1256,2332,1413,1340,
Technology - Design and Visual Communication,Level 3,2023,236,2583,0.049,1563,0.041,6485,0.187,0.369,0.225,0.219,1214,2394,1457,1420,
Technology - Design and Visual Communication,Level 3,2024,236,2781,0.048,1622,0.039,6943,0.193,0.346,0.23,0.232,1338,2400,1595,1610,
Technology - Digital Technologies and Hangarau Matihiko,Level 1,2015,320,9880,0.134,4245,0.071,34009,0.22,0.353,0.22,0.207,7483,12005,7477,7044,
Technology - Digital Technologies and Hangarau Matihiko,Level 1,2016,324,9946,0.136,3939,0.067,33729,0.224,0.343,0.211,0.222,7550,11565,7119,7495,
Technology - Digital Technologies and Hangarau Matihiko,Level 1,2017,317,8934,0.126,3534,0.061,30343,0.197,0.354,0.213,0.235,5980,10749,6474,7140,
Technology - Digital Technologies and Hangarau Matihiko,Level 1,2018,312,8663,0.124,4532,0.08,30867,0.195,0.337,0.213,0.255,6005,10401,6589,7872,
Technology - Digital Technologies and Hangarau Matihiko,Level 1,2019,313,8096,0.096,5075,0.09,29804,0.196,0.336,0.204,0.264,5845,10015,6088,7856,
Technology - Digital Technologies and Hangarau Matihiko,Level 1,2020,317,7831,0.082,4437,0.082,26850,0.203,0.334,0.198,0.265,5449,8964,5323,7114,
Technology - Digital Technologies and Hangarau Matihiko,Level 1,2021,309,7318,0.078,4214,0.08,25205,0.179,0.326,0.209,0.285,4512,8219,5279,7195,
Technology - Digital Technologies and Hangarau Matihiko,Level 1,2022,310,7447,0.078,4366,0.083,26111,0.19,0.348,0.201,0.261,4964,9081,5244,6822,
Technology - Digital Technologies and Hangarau Matihiko,Level 1,2023,311,7911,0.084,4734,0.085,27605,0.184,0.337,0.201,0.278,5092,9297,5544,7672,
Technology - Digital Technologies and Hangarau Matihiko,Level 1,2024,274,6695,0.1,3603,0.083,16353,0.212,0.339,0.217,0.232,3469,5537,3555,3792,
Technology - Digital Technologies and Hangarau Matihiko,Level 2,2015,280,5435,0.077,2153,0.042,15747,0.254,0.335,0.197,0.215,3993,5276,3095,3383,
