Secondary Subject,Level,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Printmaking,Level 3,2024,95,541,0.009,349,0.008,1264,0.124,0.335,0.253,0.288,157,423,320,364,
Psychology,Level 1,2017,8,280,0.004,201,0.003,1086,0.089,0.282,0.289,0.34,97,306,314,369,
Psychology,Level 1,2018,16,583,0.008,343,0.006,1911,0.145,0.317,0.259,0.279,277,606,495,533,
Psychology,Level 1,2019,24,865,0.01,350,0.006,2172,0.129,0.287,0.247,0.337,280,624,537,731,
Psychology,Level 1,2020,32,1067,0.011,482,0.009,2857,0.149,0.282,0.266,0.303,425,806,761,865,
Psychology,Level 1,2021,34,1232,0.013,483,0.009,3036,0.131,0.286,0.265,0.318,398,868,805,965,
Psychology,Level 1,2022,29,1018,0.011,418,0.008,2512,0.108,0.3,0.277,0.315,272,754,695,791,
Psychology,Level 1,2023,25,811,0.009,336,0.006,2011,0.116,0.341,0.265,0.278,234,685,533,559,
Psychology,Level 2,2016,1,14,0,0,0,14,0,0.143,0.429,0.429,0,2,6,6,Small Cohort
Psychology,Level 2,2017,20,756,0.01,580,0.011,2857,0.107,0.216,0.254,0.422,307,617,726,1207,
Psychology,Level 2,2018,45,1201,0.017,709,0.014,4065,0.152,0.25,0.274,0.324,619,1015,1112,1319,
Psychology,Level 2,2019,43,1766,0.025,1017,0.02,5499,0.146,0.261,0.273,0.32,803,1436,1500,1760,
Psychology,Level 2,2020,59,2436,0.034,1336,0.027,7174,0.139,0.281,0.272,0.308,995,2016,1953,2210,
Psychology,Level 2,2021,61,2669,0.038,1453,0.031,8199,0.153,0.315,0.26,0.271,1256,2584,2133,2226,
Psychology,Level 2,2022,73,2836,0.042,1384,0.03,8180,0.166,0.305,0.258,0.271,1357,2496,2109,2218,
Psychology,Level 2,2023,79,3267,0.046,1805,0.037,9933,0.158,0.308,0.246,0.287,1573,3063,2443,2854,
Psychology,Level 2,2024,88,3725,0.047,2258,0.042,11853,0.147,0.298,0.247,0.307,1748,3534,2930,3641,
Psychology,Level 3,2017,4,133,0.003,0,0,133,0,0.331,0.233,0.436,0,44,31,58,
Psychology,Level 3,2018,26,769,0.014,529,0.013,2536,0.13,0.283,0.251,0.336,330,718,637,851,
Psychology,Level 3,2019,47,1163,0.022,822,0.021,3783,0.141,0.315,0.24,0.305,532,1191,908,1152,
Psychology,Level 3,2020,56,1756,0.032,1132,0.029,5677,0.135,0.305,0.246,0.313,769,1733,1397,1778,
Psychology,Level 3,2021,68,2241,0.041,1454,0.037,7085,0.107,0.333,0.25,0.31,756,2359,1774,2196,
Psychology,Level 3,2022,74,2341,0.044,1652,0.044,7552,0.155,0.352,0.244,0.248,1169,2661,1846,1876,
Psychology,Level 3,2023,75,2358,0.045,1828,0.048,7817,0.131,0.364,0.25,0.255,1025,2843,1955,1994,
Psychology,Level 3,2024,87,2693,0.047,2162,0.052,9260,0.118,0.345,0.25,0.287,1091,3196,2316,2657,
Putaiao,Level 1,2015,7,60,0.001,6,0,104,0.298,0.538,0.096,0.067,31,56,10,7,
Putaiao,Level 1,2016,10,56,0.001,0,0,89,0.292,0.36,0.202,0.146,26,32,18,13,
Putaiao,Level 1,2017,6,31,0,4,0,58,0.103,0.552,0.259,0.086,6,32,15,5,
Putaiao,Level 1,2018,6,20,0,0,0,35,0.2,0.486,0.257,0.057,7,17,9,2,
Putaiao,Level 1,2019,9,50,0.001,2,0,86,0,0.453,0.384,0.163,0,39,33,14,
Putaiao,Level 1,2020,9,51,0.001,0,0,71,0.211,0.197,0.254,0.338,15,14,18,24,
Putaiao,Level 1,2021,7,53,0.001,8,0,92,0,0.457,0.152,0.391,0,42,14,36,
Putaiao,Level 1,2022,12,87,0.001,0,0,121,0.116,0.479,0.314,0.091,14,58,38,11,
Putaiao,Level 1,2023,13,82,0.001,0,0,124,0.145,0.484,0.218,0.153,18,60,27,19,
Putaiao,Level 1,2024,18,106,0.002,23,0.001,181,0.072,0.37,0.293,0.265,13,67,53,48,
Putaiao,Level 2,2015,1,11,0,0,0,11,0,0.636,0.273,0.091,0,7,3,1,Small Cohort
Putaiao,Level 2,2016,3,9,0,0,0,9,0.222,0.333,0.333,0.111,2,3,3,1,Small Cohort
Putaiao,Level 2,2017,3,8,0,0,0,18,0.167,0.778,0.056,0,3,14,1,0,Small Cohort
Putaiao,Level 2,2018,3,16,0,0,0,28,0.321,0.464,0.143,0.071,9,13,4,2,Small Cohort
Putaiao,Level 2,2019,4,16,0,0,0,22,0,0.318,0.682,0,0,7,15,0,Small Cohort
Putaiao,Level 2,2020,6,15,0,0,0,26,0.154,0.462,0.154,0.231,4,12,4,6,Small Cohort
Putaiao,Level 2,2021,7,20,0,0,0,28,0.036,0.286,0.179,0.5,1,8,5,14,Small Cohort
Putaiao,Level 2,2022,4,28,0,9,0,57,0.281,0.228,0.281,0.211,16,13,16,12,
Putaiao,Level 2,2023,9,41,0.001,1,0,53,0.17,0.434,0.226,0.17,9,23,12,9,
Putaiao,Level 2,2024,7,30,0,0,0,44,0.091,0.477,0.341,0.091,4,21,15,4,
Putaiao,Level 3,2018,2,9,0,0,0,12,0.667,0.333,0,0,8,4,0,0,Small Cohort
Putaiao,Level 3,2019,,,,,,4,,,,,,,,,Small Cohort
Putaiao,Level 3,2020,,,,,,1,,,,,,,,,Small Cohort
Putaiao,Level 3,2021,,,,,,0,,,,,,,,,Small Cohort
Putaiao,Level 3,2022,2,5,0,3,0,14,0,0,0.143,0.857,0,0,2,12,Small Cohort
Putaiao,Level 3,2023,4,17,0,14,0,60,0.383,0.233,0.183,0.2,23,14,11,12,
Putaiao,Level 3,2024,5,30,0.001,13,0,75,0.067,0.253,0.2,0.48,5,19,15,36,
Religious Studies,Level 1,2015,83,7408,0.1,4677,0.079,19007,0.129,0.368,0.263,0.24,2452,6993,5004,4558,
Religious Studies,Level 1,2016,87,7249,0.099,4723,0.08,18824,0.118,0.351,0.27,0.261,2225,6604,5088,4907,
Religious Studies,Level 1,2017,87,7315,0.103,4576,0.079,18512,0.127,0.357,0.257,0.26,2342,6601,4762,4807,
Religious Studies,Level 1,2018,93,7261,0.104,4542,0.081,17939,0.111,0.339,0.27,0.279,1994,6090,4842,5013,
Religious Studies,Level 1,2019,88,7362,0.088,4441,0.078,17938,0.107,0.34,0.268,0.285,1920,6102,4810,5106,
Religious Studies,Level 1,2020,89,7374,0.078,4287,0.079,17581,0.118,0.337,0.255,0.29,2069,5930,4482,5100,
Religious Studies,Level 1,2021,86,6879,0.073,4033,0.076,16251,0.13,0.332,0.252,0.286,2115,5396,4092,4648,
Religious Studies,Level 1,2022,83,6845,0.072,3811,0.072,16077,0.126,0.346,0.261,0.268,2023,5557,4190,4307,
Religious Studies,Level 1,2023,71,5656,0.06,3334,0.06,13633,0.129,0.36,0.251,0.26,1757,4904,3422,3550,
Religious Studies,Level 1,2024,88,6647,0.099,4130,0.096,16664,0.146,0.405,0.269,0.18,2441,6751,4479,2993,
Religious Studies,Level 2,2015,77,5684,0.081,4134,0.081,15693,0.161,0.315,0.251,0.273,2527,4944,3936,4286,
Religious Studies,Level 2,2016,78,6049,0.084,4573,0.087,16784,0.152,0.288,0.243,0.318,2547,4828,4080,5329,
Religious Studies,Level 2,2017,76,6055,0.083,4546,0.087,16438,0.149,0.285,0.241,0.325,2449,4685,3958,5346,
Religious Studies,Level 2,2018,73,5839,0.082,4456,0.088,15861,0.144,0.305,0.225,0.326,2282,4844,3567,5168,
Religious Studies,Level 2,2019,80,5901,0.082,4244,0.085,15481,0.135,0.275,0.224,0.366,2091,4256,3470,5664,
Religious Studies,Level 2,2020,76,5915,0.083,4082,0.083,15438,0.159,0.275,0.224,0.343,2447,4240,3457,5294,
Religious Studies,Level 2,2021,75,5637,0.081,4181,0.089,14916,0.146,0.283,0.231,0.341,2176,4217,3440,5083,
Religious Studies,Level 2,2022,78,5726,0.085,4301,0.094,15323,0.167,0.288,0.214,0.331,2554,4419,3279,5071,
Religious Studies,Level 2,2023,78,5682,0.079,4432,0.09,15473,0.159,0.299,0.217,0.325,2454,4630,3355,5034,
Religious Studies,Level 2,2024,81,6099,0.077,4761,0.089,16509,0.137,0.3,0.225,0.338,2268,4949,3716,5576,
Religious Studies,Level 3,2015,79,4949,0.099,3737,0.095,13440,0.152,0.331,0.235,0.282,2039,4451,3156,3794,
Religious Studies,Level 3,2016,78,4850,0.096,3615,0.092,13013,0.146,0.312,0.233,0.308,1906,4066,3028,4013,
Religious Studies,Level 3,2017,81,5119,0.097,4113,0.102,14257,0.146,0.289,0.219,0.346,2076,4121,3128,4932,
Religious Studies,Level 3,2018,81,4977,0.093,4104,0.102,13949,0.133,0.293,0.227,0.347,1854,4083,3169,4843,
Religious Studies,Level 3,2019,82,4961,0.092,4096,0.104,13808,0.142,0.279,0.217,0.362,1955,3855,3000,4998,
Religious Studies,Level 3,2020,82,4904,0.09,3634,0.094,13197,0.161,0.265,0.216,0.358,2127,3496,2847,4727,
Religious Studies,Level 3,2021,85,4948,0.091,3794,0.096,13418,0.138,0.284,0.216,0.362,1845,3814,2895,4864,
Religious Studies,Level 3,2022,76,4700,0.088,3751,0.1,12892,0.167,0.285,0.228,0.32,2152,3672,2938,4130,
Religious Studies,Level 3,2023,83,4904,0.094,4080,0.108,13881,0.154,0.312,0.204,0.33,2143,4326,2834,4578,
Religious Studies,Level 3,2024,84,4994,0.086,4253,0.102,14214,0.125,0.333,0.225,0.317,1781,4731,3193,4509,
Samoan,Level 1,2015,48,480,0.006,364,0.006,1879,0.093,0.346,0.3,0.261,175,651,563,490,
Samoan,Level 1,2016,45,500,0.007,387,0.007,1952,0.072,0.345,0.307,0.276,140,674,600,538,
Samoan,Level 1,2017,50,528,0.007,379,0.007,1910,0.077,0.305,0.321,0.296,148,583,614,565,
Samoan,Level 1,2018,50,561,0.008,453,0.008,2203,0.055,0.317,0.35,0.278,121,699,770,613,
Samoan,Level 1,2019,59,632,0.008,465,0.008,2296,0.103,0.349,0.321,0.226,236,802,738,520,
Samoan,Level 1,2020,58,680,0.007,521,0.01,2453,0.086,0.313,0.324,0.276,212,768,795,678,
Samoan,Level 1,2021,55,498,0.005,389,0.007,1847,0.091,0.307,0.307,0.295,168,567,567,545,
Samoan,Level 1,2022,52,507,0.005,365,0.007,1773,0.104,0.362,0.3,0.234,184,642,532,415,
Samoan,Level 1,2023,54,610,0.006,405,0.007,2025,0.13,0.354,0.265,0.252,263,716,536,510,
Samoan,Level 2,2015,45,419,0.006,314,0.006,1608,0.086,0.332,0.307,0.275,138,534,494,442,
Samoan,Level 2,2016,50,445,0.006,335,0.006,1679,0.102,0.35,0.307,0.241,172,588,515,404,
Samoan,Level 2,2017,46,445,0.006,346,0.007,1700,0.101,0.301,0.307,0.291,171,512,522,495,
Samoan,Level 2,2018,55,452,0.006,321,0.006,1587,0.11,0.322,0.313,0.255,175,511,496,405,
Samoan,Level 2,2019,53,501,0.007,372,0.007,1851,0.092,0.323,0.343,0.242,171,598,634,448,
Samoan,Level 2,2020,58,499,0.007,357,0.007,1713,0.097,0.343,0.302,0.258,166,588,517,442,
Samoan,Level 2,2021,61,481,0.007,363,0.008,1761,0.08,0.319,0.299,0.302,140,562,527,532,
Samoan,Level 2,2022,52,447,0.007,328,0.007,1520,0.12,0.213,0.357,0.309,183,324,543,470,
Samoan,Level 2,2023,55,488,0.007,352,0.007,1678,0.164,0.257,0.312,0.267,276,431,523,448,
Samoan,Level 2,2024,57,559,0.007,423,0.008,1987,0.194,0.35,0.226,0.229,386,695,450,456,
Samoan,Level 3,2015,49,406,0.008,314,0.008,1548,0.087,0.368,0.292,0.254,134,569,452,393,
Samoan,Level 3,2016,45,358,0.007,265,0.007,1329,0.067,0.351,0.287,0.295,89,467,381,392,
Samoan,Level 3,2017,47,422,0.008,320,0.008,1573,0.097,0.378,0.263,0.262,152,595,414,412,
Samoan,Level 3,2018,47,411,0.008,297,0.007,1512,0.111,0.372,0.265,0.253,168,562,400,382,
Samoan,Level 3,2019,51,366,0.007,280,0.007,1359,0.124,0.32,0.276,0.28,168,435,375,381,
Samoan,Level 3,2020,56,433,0.008,327,0.008,1572,0.095,0.314,0.272,0.319,150,493,427,502,
Samoan,Level 3,2021,57,442,0.008,307,0.008,1559,0.096,0.255,0.309,0.341,149,398,481,531,
Samoan,Level 3,2022,55,407,0.008,275,0.007,1387,0.114,0.187,0.332,0.367,158,259,461,509,
Samoan,Level 3,2023,51,391,0.007,292,0.008,1385,0.125,0.233,0.295,0.347,173,323,409,480,
Samoan,Level 3,2024,52,426,0.007,323,0.008,1553,0.155,0.283,0.267,0.295,241,440,414,458,
Science,Level 1,2015,432,52244,0.707,26462,0.445,178786,0.22,0.377,0.255,0.148,39397,67323,45630,26436,
Science,Level 1,2016,433,52652,0.722,25883,0.438,178700,0.204,0.371,0.261,0.163,36540,66319,46659,29182,
Science,Level 1,2017,437,50777,0.716,23286,0.402,169530,0.203,0.367,0.262,0.169,34366,62149,44341,28674,
Science,Level 1,2018,430,49368,0.709,20543,0.364,159435,0.216,0.357,0.249,0.178,34401,56839,39749,28446,
Science,Level 1,2019,435,52083,0.619,19640,0.347,158508,0.212,0.382,0.247,0.16,33579,60471,39131,25327,
Science,Level 1,2020,431,50410,0.53,15112,0.278,140099,0.205,0.379,0.246,0.171,28661,53048,34484,23906,
Science,Level 1,2021,424,48223,0.513,13305,0.252,130430,0.158,0.379,0.254,0.209,20642,49420,33170,27198,
Science,Level 1,2022,416,46967,0.495,12899,0.244,127617,0.217,0.375,0.24,0.167,27755,47859,30658,21345,
Science,Level 1,2023,410,48112,0.508,13112,0.235,129442,0.193,0.401,0.253,0.153,24928,51952,32794,19768,
Science,Level 1,2024,249,20787,0.309,3275,0.076,34774,0.261,0.424,0.183,0.132,9091,14752,6348,4583,
Science,Level 3,2022,,,,,,1,,,,,,,,,Small Cohort
Sculpture,Level 3,2015,47,267,0.005,145,0.004,669,0.123,0.33,0.302,0.245,82,221,202,164,
Sculpture,Level 3,2016,57,266,0.005,173,0.004,667,0.112,0.34,0.27,0.277,75,227,180,185,
Sculpture,Level 3,2017,42,241,0.005,146,0.004,605,0.088,0.284,0.269,0.359,53,172,163,217,
Sculpture,Level 3,2018,42,238,0.004,164,0.004,612,0.118,0.284,0.317,0.281,72,174,194,172,
Sculpture,Level 3,2019,50,238,0.004,154,0.004,584,0.139,0.264,0.283,0.315,81,154,165,184,
Sculpture,Level 3,2020,43,198,0.004,150,0.004,478,0.105,0.301,0.314,0.28,50,144,150,134,
Sculpture,Level 3,2021,45,235,0.004,142,0.004,539,0.109,0.336,0.315,0.239,59,181,170,129,
Sculpture,Level 3,2022,58,212,0.004,154,0.004,489,0.115,0.268,0.339,0.278,56,131,166,136,
Sculpture,Level 3,2023,55,284,0.005,183,0.005,620,0.115,0.237,0.358,0.29,71,147,222,180,
Sculpture,Level 3,2024,49,334,0.006,219,0.005,773,0.128,0.331,0.3,0.241,99,256,232,186,
Social Studies,Level 1,2015,144,7259,0.098,832,0.014,11614,0.169,0.351,0.248,0.233,1960,4073,2879,2702,
Social Studies,Level 1,2016,150,7311,0.1,764,0.013,11487,0.176,0.358,0.252,0.214,2019,4113,2896,2459,
Social Studies,Level 1,2017,144,7460,0.105,714,0.012,11660,0.167,0.354,0.255,0.224,1946,4129,2970,2615,
Social Studies,Level 1,2018,148,7827,0.112,692,0.012,11843,0.157,0.345,0.256,0.242,1858,4088,3031,2866,
Social Studies,Level 1,2019,148,8838,0.105,693,0.012,12623,0.174,0.346,0.237,0.242,2198,4372,2997,3056,
Social Studies,Level 1,2020,141,7904,0.083,445,0.008,10885,0.168,0.357,0.247,0.228,1830,3884,2686,2485,
Social Studies,Level 1,2021,135,5980,0.064,486,0.009,8694,0.155,0.342,0.229,0.274,1344,2975,1991,2384,
Social Studies,Level 1,2022,128,6162,0.065,442,0.008,8824,0.185,0.365,0.232,0.218,1633,3223,2044,1924,
Social Studies,Level 1,2023,113,4121,0.044,435,0.008,6625,0.182,0.361,0.216,0.242,1204,2390,1429,1602,
Social Studies,Level 1,2024,107,3918,0.058,1030,0.024,7389,0.258,0.367,0.227,0.148,1903,2715,1674,1097,
Social Studies,Level 2,2015,72,1671,0.024,1029,0.02,5126,0.239,0.334,0.21,0.217,1225,1713,1076,1112,
Social Studies,Level 2,2016,73,1690,0.023,1064,0.02,5163,0.22,0.334,0.227,0.219,1134,1727,1170,1132,
