Secondary Subject,Level,Region,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Accounting,Level 3,Manawatu-Whanganui,2024,10,117,0.049,86,0.052,442,0.143,0.256,0.321,0.281,63,113,142,124,
Accounting,Level 3,Marlborough,2015,1,17,0.044,11,0.036,59,0.186,0.39,0.203,0.22,11,23,12,13,
Accounting,Level 3,Marlborough,2016,2,11,0.022,0,0,18,0.5,0.278,0.167,0.056,9,5,3,1,Small Cohort
Accounting,Level 3,Marlborough,2017,2,27,0.062,18,0.073,100,0.24,0.2,0.32,0.24,24,20,32,24,
Accounting,Level 3,Marlborough,2018,2,15,0.036,10,0.041,57,0.228,0.298,0.246,0.228,13,17,14,13,
Accounting,Level 3,Marlborough,2019,2,14,0.04,9,0.039,48,0.063,0.208,0.354,0.375,3,10,17,18,
Accounting,Level 3,Marlborough,2020,2,15,0.037,5,0.02,47,0.255,0.298,0.213,0.234,12,14,10,11,
Accounting,Level 3,Marlborough,2021,2,14,0.038,12,0.045,54,0.074,0.241,0.389,0.296,4,13,21,16,
Accounting,Level 3,Marlborough,2022,1,10,0.034,4,0.02,34,0,0.353,0.265,0.382,0,12,9,13,
Accounting,Level 3,Marlborough,2023,,,,,,1,,,,,,,,,Small Cohort
Accounting,Level 3,Marlborough,2024,2,7,0.021,6,0.023,26,0.346,0.5,0.115,0.038,9,13,3,1,Small Cohort
Accounting,Level 3,Nelson,2015,3,45,0.059,38,0.067,201,0.144,0.308,0.244,0.303,29,62,49,61,
Accounting,Level 3,Nelson,2016,3,44,0.055,35,0.069,189,0.143,0.291,0.185,0.381,27,55,35,72,
Accounting,Level 3,Nelson,2017,3,40,0.046,39,0.069,186,0.151,0.21,0.285,0.355,28,39,53,66,
Accounting,Level 3,Nelson,2018,3,45,0.054,41,0.073,200,0.125,0.275,0.245,0.355,25,55,49,71,
Accounting,Level 3,Nelson,2019,3,58,0.082,42,0.076,230,0.157,0.326,0.261,0.257,36,75,60,59,
Accounting,Level 3,Nelson,2020,3,42,0.056,36,0.072,161,0.13,0.211,0.224,0.435,21,34,36,70,
Accounting,Level 3,Nelson,2021,3,68,0.086,58,0.099,276,0.123,0.207,0.308,0.362,34,57,85,100,
Accounting,Level 3,Nelson,2022,3,50,0.065,41,0.079,190,0.147,0.205,0.263,0.384,28,39,50,73,
Accounting,Level 3,Nelson,2023,3,49,0.068,38,0.078,183,0.12,0.257,0.273,0.35,22,47,50,64,
Accounting,Level 3,Nelson,2024,3,59,0.078,41,0.075,218,0.202,0.353,0.257,0.188,44,77,56,41,
Accounting,Level 3,Northland,2015,6,55,0.036,34,0.031,189,0.228,0.28,0.243,0.249,43,53,46,47,
Accounting,Level 3,Northland,2016,7,49,0.032,21,0.019,149,0.181,0.255,0.248,0.315,27,38,37,47,
Accounting,Level 3,Northland,2017,3,33,0.022,26,0.025,133,0.158,0.346,0.188,0.308,21,46,25,41,
Accounting,Level 3,Northland,2018,2,15,0.01,12,0.011,57,0.158,0.211,0.246,0.386,9,12,14,22,
Accounting,Level 3,Northland,2019,3,24,0.017,18,0.018,92,0.109,0.25,0.163,0.478,10,23,15,44,
Accounting,Level 3,Northland,2020,2,19,0.013,9,0.009,61,0.148,0.279,0.23,0.344,9,17,14,21,
Accounting,Level 3,Northland,2021,2,19,0.012,1,0.001,46,0.043,0.109,0.13,0.717,2,5,6,33,
Accounting,Level 3,Northland,2022,4,41,0.03,22,0.026,140,0.136,0.164,0.243,0.457,19,23,34,64,
Accounting,Level 3,Northland,2023,3,21,0.014,12,0.012,70,0.157,0.243,0.129,0.471,11,17,9,33,
Accounting,Level 3,Northland,2024,1,8,0.005,4,0.004,25,0.04,0.32,0.12,0.52,1,8,3,13,Small Cohort
Accounting,Level 3,Otago,2015,15,123,0.057,85,0.046,463,0.192,0.348,0.266,0.194,89,161,123,90,
Accounting,Level 3,Otago,2016,16,153,0.072,114,0.066,579,0.197,0.326,0.256,0.221,114,189,148,128,
Accounting,Level 3,Otago,2017,12,128,0.056,106,0.057,520,0.154,0.337,0.254,0.256,80,175,132,133,
Accounting,Level 3,Otago,2018,14,102,0.043,80,0.043,397,0.179,0.282,0.305,0.234,71,112,121,93,
Accounting,Level 3,Otago,2019,12,88,0.036,65,0.034,324,0.139,0.281,0.287,0.293,45,91,93,95,
Accounting,Level 3,Otago,2020,10,42,0.018,27,0.015,147,0.102,0.395,0.286,0.218,15,58,42,32,
Accounting,Level 3,Otago,2021,10,71,0.031,34,0.018,221,0.172,0.33,0.303,0.195,38,73,67,43,
Accounting,Level 3,Otago,2022,9,47,0.02,18,0.01,148,0.088,0.338,0.392,0.182,13,50,58,27,
Accounting,Level 3,Otago,2023,10,48,0.022,28,0.016,162,0.136,0.21,0.278,0.377,22,34,45,61,
Accounting,Level 3,Otago,2024,6,45,0.018,26,0.014,157,0.127,0.389,0.255,0.229,20,61,40,36,
Accounting,Level 3,Other,2015,2,164,0.087,77,0.103,490,0.137,0.243,0.296,0.324,67,119,145,159,
Accounting,Level 3,Other,2016,2,163,0.086,59,0.096,454,0.145,0.249,0.284,0.322,66,113,129,146,
Accounting,Level 3,Other,2017,2,163,0.074,77,0.101,489,0.182,0.252,0.28,0.286,89,123,137,140,
Accounting,Level 3,Other,2018,2,124,0.055,55,0.076,367,0.199,0.188,0.264,0.349,73,69,97,128,
Accounting,Level 3,Other,2019,2,105,0.043,35,0.051,269,0.175,0.219,0.216,0.39,47,59,58,105,
Accounting,Level 3,Other,2020,2,125,0.044,42,0.061,354,0.186,0.268,0.243,0.302,66,95,86,107,
Accounting,Level 3,Other,2021,2,106,0.042,37,0.051,279,0.108,0.186,0.297,0.409,30,52,83,114,
Accounting,Level 3,Other,2022,2,101,0.04,30,0.044,253,0.123,0.162,0.265,0.451,31,41,67,114,
Accounting,Level 3,Other,2023,2,131,0.047,44,0.054,333,0.126,0.249,0.246,0.378,42,83,82,126,
Accounting,Level 3,Other,2024,2,191,0.054,63,0.07,491,0.175,0.255,0.279,0.291,86,125,137,143,
Accounting,Level 3,Pacific Islands,2015,1,4,0.026,2,0.014,14,0.143,0.071,0.214,0.571,2,1,3,8,Small Cohort
Accounting,Level 3,Pacific Islands,2016,1,16,0.087,15,0.108,74,0.243,0.23,0.189,0.338,18,17,14,25,
Accounting,Level 3,Pacific Islands,2017,1,9,0.064,9,0.07,36,0.028,0.417,0.306,0.25,1,15,11,9,
Accounting,Level 3,Pacific Islands,2018,1,12,0.075,10,0.065,45,0.178,0.267,0.311,0.244,8,12,14,11,
Accounting,Level 3,Pacific Islands,2019,1,13,0.08,13,0.102,61,0.148,0.574,0.18,0.098,9,35,11,6,
Accounting,Level 3,Pacific Islands,2020,1,15,0.099,15,0.106,60,0.017,0.383,0.35,0.25,1,23,21,15,
Accounting,Level 3,Pacific Islands,2021,1,10,0.054,9,0.057,39,0.051,0.538,0.333,0.077,2,21,13,3,
Accounting,Level 3,Pacific Islands,2022,1,7,0.051,5,0.04,22,0.364,0.364,0.182,0.091,8,8,4,2,Small Cohort
Accounting,Level 3,Pacific Islands,2023,1,12,0.069,11,0.074,45,0.111,0.311,0.2,0.378,5,14,9,17,
Accounting,Level 3,Pacific Islands,2024,1,8,0.06,8,0.072,32,0.156,0.563,0.281,0,5,18,9,0,
