Secondary Subject,Level,Region,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Classical Studies,Level 3,Southland,2017,3,52,0.057,37,0.053,159,0.428,0.264,0.176,0.132,68,42,28,21,
Classical Studies,Level 3,Southland,2018,3,45,0.052,34,0.05,141,0.27,0.255,0.241,0.234,38,36,34,33,
Classical Studies,Level 3,Southland,2019,4,74,0.08,58,0.086,229,0.21,0.284,0.236,0.271,48,65,54,62,
Classical Studies,Level 3,Southland,2020,2,38,0.039,21,0.032,103,0.35,0.214,0.165,0.272,36,22,17,28,
Classical Studies,Level 3,Southland,2021,3,73,0.072,37,0.055,183,0.279,0.29,0.164,0.268,51,53,30,49,
Classical Studies,Level 3,Southland,2022,2,44,0.046,30,0.047,127,0.299,0.252,0.213,0.236,38,32,27,30,
Classical Studies,Level 3,Southland,2023,4,81,0.083,54,0.087,237,0.27,0.224,0.241,0.266,64,53,57,63,
Classical Studies,Level 3,Southland,2024,3,74,0.07,53,0.079,224,0.232,0.277,0.25,0.241,52,62,56,54,
Classical Studies,Level 3,Taranaki,2015,9,105,0.089,72,0.08,323,0.176,0.365,0.266,0.192,57,118,86,62,
Classical Studies,Level 3,Taranaki,2016,8,83,0.068,60,0.065,254,0.161,0.331,0.264,0.244,41,84,67,62,
Classical Studies,Level 3,Taranaki,2017,7,74,0.059,50,0.057,216,0.194,0.296,0.324,0.185,42,64,70,40,
Classical Studies,Level 3,Taranaki,2018,6,45,0.039,30,0.037,133,0.226,0.353,0.256,0.165,30,47,34,22,
Classical Studies,Level 3,Taranaki,2019,5,58,0.049,45,0.054,188,0.229,0.314,0.234,0.223,43,59,44,42,
Classical Studies,Level 3,Taranaki,2020,5,54,0.048,35,0.045,152,0.151,0.382,0.303,0.164,23,58,46,25,
Classical Studies,Level 3,Taranaki,2021,4,37,0.033,29,0.037,119,0.168,0.471,0.202,0.16,20,56,24,19,
Classical Studies,Level 3,Taranaki,2022,4,37,0.033,25,0.033,107,0.28,0.234,0.327,0.159,30,25,35,17,
Classical Studies,Level 3,Taranaki,2023,3,13,0.012,11,0.014,44,0.273,0.273,0.136,0.318,12,12,6,14,
Classical Studies,Level 3,Taranaki,2024,4,26,0.022,14,0.017,70,0.171,0.386,0.229,0.214,12,27,16,15,
Classical Studies,Level 3,Tasman,2015,2,41,0.105,31,0.097,124,0.339,0.347,0.121,0.194,42,43,15,24,
Classical Studies,Level 3,Tasman,2016,3,34,0.097,24,0.086,99,0.293,0.182,0.333,0.192,29,18,33,19,
Classical Studies,Level 3,Tasman,2017,2,24,0.06,18,0.055,72,0.306,0.306,0.25,0.139,22,22,18,10,
Classical Studies,Level 3,Tasman,2018,1,2,0.006,1,0.004,6,0.333,0.5,0,0.167,2,3,0,1,Small Cohort
Classical Studies,Level 3,Tasman,2019,2,21,0.053,15,0.048,57,0.123,0.404,0.211,0.263,7,23,12,15,
Classical Studies,Level 3,Tasman,2020,1,8,0.021,7,0.023,23,0.13,0.043,0.13,0.696,3,1,3,16,Small Cohort
Classical Studies,Level 3,Tasman,2021,2,22,0.058,20,0.065,65,0.169,0.292,0.308,0.231,11,19,20,15,
Classical Studies,Level 3,Tasman,2022,3,22,0.053,15,0.056,55,0.127,0.309,0.273,0.291,7,17,15,16,
Classical Studies,Level 3,Tasman,2023,1,7,0.016,5,0.017,19,0.263,0.421,0.211,0.105,5,8,4,2,Small Cohort
Classical Studies,Level 3,Tasman,2024,2,18,0.039,13,0.041,48,0.146,0.271,0.396,0.188,7,13,19,9,
Classical Studies,Level 3,Waikato,2015,19,418,0.09,346,0.103,1401,0.209,0.335,0.256,0.199,293,470,359,279,
Classical Studies,Level 3,Waikato,2016,21,390,0.085,308,0.094,1245,0.229,0.305,0.258,0.208,285,380,321,259,
Classical Studies,Level 3,Waikato,2017,19,347,0.075,238,0.071,1032,0.198,0.336,0.253,0.213,204,347,261,220,
Classical Studies,Level 3,Waikato,2018,16,318,0.067,257,0.075,990,0.21,0.329,0.258,0.203,208,326,255,201,
Classical Studies,Level 3,Waikato,2019,15,289,0.061,202,0.062,831,0.19,0.313,0.271,0.226,158,260,225,188,
Classical Studies,Level 3,Waikato,2020,15,255,0.053,130,0.042,655,0.137,0.351,0.281,0.231,90,230,184,151,
Classical Studies,Level 3,Waikato,2021,15,288,0.057,189,0.057,842,0.088,0.341,0.319,0.252,74,287,269,212,
Classical Studies,Level 3,Waikato,2022,14,194,0.039,103,0.033,503,0.163,0.32,0.239,0.278,82,161,120,140,
Classical Studies,Level 3,Waikato,2023,13,222,0.048,147,0.045,626,0.181,0.3,0.236,0.283,113,188,148,177,
Classical Studies,Level 3,Waikato,2024,17,259,0.049,162,0.047,714,0.14,0.312,0.275,0.273,100,223,196,195,
Classical Studies,Level 3,Wellington,2015,22,582,0.102,488,0.109,1885,0.202,0.348,0.236,0.214,381,656,444,404,
Classical Studies,Level 3,Wellington,2016,27,572,0.1,451,0.101,1768,0.217,0.309,0.249,0.225,383,547,441,397,
Classical Studies,Level 3,Wellington,2017,25,627,0.104,464,0.097,1831,0.223,0.306,0.264,0.207,409,560,483,379,
Classical Studies,Level 3,Wellington,2018,26,591,0.097,441,0.092,1726,0.187,0.301,0.266,0.247,322,519,459,426,
Classical Studies,Level 3,Wellington,2019,23,541,0.089,414,0.089,1605,0.191,0.314,0.278,0.217,307,504,446,348,
Classical Studies,Level 3,Wellington,2020,22,463,0.074,220,0.048,1161,0.214,0.303,0.24,0.243,248,352,279,282,
Classical Studies,Level 3,Wellington,2021,26,493,0.079,293,0.062,1277,0.211,0.279,0.262,0.248,270,356,334,317,
Classical Studies,Level 3,Wellington,2022,21,431,0.072,232,0.054,1100,0.195,0.281,0.275,0.25,214,309,302,275,
Classical Studies,Level 3,Wellington,2023,24,473,0.08,297,0.067,1275,0.193,0.293,0.275,0.24,246,373,350,306,
Classical Studies,Level 3,Wellington,2024,22,474,0.075,311,0.065,1345,0.196,0.297,0.25,0.257,263,400,336,346,
Classical Studies,Level 3,West Coast,2015,1,14,0.056,8,0.052,35,0.314,0.257,0.343,0.086,11,9,12,3,
Classical Studies,Level 3,West Coast,2018,2,8,0.034,7,0.043,24,0.333,0.375,0.208,0.083,8,9,5,2,Small Cohort
Classical Studies,Level 3,West Coast,2019,1,11,0.039,9,0.056,35,0.143,0.314,0.514,0.029,5,11,18,1,
Classical Studies,Level 3,West Coast,2020,3,20,0.081,18,0.116,62,0.194,0.339,0.258,0.21,12,21,16,13,
Classical Studies,Level 3,West Coast,2021,2,17,0.065,12,0.085,48,0.25,0.313,0.292,0.146,12,15,14,7,
Classical Studies,Level 3,West Coast,2022,2,12,0.046,8,0.059,34,0.206,0.294,0.265,0.235,7,10,9,8,
Classical Studies,Level 3,West Coast,2023,3,26,0.096,13,0.092,61,0.279,0.164,0.311,0.246,17,10,19,15,
Classical Studies,Level 3,West Coast,2024,1,8,0.029,8,0.053,26,0.154,0.308,0.269,0.269,4,8,7,7,Small Cohort
Commerce,Level 1,Auckland,2024,63,4223,0.203,2195,0.19,10002,0.152,0.383,0.284,0.182,1522,3827,2837,1816,
Commerce,Level 1,Bay of Plenty,2024,15,866,0.176,622,0.189,2375,0.137,0.437,0.277,0.149,325,1037,658,355,
Commerce,Level 1,Canterbury,2024,38,2168,0.253,1642,0.247,6413,0.134,0.366,0.296,0.203,861,2346,1901,1305,
Commerce,Level 1,Gisborne,2024,4,96,0.124,28,0.053,205,0.122,0.585,0.229,0.063,25,120,47,13,
Commerce,Level 1,Hawke's Bay,2024,15,686,0.258,486,0.242,2064,0.123,0.371,0.348,0.157,254,766,719,325,
Commerce,Level 1,Manawatu-Whanganui,2024,17,462,0.155,227,0.124,1227,0.169,0.373,0.321,0.137,207,458,394,168,
Commerce,Level 1,Marlborough,2024,3,65,0.179,49,0.164,207,0.217,0.333,0.295,0.155,45,69,61,32,
Commerce,Level 1,Nelson,2024,4,253,0.265,225,0.29,738,0.072,0.397,0.335,0.196,53,293,247,145,
Commerce,Level 1,Northland,2024,9,256,0.102,178,0.093,770,0.177,0.448,0.258,0.117,136,345,199,90,
Commerce,Level 1,Otago,2024,19,835,0.287,745,0.297,2625,0.123,0.381,0.298,0.198,322,1000,782,521,
Commerce,Level 1,Other,2024,2,273,0.135,149,0.287,718,0.13,0.318,0.345,0.208,93,228,248,149,
Commerce,Level 1,Pacific Islands,2024,2,52,0.149,46,0.156,188,0.186,0.532,0.266,0.016,35,100,50,3,
Commerce,Level 1,Southland,2024,6,264,0.217,163,0.231,625,0.15,0.315,0.291,0.243,94,197,182,152,
Commerce,Level 1,Taranaki,2024,9,277,0.141,224,0.149,834,0.144,0.381,0.281,0.194,120,318,234,162,
Commerce,Level 1,Tasman,2024,2,74,0.104,22,0.045,130,0.285,0.385,0.262,0.069,37,50,34,9,
Commerce,Level 1,Waikato,2024,29,1384,0.189,753,0.176,3558,0.178,0.37,0.284,0.168,632,1316,1011,599,
Commerce,Level 1,Wellington,2024,28,1396,0.211,877,0.228,3609,0.137,0.348,0.324,0.191,493,1255,1170,691,
Commerce,Level 1,West Coast,2024,1,31,0.062,16,0.058,73,0.205,0.671,0.11,0.014,15,49,8,1,
Cook Islands Maori,Level 1,Auckland,2015,3,16,0.001,5,0,33,0.121,0.242,0.333,0.303,4,8,11,10,
Cook Islands Maori,Level 1,Auckland,2016,2,17,0.001,10,0.001,45,0.133,0.4,0.267,0.2,6,18,12,9,
Cook Islands Maori,Level 1,Auckland,2017,2,10,0,7,0,35,0.171,0.486,0.257,0.086,6,17,9,3,
Cook Islands Maori,Level 1,Auckland,2018,2,17,0.001,15,0.001,61,0.279,0.311,0.164,0.246,17,19,10,15,
Cook Islands Maori,Level 1,Auckland,2019,2,14,0,10,0.001,43,0.209,0.233,0.326,0.233,9,10,14,10,
Cook Islands Maori,Level 1,Auckland,2020,4,15,0,10,0.001,44,0.159,0.432,0.273,0.136,7,19,12,6,
Cook Islands Maori,Level 1,Auckland,2021,2,12,0,10,0.001,43,0.116,0.419,0.233,0.233,5,18,10,10,
Cook Islands Maori,Level 1,Canterbury,2022,,,,,,0,,,,,,,,,Small Cohort
Cook Islands Maori,Level 1,Pacific Islands,2015,7,91,0.347,83,0.388,376,0.09,0.229,0.237,0.444,34,86,89,167,
Cook Islands Maori,Level 1,Pacific Islands,2016,7,97,0.357,91,0.392,430,0.088,0.263,0.223,0.426,38,113,96,183,
Cook Islands Maori,Level 1,Pacific Islands,2017,7,116,0.385,105,0.451,515,0.095,0.26,0.227,0.417,49,134,117,215,
Cook Islands Maori,Level 1,Pacific Islands,2018,7,104,0.344,90,0.346,429,0.112,0.156,0.27,0.462,48,67,116,198,
Cook Islands Maori,Level 1,Pacific Islands,2019,7,131,0.449,110,0.414,515,0.146,0.262,0.245,0.348,75,135,126,179,
Cook Islands Maori,Level 1,Pacific Islands,2020,7,99,0.355,88,0.389,402,0.087,0.363,0.341,0.209,35,146,137,84,
Cook Islands Maori,Level 1,Pacific Islands,2021,7,116,0.324,102,0.37,485,0.087,0.468,0.247,0.198,42,227,120,96,
Cook Islands Maori,Level 1,Pacific Islands,2022,5,49,0.142,40,0.141,180,0.067,0.372,0.339,0.222,12,67,61,40,
Cook Islands Maori,Level 1,Waikato,2015,2,16,0.002,13,0.002,56,0.054,0.554,0.232,0.161,3,31,13,9,
Cook Islands Maori,Level 1,Waikato,2016,2,16,0.002,13,0.002,53,0.226,0.509,0.17,0.094,12,27,9,5,
Cook Islands Maori,Level 1,Waikato,2017,2,18,0.003,13,0.002,58,0.207,0.379,0.19,0.224,12,22,11,13,
Cook Islands Maori,Level 1,Waikato,2018,2,23,0.003,16,0.003,60,0.133,0.483,0.217,0.167,8,29,13,10,
Cook Islands Maori,Level 1,Waikato,2019,2,17,0.002,14,0.003,46,0.217,0.652,0.109,0.022,10,30,5,1,
Cook Islands Maori,Level 1,Waikato,2020,2,19,0.002,9,0.002,48,0.438,0.167,0.146,0.25,21,8,7,12,
Cook Islands Maori,Level 1,Waikato,2021,2,7,0.001,0,0,8,0.5,0.125,0,0.375,4,1,0,3,Small Cohort
Cook Islands Maori,Level 1,Waikato,2022,,,,,,2,,,,,,,,,Small Cohort
Cook Islands Maori,Level 1,Waikato,2023,1,6,0.001,0,0,10,0.3,0.7,0,0,3,7,0,0,Small Cohort
Cook Islands Maori,Level 1,Wellington,2019,,,,,,0,,,,,,,,,Small Cohort
Cook Islands Maori,Level 1,Wellington,2021,,,,,,0,,,,,,,,,Small Cohort
Cook Islands Maori,Level 1,West Coast,2023,,,,,,1,,,,,,,,,Small Cohort
Cook Islands Maori,Level 2,Auckland,2015,2,11,0,7,0,34,0.029,0.088,0.412,0.471,1,3,14,16,
Cook Islands Maori,Level 2,Auckland,2016,2,8,0,6,0,25,0.04,0.2,0.6,0.16,1,5,15,4,Small Cohort
Cook Islands Maori,Level 2,Auckland,2017,2,10,0,10,0.001,43,0.279,0.186,0.395,0.14,12,8,17,6,
Cook Islands Maori,Level 2,Auckland,2018,2,7,0,3,0,19,0.105,0.368,0.316,0.211,2,7,6,4,Small Cohort
Cook Islands Maori,Level 2,Auckland,2019,2,13,0.001,7,0,37,0.243,0.27,0.108,0.378,9,10,4,14,
Cook Islands Maori,Level 2,Auckland,2020,3,11,0,7,0,37,0.189,0.432,0.081,0.297,7,16,3,11,
Cook Islands Maori,Level 2,Auckland,2021,2,12,0.001,8,0,38,0.079,0.447,0.289,0.184,3,17,11,7,
Cook Islands Maori,Level 2,Auckland,2022,2,15,0.001,4,0,31,0.129,0.355,0.226,0.29,4,11,7,9,
Cook Islands Maori,Level 2,Auckland,2023,2,19,0.001,10,0.001,48,0.271,0.25,0.208,0.271,13,12,10,13,
Cook Islands Maori,Level 2,Auckland,2024,2,20,0.001,14,0.001,53,0.302,0.264,0.226,0.208,16,14,12,11,
Cook Islands Maori,Level 2,Manawatu-Whanganui,2021,,,,,,0,,,,,,,,,Small Cohort
Cook Islands Maori,Level 2,Nelson,2024,,,,,,0,,,,,,,,,Small Cohort
Cook Islands Maori,Level 2,Pacific Islands,2015,4,79,0.295,69,0.345,326,0.08,0.138,0.193,0.589,26,45,63,192,
Cook Islands Maori,Level 2,Pacific Islands,2016,4,85,0.322,55,0.313,294,0.034,0.17,0.146,0.65,10,50,43,191,
Cook Islands Maori,Level 2,Pacific Islands,2017,4,57,0.256,55,0.299,264,0.011,0.11,0.186,0.693,3,29,49,183,
Cook Islands Maori,Level 2,Pacific Islands,2018,4,74,0.318,71,0.376,313,0.089,0.051,0.208,0.652,28,16,65,204,
Cook Islands Maori,Level 2,Pacific Islands,2019,4,80,0.3,74,0.363,333,0.108,0.153,0.237,0.502,36,51,79,167,
Cook Islands Maori,Level 2,Pacific Islands,2020,4,60,0.25,54,0.251,238,0.092,0.248,0.328,0.332,22,59,78,79,
Cook Islands Maori,Level 2,Pacific Islands,2021,5,68,0.283,50,0.272,248,0.214,0.302,0.234,0.25,53,75,58,62,
Cook Islands Maori,Level 2,Pacific Islands,2022,4,84,0.324,67,0.319,322,0.27,0.286,0.28,0.165,87,92,90,53,
Cook Islands Maori,Level 2,Pacific Islands,2023,4,71,0.323,63,0.321,278,0.205,0.381,0.209,0.205,57,106,58,57,
Cook Islands Maori,Level 2,Pacific Islands,2024,4,48,0.196,39,0.224,193,0.062,0.295,0.306,0.337,12,57,59,65,
Cook Islands Maori,Level 2,Waikato,2015,2,12,0.002,7,0.002,30,0.033,0.733,0.133,0.1,1,22,4,3,
Cook Islands Maori,Level 2,Waikato,2016,2,16,0.002,11,0.002,45,0.311,0.467,0.089,0.133,14,21,4,6,
Cook Islands Maori,Level 2,Waikato,2017,2,12,0.002,3,0.001,30,0.033,0.533,0.167,0.267,1,16,5,8,
Cook Islands Maori,Level 2,Waikato,2018,2,9,0.001,5,0.001,24,0.083,0.667,0.167,0.083,2,16,4,2,Small Cohort
Cook Islands Maori,Level 2,Waikato,2019,2,9,0.001,5,0.001,23,0.217,0.652,0.087,0.043,5,15,2,1,Small Cohort
Cook Islands Maori,Level 2,Waikato,2020,2,13,0.002,8,0.002,31,0.419,0.258,0.194,0.129,13,8,6,4,
Cook Islands Maori,Level 2,Waikato,2021,2,10,0.001,6,0.002,23,0.174,0.174,0.304,0.348,4,4,7,8,Small Cohort
Cook Islands Maori,Level 2,Waikato,2022,2,3,0,2,0,10,0.4,0.2,0,0.4,4,2,0,4,Small Cohort
Cook Islands Maori,Level 2,Waikato,2023,,,,,,0,,,,,,,,,Small Cohort
Cook Islands Maori,Level 2,Waikato,2024,2,13,0.002,3,0.001,22,0.091,0.409,0.182,0.318,2,9,4,7,Small Cohort
Cook Islands Maori,Level 2,Wellington,2023,,,,,,0,,,,,,,,,Small Cohort
Cook Islands Maori,Level 3,Auckland,2015,1,2,0,2,0,10,0.1,0,0.5,0.4,1,0,5,4,Small Cohort
Cook Islands Maori,Level 3,Auckland,2016,2,7,0,3,0,20,0.1,0.55,0.1,0.25,2,11,2,5,Small Cohort
Cook Islands Maori,Level 3,Auckland,2017,2,7,0,5,0,26,0.308,0.115,0.346,0.231,8,3,9,6,Small Cohort
Cook Islands Maori,Level 3,Auckland,2018,2,7,0,5,0,27,0.259,0.259,0.185,0.296,7,7,5,8,Small Cohort
Cook Islands Maori,Level 3,Auckland,2019,,,,,,3,,,,,,,,,Small Cohort
Cook Islands Maori,Level 3,Auckland,2020,2,13,0.001,9,0.001,44,0.159,0.409,0.182,0.25,7,18,8,11,
Cook Islands Maori,Level 3,Auckland,2021,2,7,0,6,0,24,0.208,0.042,0.125,0.625,5,1,3,15,Small Cohort
Cook Islands Maori,Level 3,Auckland,2022,2,4,0,2,0,9,0.333,0.111,0.111,0.444,3,1,1,4,Small Cohort
Cook Islands Maori,Level 3,Auckland,2023,2,14,0.001,5,0,31,0.097,0.29,0.355,0.258,3,9,11,8,
Cook Islands Maori,Level 3,Auckland,2024,2,12,0.001,9,0.001,34,0.353,0.176,0.235,0.235,12,6,8,8,
Cook Islands Maori,Level 3,Pacific Islands,2015,3,43,0.277,39,0.279,197,0.03,0.066,0.203,0.701,6,13,40,138,
Cook Islands Maori,Level 3,Pacific Islands,2016,4,82,0.448,49,0.353,273,0.015,0.099,0.212,0.674,4,27,58,184,
Cook Islands Maori,Level 3,Pacific Islands,2017,3,44,0.312,40,0.31,190,0.021,0.089,0.147,0.742,4,17,28,141,
Cook Islands Maori,Level 3,Pacific Islands,2018,3,47,0.292,42,0.275,176,0.051,0.085,0.119,0.744,9,15,21,131,
Cook Islands Maori,Level 3,Pacific Islands,2019,4,57,0.352,47,0.37,214,0.037,0.056,0.14,0.766,8,12,30,164,
Cook Islands Maori,Level 3,Pacific Islands,2020,4,55,0.362,50,0.352,216,0.088,0.185,0.222,0.505,19,40,48,109,
Cook Islands Maori,Level 3,Pacific Islands,2021,4,51,0.276,36,0.226,172,0.093,0.25,0.238,0.419,16,43,41,72,
Cook Islands Maori,Level 3,Pacific Islands,2022,3,38,0.275,29,0.234,133,0.12,0.293,0.338,0.248,16,39,45,33,
Cook Islands Maori,Level 3,Pacific Islands,2023,4,49,0.282,31,0.208,163,0.233,0.337,0.233,0.196,38,55,38,32,
Cook Islands Maori,Level 3,Pacific Islands,2024,3,40,0.299,33,0.297,168,0.137,0.369,0.256,0.238,23,62,43,40,
Cook Islands Maori,Level 3,Waikato,2015,2,8,0.002,3,0.001,23,0.217,0.783,0,0,5,18,0,0,Small Cohort
Cook Islands Maori,Level 3,Waikato,2016,2,11,0.002,0,0,19,0.421,0.368,0.105,0.105,8,7,2,2,Small Cohort
Cook Islands Maori,Level 3,Waikato,2017,2,8,0.002,2,0.001,18,0.111,0.333,0.444,0.111,2,6,8,2,Small Cohort
Cook Islands Maori,Level 3,Waikato,2018,2,12,0.003,6,0.002,36,0.028,0.444,0.167,0.361,1,16,6,13,
Cook Islands Maori,Level 3,Waikato,2019,2,11,0.002,2,0.001,24,0.083,0.583,0.25,0.083,2,14,6,2,Small Cohort
Cook Islands Maori,Level 3,Waikato,2020,2,8,0.002,6,0.002,23,0.217,0.348,0.043,0.391,5,8,1,9,Small Cohort
Cook Islands Maori,Level 3,Waikato,2021,2,7,0.001,3,0.001,21,0.381,0.238,0.095,0.286,8,5,2,6,Small Cohort
Cook Islands Maori,Level 3,Waikato,2022,2,10,0.002,7,0.002,26,0.538,0.192,0.192,0.077,14,5,5,2,Small Cohort
Cook Islands Maori,Level 3,Waikato,2023,,,,,,4,,,,,,,,,Small Cohort
Cook Islands Maori,Level 3,Waikato,2024,,,,,,1,,,,,,,,,Small Cohort
Cook Islands Maori,Level 3,Wellington,2022,,,,,,0,,,,,,,,,Small Cohort
Dance,Level 1,Auckland,2015,59,1466,0.061,821,0.041,4274,0.084,0.237,0.28,0.4,357,1012,1195,1710,
Dance,Level 1,Auckland,2016,64,1726,0.072,881,0.045,4813,0.081,0.216,0.29,0.413,389,1039,1396,1989,
Dance,Level 1,Auckland,2017,66,1708,0.073,815,0.042,4469,0.078,0.214,0.304,0.405,347,955,1357,1810,
Dance,Level 1,Auckland,2018,69,2006,0.086,932,0.048,5170,0.053,0.21,0.3,0.438,272,1084,1550,2264,
Dance,Level 1,Auckland,2019,68,1839,0.065,767,0.04,4437,0.058,0.219,0.309,0.414,257,972,1373,1835,
Dance,Level 1,Auckland,2020,64,2104,0.062,831,0.046,4883,0.076,0.246,0.284,0.394,370,1202,1386,1925,
Dance,Level 1,Auckland,2021,61,1661,0.052,708,0.042,3840,0.057,0.238,0.273,0.432,218,913,1049,1660,
Dance,Level 1,Auckland,2022,56,1447,0.044,674,0.039,3580,0.084,0.231,0.281,0.404,302,828,1005,1445,
Dance,Level 1,Auckland,2023,60,1975,0.061,717,0.039,4423,0.088,0.225,0.26,0.427,391,995,1148,1889,
Dance,Level 1,Auckland,2024,48,1518,0.073,571,0.049,2924,0.096,0.272,0.298,0.334,281,795,870,978,
Dance,Level 1,Bay of Plenty,2015,11,172,0.032,135,0.033,623,0.095,0.332,0.246,0.327,59,207,153,204,
Dance,Level 1,Bay of Plenty,2016,11,193,0.037,150,0.037,751,0.088,0.277,0.285,0.35,66,208,214,263,
Dance,Level 1,Bay of Plenty,2017,13,197,0.039,122,0.03,627,0.054,0.276,0.314,0.356,34,173,197,223,
Dance,Level 1,Bay of Plenty,2018,13,243,0.049,170,0.044,821,0.093,0.283,0.285,0.34,76,232,234,279,
Dance,Level 1,Bay of Plenty,2019,13,233,0.035,139,0.034,683,0.1,0.249,0.259,0.392,68,170,177,268,
Dance,Level 1,Bay of Plenty,2020,14,220,0.033,138,0.035,699,0.096,0.3,0.265,0.339,67,210,185,237,
Dance,Level 1,Bay of Plenty,2021,15,272,0.04,128,0.033,705,0.108,0.245,0.304,0.343,76,173,214,242,
Dance,Level 1,Bay of Plenty,2022,16,204,0.031,130,0.033,633,0.077,0.237,0.34,0.346,49,150,215,219,
Dance,Level 1,Bay of Plenty,2023,15,311,0.045,101,0.024,721,0.024,0.326,0.301,0.35,17,235,217,252,
Dance,Level 1,Bay of Plenty,2024,13,275,0.056,105,0.032,586,0.087,0.283,0.275,0.355,51,166,161,208,
Dance,Level 1,Canterbury,2015,16,221,0.026,154,0.022,677,0.093,0.214,0.338,0.355,63,145,229,240,
Dance,Level 1,Canterbury,2016,16,228,0.027,144,0.021,715,0.106,0.199,0.355,0.34,76,142,254,243,
Dance,Level 1,Canterbury,2017,23,283,0.033,161,0.023,778,0.063,0.235,0.339,0.362,49,183,264,282,
Dance,Level 1,Canterbury,2018,21,307,0.037,178,0.027,839,0.061,0.219,0.325,0.395,51,184,273,331,
Dance,Level 1,Canterbury,2019,22,364,0.037,229,0.033,1022,0.086,0.235,0.368,0.311,88,240,376,318,
Dance,Level 1,Canterbury,2020,21,432,0.038,222,0.033,1086,0.052,0.19,0.322,0.436,57,206,350,473,
Dance,Level 1,Canterbury,2021,25,447,0.042,241,0.038,1117,0.048,0.271,0.326,0.355,54,303,364,396,
Dance,Level 1,Canterbury,2022,20,333,0.031,140,0.022,792,0.057,0.255,0.308,0.38,45,202,244,301,
Dance,Level 1,Canterbury,2023,27,492,0.046,213,0.032,1213,0.087,0.247,0.304,0.361,106,300,369,438,
Dance,Level 1,Canterbury,2024,24,404,0.047,174,0.026,836,0.079,0.267,0.316,0.339,66,223,264,283,
Dance,Level 1,Gisborne,2015,1,26,0.03,0,0,26,0,1,0,0,0,26,0,0,Small Cohort
Dance,Level 1,Gisborne,2017,,,,,,1,,,,,,,,,Small Cohort
Dance,Level 1,Gisborne,2018,1,6,0.007,0,0,6,0,0.333,0.333,0.333,0,2,2,2,Small Cohort
Dance,Level 1,Gisborne,2019,,,,,,2,,,,,,,,,Small Cohort
Dance,Level 1,Gisborne,2020,1,7,0.008,0,0,7,0,0,0.286,0.714,0,0,2,5,Small Cohort
Dance,Level 1,Gisborne,2021,,,,,,3,,,,,,,,,Small Cohort
Dance,Level 1,Gisborne,2022,2,22,0.023,6,0.01,52,0.058,0.635,0.231,0.077,3,33,12,4,
Dance,Level 1,Gisborne,2023,2,10,0.009,0,0,10,0,0.6,0.4,0,0,6,4,0,Small Cohort
Dance,Level 1,Gisborne,2024,3,49,0.063,7,0.013,74,0.149,0.622,0.162,0.068,11,46,12,5,
Dance,Level 1,Hawke's Bay,2015,3,22,0.007,14,0.006,81,0.148,0.383,0.272,0.198,12,31,22,16,
Dance,Level 1,Hawke's Bay,2016,3,14,0.005,9,0.004,48,0.229,0.396,0.146,0.229,11,19,7,11,
Dance,Level 1,Hawke's Bay,2017,4,36,0.012,26,0.011,129,0.217,0.271,0.279,0.233,28,35,36,30,
Dance,Level 1,Hawke's Bay,2018,5,52,0.019,21,0.009,137,0.073,0.27,0.255,0.401,10,37,35,55,
Dance,Level 1,Hawke's Bay,2019,7,74,0.022,27,0.012,181,0.11,0.182,0.243,0.464,20,33,44,84,
Dance,Level 1,Hawke's Bay,2020,6,99,0.029,34,0.015,223,0.108,0.233,0.224,0.435,24,52,50,97,
Dance,Level 1,Hawke's Bay,2021,5,52,0.015,19,0.009,112,0.009,0.313,0.295,0.384,1,35,33,43,
Dance,Level 1,Hawke's Bay,2022,5,77,0.02,16,0.007,142,0.134,0.338,0.401,0.127,19,48,57,18,
Dance,Level 1,Hawke's Bay,2023,5,66,0.019,37,0.016,168,0.024,0.137,0.232,0.607,4,23,39,102,
Dance,Level 1,Hawke's Bay,2024,5,32,0.012,21,0.01,91,0.132,0.33,0.33,0.209,12,30,30,19,
Dance,Level 1,Manawatu-Whanganui,2015,12,159,0.04,90,0.031,442,0.095,0.355,0.308,0.242,42,157,136,107,
Dance,Level 1,Manawatu-Whanganui,2016,12,219,0.056,128,0.041,603,0.123,0.308,0.32,0.249,74,186,193,150,
Dance,Level 1,Manawatu-Whanganui,2017,11,243,0.066,143,0.047,687,0.134,0.281,0.307,0.278,92,193,211,191,
Dance,Level 1,Manawatu-Whanganui,2018,13,196,0.057,112,0.041,524,0.099,0.357,0.279,0.265,52,187,146,139,
Dance,Level 1,Manawatu-Whanganui,2019,17,159,0.039,93,0.036,431,0.088,0.239,0.26,0.413,38,103,112,178,
Dance,Level 1,Manawatu-Whanganui,2020,12,154,0.035,88,0.036,400,0.06,0.233,0.328,0.38,24,93,131,152,
Dance,Level 1,Manawatu-Whanganui,2021,14,163,0.035,98,0.039,431,0.079,0.299,0.336,0.285,34,129,145,123,
Dance,Level 1,Manawatu-Whanganui,2022,11,157,0.033,60,0.026,351,0.085,0.197,0.325,0.393,30,69,114,138,
