Secondary Subject,Level,School Equity Index Group,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Education for Sustainability,Level 3,Fewer,2021,8,125,0.007,79,0.006,307,0.212,0.329,0.254,0.205,65,101,78,63,
Education for Sustainability,Level 3,Fewer,2022,7,154,0.009,79,0.006,343,0.204,0.297,0.257,0.242,70,102,88,83,
Education for Sustainability,Level 3,Fewer,2023,6,157,0.01,87,0.007,365,0.132,0.356,0.23,0.282,48,130,84,103,
Education for Sustainability,Level 3,Fewer,2024,10,180,0.01,66,0.005,364,0.203,0.352,0.239,0.206,74,128,87,75,
Education for Sustainability,Level 3,Moderate,2019,24,245,0.009,71,0.004,432,0.199,0.308,0.225,0.269,86,133,97,116,
Education for Sustainability,Level 3,Moderate,2020,28,380,0.015,21,0.001,454,0.209,0.295,0.227,0.269,95,134,103,122,
Education for Sustainability,Level 3,Moderate,2021,32,417,0.016,61,0.003,583,0.216,0.36,0.187,0.237,126,210,109,138,
Education for Sustainability,Level 3,Moderate,2022,35,445,0.017,58,0.003,602,0.206,0.336,0.189,0.269,124,202,114,162,
Education for Sustainability,Level 3,Moderate,2023,34,513,0.02,50,0.003,675,0.225,0.284,0.207,0.283,152,192,140,191,
Education for Sustainability,Level 3,Moderate,2024,23,357,0.013,88,0.004,625,0.149,0.323,0.242,0.286,93,202,151,179,
Education for Sustainability,Level 3,More,2019,9,68,0.009,4,0.001,88,0.193,0.477,0.159,0.17,17,42,14,15,
Education for Sustainability,Level 3,More,2020,18,100,0.013,9,0.002,123,0.252,0.488,0.138,0.122,31,60,17,15,
Education for Sustainability,Level 3,More,2021,14,89,0.012,3,0.001,109,0.193,0.495,0.22,0.092,21,54,24,10,
Education for Sustainability,Level 3,More,2022,11,46,0.006,15,0.004,82,0.122,0.695,0.134,0.049,10,57,11,4,
Education for Sustainability,Level 3,More,2023,14,112,0.015,25,0.006,169,0.213,0.343,0.249,0.195,36,58,42,33,
Education for Sustainability,Level 3,More,2024,15,135,0.016,44,0.009,253,0.383,0.332,0.17,0.115,97,84,43,29,
English,Level 1,Fewer,2019,79,17474,0.784,12973,0.823,81700,0.117,0.372,0.303,0.208,9564,30405,24717,17014,
English,Level 1,Fewer,2020,79,18263,0.704,12007,0.796,73539,0.109,0.366,0.309,0.217,8000,26895,22695,15949,
English,Level 1,Fewer,2021,77,17517,0.684,10622,0.751,67182,0.085,0.353,0.318,0.244,5735,23702,21333,16412,
English,Level 1,Fewer,2022,77,17456,0.692,10382,0.742,65298,0.111,0.364,0.315,0.209,7269,23777,20581,13671,
English,Level 1,Fewer,2023,77,15461,0.684,10260,0.698,62675,0.109,0.37,0.311,0.21,6816,23172,19505,13182,
English,Level 1,Fewer,2024,64,10120,0.771,6106,0.834,26754,0.111,0.384,0.315,0.19,2971,10271,8428,5084,
English,Level 1,Moderate,2019,203,31841,0.736,21633,0.739,147129,0.181,0.424,0.25,0.145,26697,62379,36778,21275,
English,Level 1,Moderate,2020,203,32571,0.667,19685,0.692,134508,0.179,0.425,0.251,0.145,24060,57129,33812,19507,
English,Level 1,Moderate,2021,205,31392,0.668,19046,0.685,130712,0.151,0.424,0.264,0.16,19783,55427,34534,20968,
English,Level 1,Moderate,2022,204,31996,0.669,19187,0.688,130829,0.189,0.419,0.248,0.144,24767,54807,32432,18823,
English,Level 1,Moderate,2023,205,32322,0.674,19774,0.671,136080,0.179,0.427,0.247,0.147,24368,58151,33616,19945,
English,Level 1,Moderate,2024,196,28612,0.787,20521,0.786,84776,0.19,0.448,0.24,0.123,16086,37977,20316,10397,
English,Level 1,More,2019,147,9216,0.664,4964,0.618,38337,0.285,0.46,0.175,0.08,10939,17649,6701,3048,
English,Level 1,More,2020,150,9002,0.607,3831,0.497,33148,0.253,0.461,0.194,0.093,8370,15267,6424,3087,
English,Level 1,More,2021,150,9114,0.594,3653,0.478,32683,0.243,0.448,0.203,0.106,7931,14652,6636,3464,
English,Level 1,More,2022,148,8769,0.552,3809,0.492,33080,0.287,0.433,0.183,0.096,9508,14334,6047,3191,
English,Level 1,More,2023,154,10527,0.558,4140,0.483,37128,0.266,0.46,0.182,0.091,9894,17079,6763,3392,
English,Level 1,More,2024,141,8768,0.629,5403,0.7,24083,0.312,0.463,0.161,0.064,7505,11155,3872,1551,
English,Level 2,Fewer,2019,77,15015,0.748,12070,0.784,61668,0.164,0.385,0.272,0.178,10133,23755,16782,10998,
English,Level 2,Fewer,2020,77,14897,0.735,11388,0.737,58023,0.155,0.369,0.281,0.195,8991,21395,16317,11320,
English,Level 2,Fewer,2021,77,14514,0.751,11243,0.753,57819,0.126,0.36,0.294,0.219,7314,20828,17019,12658,
English,Level 2,Fewer,2022,77,13962,0.754,10837,0.753,55469,0.16,0.377,0.275,0.188,8889,20887,15245,10448,
English,Level 2,Fewer,2023,77,14907,0.757,11386,0.747,58135,0.148,0.387,0.28,0.184,8623,22491,16300,10721,
English,Level 2,Fewer,2024,78,15537,0.751,12136,0.741,60719,0.14,0.388,0.288,0.184,8486,23551,17481,11201,
English,Level 2,Moderate,2019,201,25404,0.708,16955,0.678,95584,0.253,0.389,0.222,0.136,24229,37215,21180,12960,
English,Level 2,Moderate,2020,201,25283,0.706,16084,0.652,89144,0.233,0.391,0.228,0.147,20784,34896,20346,13118,
English,Level 2,Moderate,2021,202,24550,0.702,15283,0.644,87259,0.208,0.388,0.245,0.159,18172,33896,21350,13841,
English,Level 2,Moderate,2022,205,23761,0.699,14926,0.649,84508,0.239,0.374,0.234,0.153,20171,31604,19781,12952,
English,Level 2,Moderate,2023,205,24452,0.681,16268,0.653,89202,0.232,0.387,0.233,0.148,20697,34545,20770,13190,
English,Level 2,Moderate,2024,205,25828,0.654,18260,0.668,97497,0.226,0.384,0.236,0.154,22008,37398,23051,15040,
English,Level 2,More,2019,147,5880,0.525,3182,0.527,20040,0.359,0.384,0.166,0.091,7193,7705,3320,1822,
English,Level 2,More,2020,153,5598,0.519,2713,0.488,17357,0.321,0.383,0.19,0.106,5578,6643,3304,1832,
English,Level 2,More,2021,149,5543,0.497,2267,0.42,16404,0.313,0.372,0.196,0.12,5131,6105,3207,1961,
English,Level 2,More,2022,145,5166,0.483,2319,0.438,15511,0.345,0.377,0.175,0.103,5354,5846,2708,1603,
English,Level 2,More,2023,151,5735,0.48,2800,0.461,17920,0.357,0.369,0.168,0.106,6398,6610,3014,1898,
English,Level 2,More,2024,151,6658,0.458,3284,0.495,20876,0.333,0.383,0.178,0.105,6961,7996,3725,2194,
English,Level 3,Fewer,2019,77,7358,0.433,5702,0.439,29380,0.155,0.333,0.273,0.239,4555,9797,8018,7010,
English,Level 3,Fewer,2020,77,7383,0.435,5428,0.41,28398,0.149,0.329,0.27,0.252,4240,9330,7680,7148,
English,Level 3,Fewer,2021,77,7172,0.42,5412,0.406,28415,0.118,0.314,0.286,0.281,3363,8931,8136,7985,
English,Level 3,Fewer,2022,77,6750,0.403,4842,0.376,25755,0.175,0.326,0.265,0.235,4496,8395,6823,6041,
English,Level 3,Fewer,2023,77,6832,0.423,5351,0.422,26126,0.148,0.338,0.271,0.243,3862,8831,7081,6352,
English,Level 3,Fewer,2024,78,7438,0.432,6033,0.442,29442,0.14,0.342,0.278,0.241,4112,10075,8172,7083,
English,Level 3,Moderate,2019,200,11510,0.443,8248,0.431,44453,0.222,0.364,0.235,0.179,9877,16167,10437,7972,
English,Level 3,Moderate,2020,196,10833,0.417,7025,0.381,39589,0.206,0.357,0.24,0.197,8175,14128,9486,7800,
English,Level 3,Moderate,2021,199,11106,0.422,7352,0.388,40952,0.17,0.364,0.253,0.214,6955,14899,10352,8746,
English,Level 3,Moderate,2022,198,10883,0.419,6972,0.389,38701,0.213,0.36,0.239,0.188,8245,13917,9246,7293,
English,Level 3,Moderate,2023,202,10966,0.437,7663,0.423,40864,0.199,0.366,0.241,0.194,8114,14945,9862,7943,
English,Level 3,Moderate,2024,204,11873,0.426,8851,0.44,45622,0.194,0.353,0.249,0.203,8869,16115,11374,9264,
English,Level 3,More,2019,137,2877,0.377,1741,0.382,10151,0.3,0.396,0.192,0.113,3041,4018,1949,1143,
English,Level 3,More,2020,140,2757,0.372,1249,0.294,8676,0.273,0.397,0.195,0.136,2367,3441,1690,1178,
English,Level 3,More,2021,139,2691,0.364,1283,0.302,8384,0.25,0.396,0.209,0.146,2095,3317,1751,1221,
English,Level 3,More,2022,142,2604,0.355,1173,0.298,8106,0.304,0.38,0.182,0.134,2464,3082,1475,1085,
English,Level 3,More,2023,135,2589,0.346,1412,0.328,8619,0.288,0.377,0.203,0.132,2481,3246,1752,1140,
English,Level 3,More,2024,134,3110,0.363,1760,0.351,10451,0.284,0.372,0.194,0.15,2972,3884,2026,1569,
French,Level 1,Fewer,2019,50,911,0.041,769,0.049,3401,0.053,0.229,0.309,0.409,180,778,1051,1392,
French,Level 1,Fewer,2020,48,821,0.032,669,0.044,2935,0.056,0.204,0.347,0.393,163,600,1018,1154,
French,Level 1,Fewer,2021,50,683,0.027,607,0.043,2563,0.027,0.169,0.357,0.447,69,433,915,1146,
French,Level 1,Fewer,2022,43,587,0.023,508,0.036,2222,0.085,0.24,0.303,0.372,189,533,673,827,
French,Level 1,Fewer,2023,41,572,0.025,503,0.034,2122,0.067,0.246,0.302,0.385,143,523,640,816,
French,Level 1,Fewer,2024,33,470,0.036,282,0.039,1236,0.059,0.212,0.339,0.39,73,262,419,482,
French,Level 1,Moderate,2019,65,647,0.015,572,0.02,2642,0.145,0.29,0.265,0.3,383,766,701,792,
French,Level 1,Moderate,2020,64,664,0.014,558,0.02,2518,0.125,0.274,0.283,0.318,315,690,712,801,
French,Level 1,Moderate,2021,64,474,0.01,410,0.015,1889,0.064,0.265,0.285,0.386,121,501,538,729,
French,Level 1,Moderate,2022,55,450,0.009,380,0.014,1732,0.135,0.283,0.243,0.339,233,491,421,587,
French,Level 1,Moderate,2023,45,448,0.009,374,0.013,1661,0.116,0.302,0.287,0.295,193,501,477,490,
French,Level 1,Moderate,2024,49,488,0.013,399,0.015,1581,0.165,0.337,0.271,0.226,261,533,429,358,
French,Level 1,More,2019,2,16,0.001,14,0.002,65,0.292,0.415,0.215,0.077,19,27,14,5,
French,Level 1,More,2020,2,3,0,1,0,7,0,0.286,0.286,0.429,0,2,2,3,Small Cohort
French,Level 1,More,2021,4,18,0.001,7,0.001,42,0.19,0.333,0.286,0.19,8,14,12,8,
French,Level 1,More,2022,3,23,0.001,12,0.002,62,0.258,0.177,0.323,0.242,16,11,20,15,
French,Level 1,More,2023,1,10,0.001,4,0,23,0.304,0.391,0.13,0.174,7,9,3,4,Small Cohort
French,Level 2,Fewer,2019,49,426,0.021,402,0.026,1752,0.065,0.217,0.305,0.413,114,380,534,724,
French,Level 2,Fewer,2020,45,461,0.023,433,0.028,1808,0.072,0.212,0.282,0.434,131,383,510,784,
French,Level 2,Fewer,2021,45,366,0.019,342,0.023,1449,0.048,0.184,0.295,0.473,69,266,428,686,
French,Level 2,Fewer,2022,45,324,0.018,294,0.02,1263,0.042,0.185,0.325,0.447,53,234,411,565,
French,Level 2,Fewer,2023,42,352,0.018,321,0.021,1374,0.063,0.218,0.278,0.442,86,299,382,607,
French,Level 2,Fewer,2024,42,348,0.017,320,0.02,1332,0.062,0.184,0.315,0.439,82,245,420,585,
French,Level 2,Moderate,2019,62,304,0.008,253,0.01,1177,0.168,0.259,0.274,0.299,198,305,322,352,
French,Level 2,Moderate,2020,48,303,0.008,269,0.011,1133,0.154,0.235,0.275,0.336,174,266,312,381,
French,Level 2,Moderate,2021,52,255,0.007,215,0.009,982,0.093,0.239,0.251,0.418,91,235,246,410,
French,Level 2,Moderate,2022,46,205,0.006,165,0.007,759,0.107,0.227,0.269,0.398,81,172,204,302,
French,Level 2,Moderate,2023,50,243,0.007,207,0.008,917,0.128,0.277,0.264,0.332,117,254,242,304,
French,Level 2,Moderate,2024,44,256,0.006,210,0.008,953,0.104,0.298,0.272,0.326,99,284,259,311,
French,Level 2,More,2019,3,15,0.001,10,0.002,51,0.431,0.176,0.216,0.176,22,9,11,9,
French,Level 2,More,2020,2,2,0,1,0,5,0.2,0.2,0.2,0.4,1,1,1,2,Small Cohort
French,Level 2,More,2021,,,,,,0,,,,,,,,,Small Cohort
French,Level 2,More,2022,1,2,0,1,0,5,0,0.6,0,0.4,0,3,0,2,Small Cohort
French,Level 2,More,2023,3,5,0,0,0,9,0.444,0.333,0.111,0.111,4,3,1,1,Small Cohort
French,Level 2,More,2024,2,6,0,2,0,13,0.077,0.077,0.385,0.462,1,1,5,6,Small Cohort
French,Level 3,Fewer,2019,44,300,0.018,267,0.021,1194,0.081,0.221,0.286,0.412,97,264,341,492,
French,Level 3,Fewer,2020,46,277,0.016,244,0.018,1087,0.076,0.219,0.294,0.41,83,238,320,446,
French,Level 3,Fewer,2021,41,280,0.016,238,0.018,1053,0.042,0.165,0.288,0.505,44,174,303,532,
French,Level 3,Fewer,2022,40,236,0.014,205,0.016,897,0.068,0.208,0.272,0.452,61,187,244,405,
French,Level 3,Fewer,2023,37,230,0.014,197,0.016,867,0.063,0.204,0.271,0.461,55,177,235,400,
French,Level 3,Fewer,2024,38,232,0.013,200,0.015,888,0.064,0.23,0.262,0.444,57,204,233,394,
French,Level 3,Moderate,2019,54,208,0.008,156,0.008,786,0.117,0.265,0.247,0.372,92,208,194,292,
French,Level 3,Moderate,2020,47,189,0.007,134,0.007,648,0.12,0.247,0.244,0.389,78,160,158,252,
French,Level 3,Moderate,2021,44,178,0.007,129,0.007,614,0.101,0.261,0.256,0.383,62,160,157,235,
French,Level 3,Moderate,2022,39,144,0.006,109,0.006,507,0.122,0.219,0.264,0.394,62,111,134,200,
French,Level 3,Moderate,2023,41,132,0.005,108,0.006,490,0.1,0.227,0.218,0.455,49,111,107,223,
French,Level 3,Moderate,2024,40,147,0.005,123,0.006,540,0.094,0.259,0.252,0.394,51,140,136,213,
French,Level 3,More,2019,2,4,0.001,3,0.001,17,0.059,0.353,0.118,0.471,1,6,2,8,Small Cohort
French,Level 3,More,2020,2,4,0.001,1,0,9,0.111,0.111,0,0.778,1,1,0,7,Small Cohort
French,Level 3,More,2021,,,,,,4,,,,,,,,,Small Cohort
French,Level 3,More,2022,,,,,,0,,,,,,,,,Small Cohort
French,Level 3,More,2023,,,,,,3,,,,,,,,,Small Cohort
Gagana Samoa,Level 1,Fewer,2024,6,59,0.004,41,0.006,178,0.107,0.562,0.242,0.09,19,100,43,16,
Gagana Samoa,Level 1,Moderate,2024,21,245,0.007,188,0.007,795,0.086,0.342,0.292,0.281,68,272,232,223,
Gagana Samoa,Level 1,More,2024,19,371,0.027,200,0.026,1037,0.171,0.368,0.273,0.188,177,382,283,195,
Gagana Tokelau,Level 1,Fewer,2024,1,4,0,0,0,7,0,0.429,0.286,0.286,0,3,2,2,Small Cohort
Gagana Tokelau,Level 1,Moderate,2024,1,3,0,0,0,6,0.5,0.167,0.167,0.167,3,1,1,1,Small Cohort
Gagana Tokelau,Level 1,More,2024,2,18,0.001,7,0.001,42,0.071,0.31,0.333,0.286,3,13,14,12,
Geography,Level 1,Fewer,2019,70,3505,0.157,2626,0.167,14558,0.109,0.344,0.305,0.242,1582,5013,4443,3520,
Geography,Level 1,Fewer,2020,71,3445,0.133,2384,0.158,13568,0.121,0.351,0.291,0.237,1648,4760,3950,3210,
Geography,Level 1,Fewer,2021,67,3104,0.121,2113,0.149,11929,0.082,0.314,0.302,0.301,978,3751,3605,3595,
Geography,Level 1,Fewer,2022,67,2887,0.114,2068,0.148,11659,0.09,0.331,0.303,0.276,1047,3858,3537,3217,
Geography,Level 1,Fewer,2023,63,2774,0.123,1978,0.135,11173,0.101,0.354,0.291,0.253,1132,3956,3254,2831,
Geography,Level 1,Fewer,2024,51,2117,0.161,1395,0.191,5707,0.135,0.381,0.276,0.209,768,2172,1577,1190,
Geography,Level 1,Moderate,2019,172,6730,0.156,4142,0.141,26681,0.163,0.371,0.277,0.189,4342,9907,7387,5045,
Geography,Level 1,Moderate,2020,170,6467,0.133,3760,0.132,24425,0.167,0.384,0.267,0.182,4085,9371,6518,4451,
Geography,Level 1,Moderate,2021,172,6280,0.134,3381,0.122,23026,0.146,0.389,0.27,0.196,3360,8952,6211,4503,
Geography,Level 1,Moderate,2022,168,6023,0.126,3452,0.124,22365,0.16,0.39,0.265,0.184,3582,8720,5937,4126,
Geography,Level 1,Moderate,2023,164,5944,0.124,3299,0.112,21867,0.175,0.387,0.265,0.174,3822,8457,5789,3799,
Geography,Level 1,Moderate,2024,160,5336,0.147,3511,0.134,14727,0.215,0.415,0.236,0.134,3165,6107,3480,1975,
Geography,Level 1,More,2019,66,1511,0.109,604,0.075,4622,0.248,0.442,0.197,0.113,1147,2042,912,521,
Geography,Level 1,More,2020,66,1159,0.078,476,0.062,3728,0.297,0.436,0.179,0.087,1108,1626,668,326,
Geography,Level 1,More,2021,70,1310,0.085,363,0.048,3621,0.227,0.431,0.221,0.121,821,1562,800,438,
Geography,Level 1,More,2022,63,1440,0.091,434,0.056,3794,0.268,0.414,0.208,0.11,1018,1572,788,416,
Geography,Level 1,More,2023,56,1357,0.072,365,0.043,3659,0.281,0.454,0.181,0.083,1030,1662,662,305,
Geography,Level 1,More,2024,61,1506,0.108,611,0.079,3368,0.318,0.436,0.178,0.069,1071,1467,598,232,
Geography,Level 2,Fewer,2019,67,2229,0.111,1756,0.114,9569,0.137,0.33,0.292,0.241,1307,3155,2798,2309,
Geography,Level 2,Fewer,2020,65,2236,0.11,1514,0.098,8902,0.143,0.338,0.276,0.243,1274,3011,2454,2163,
Geography,Level 2,Fewer,2021,64,2035,0.105,1398,0.094,8009,0.127,0.332,0.263,0.278,1017,2656,2109,2227,
Geography,Level 2,Fewer,2022,64,1998,0.108,1503,0.104,8245,0.15,0.329,0.276,0.245,1234,2714,2277,2020,
Geography,Level 2,Fewer,2023,64,2030,0.103,1608,0.105,8643,0.146,0.336,0.283,0.235,1260,2906,2450,2027,
Geography,Level 2,Fewer,2024,67,2132,0.103,1670,0.102,9136,0.148,0.364,0.261,0.228,1348,3323,2381,2084,
Geography,Level 2,Moderate,2019,160,3601,0.1,2382,0.095,14205,0.19,0.365,0.258,0.187,2697,5182,3669,2657,
Geography,Level 2,Moderate,2020,164,3472,0.097,2036,0.083,12779,0.191,0.349,0.248,0.213,2435,4458,3163,2723,
Geography,Level 2,Moderate,2021,160,3321,0.095,1986,0.084,12219,0.171,0.367,0.249,0.214,2085,4487,3038,2609,
Geography,Level 2,Moderate,2022,156,3254,0.096,1822,0.079,11544,0.197,0.37,0.249,0.184,2276,4271,2874,2123,
Geography,Level 2,Moderate,2023,162,3698,0.103,2334,0.094,13927,0.205,0.358,0.25,0.187,2854,4988,3483,2602,
Geography,Level 2,Moderate,2024,161,3588,0.091,2222,0.081,13384,0.222,0.357,0.238,0.183,2966,4784,3189,2445,
Geography,Level 2,More,2019,61,816,0.073,364,0.06,2684,0.273,0.42,0.193,0.114,733,1128,518,305,
Geography,Level 2,More,2020,60,803,0.074,320,0.058,2514,0.311,0.378,0.196,0.115,781,950,494,289,
Geography,Level 2,More,2021,58,627,0.056,160,0.03,1773,0.259,0.403,0.213,0.126,459,714,377,223,
Geography,Level 2,More,2022,51,667,0.062,204,0.039,1893,0.332,0.357,0.21,0.101,629,676,397,191,
Geography,Level 2,More,2023,55,826,0.069,242,0.04,2214,0.337,0.396,0.168,0.098,747,876,373,218,
Geography,Level 2,More,2024,59,882,0.061,284,0.043,2605,0.377,0.392,0.145,0.086,982,1020,379,224,
Geography,Level 3,Fewer,2019,69,2372,0.139,1912,0.147,10029,0.173,0.366,0.252,0.209,1737,3666,2527,2099,
Geography,Level 3,Fewer,2020,68,2357,0.139,1763,0.133,9601,0.162,0.332,0.263,0.243,1556,3186,2527,2332,
Geography,Level 3,Fewer,2021,67,2109,0.123,1647,0.123,8693,0.126,0.346,0.267,0.262,1091,3004,2319,2279,
Geography,Level 3,Fewer,2022,66,2044,0.122,1580,0.123,8339,0.175,0.343,0.24,0.242,1457,2862,2004,2016,
Geography,Level 3,Fewer,2023,61,1959,0.121,1647,0.13,8345,0.148,0.35,0.271,0.231,1238,2920,2258,1929,
Geography,Level 3,Fewer,2024,67,2082,0.121,1718,0.126,8810,0.148,0.365,0.269,0.218,1301,3219,2368,1922,
Geography,Level 3,Moderate,2019,162,3691,0.142,2733,0.143,14781,0.204,0.369,0.234,0.193,3015,5460,3453,2853,
Geography,Level 3,Moderate,2020,159,3363,0.129,2089,0.113,12535,0.202,0.353,0.241,0.204,2535,4423,3026,2551,
Geography,Level 3,Moderate,2021,158,3009,0.114,1947,0.103,11322,0.174,0.376,0.242,0.207,1975,4254,2744,2349,
Geography,Level 3,Moderate,2022,155,2886,0.111,1839,0.103,10736,0.2,0.382,0.232,0.186,2147,4098,2491,2000,
Geography,Level 3,Moderate,2023,153,2947,0.117,2022,0.112,11239,0.2,0.388,0.231,0.181,2251,4360,2591,2037,
Geography,Level 3,Moderate,2024,153,3294,0.118,2406,0.12,12820,0.183,0.382,0.235,0.201,2342,4894,3009,2575,
Geography,Level 3,More,2019,60,629,0.082,286,0.063,2084,0.308,0.418,0.178,0.096,641,872,370,201,
Geography,Level 3,More,2020,56,654,0.088,276,0.065,2103,0.288,0.37,0.192,0.149,606,779,404,314,
Geography,Level 3,More,2021,50,610,0.083,232,0.055,1904,0.295,0.392,0.194,0.119,561,746,370,227,
Geography,Level 3,More,2022,48,585,0.08,185,0.047,1661,0.361,0.339,0.181,0.12,599,563,300,199,
Geography,Level 3,More,2023,46,597,0.08,226,0.053,1837,0.329,0.367,0.183,0.12,604,675,337,221,
Geography,Level 3,More,2024,53,678,0.079,283,0.056,2173,0.358,0.361,0.148,0.133,779,785,321,288,
German,Level 1,Fewer,2019,18,318,0.014,235,0.015,1071,0.073,0.268,0.338,0.321,78,287,362,344,
German,Level 1,Fewer,2020,15,286,0.011,219,0.015,976,0.078,0.274,0.317,0.332,76,267,309,324,
German,Level 1,Fewer,2021,14,131,0.005,125,0.009,515,0.043,0.233,0.351,0.373,22,120,181,192,
German,Level 1,Fewer,2022,15,138,0.005,118,0.008,519,0.1,0.214,0.331,0.355,52,111,172,184,
German,Level 1,Fewer,2023,14,123,0.005,101,0.007,436,0.069,0.287,0.305,0.339,30,125,133,148,
German,Level 1,Fewer,2024,10,57,0.004,34,0.005,155,0.032,0.181,0.368,0.419,5,28,57,65,
German,Level 1,Moderate,2019,26,177,0.004,107,0.004,571,0.121,0.329,0.284,0.266,69,188,162,152,
German,Level 1,Moderate,2020,21,152,0.003,103,0.004,492,0.126,0.339,0.262,0.272,62,167,129,134,
German,Level 1,Moderate,2021,22,127,0.003,88,0.003,433,0.113,0.229,0.293,0.365,49,99,127,158,
German,Level 1,Moderate,2022,15,87,0.002,66,0.002,314,0.146,0.315,0.264,0.274,46,99,83,86,
German,Level 1,Moderate,2023,14,113,0.002,94,0.003,397,0.108,0.353,0.302,0.237,43,140,120,94,
German,Level 1,Moderate,2024,15,108,0.003,72,0.003,315,0.187,0.343,0.267,0.203,59,108,84,64,
German,Level 1,More,2019,1,13,0.001,11,0.001,45,0.333,0.289,0.311,0.067,15,13,14,3,
German,Level 1,More,2020,3,15,0.001,7,0.001,33,0,0.182,0.455,0.364,0,6,15,12,
German,Level 1,More,2021,,,,,,1,,,,,,,,,Small Cohort
German,Level 1,More,2022,,,,,,2,,,,,,,,,Small Cohort
German,Level 1,More,2023,5,28,0.001,22,0.003,97,0.175,0.381,0.206,0.237,17,37,20,23,
German,Level 1,More,2024,3,31,0.002,19,0.002,86,0.302,0.279,0.302,0.116,26,24,26,10,
German,Level 2,Fewer,2019,23,163,0.008,148,0.01,645,0.067,0.248,0.305,0.38,43,160,197,245,
German,Level 2,Fewer,2020,20,159,0.008,133,0.009,582,0.098,0.249,0.318,0.335,57,145,185,195,
German,Level 2,Fewer,2021,15,128,0.007,121,0.008,492,0.051,0.191,0.346,0.413,25,94,170,203,
German,Level 2,Fewer,2022,16,81,0.004,73,0.005,310,0.103,0.258,0.29,0.348,32,80,90,108,
German,Level 2,Fewer,2023,19,108,0.005,84,0.006,375,0.115,0.299,0.269,0.317,43,112,101,119,
German,Level 2,Fewer,2024,21,83,0.004,66,0.004,295,0.075,0.224,0.268,0.434,22,66,79,128,
German,Level 2,Moderate,2019,25,89,0.002,63,0.003,302,0.146,0.354,0.265,0.235,44,107,80,71,
German,Level 2,Moderate,2020,27,83,0.002,62,0.003,291,0.127,0.261,0.292,0.32,37,76,85,93,
German,Level 2,Moderate,2021,22,70,0.002,54,0.002,250,0.096,0.236,0.26,0.408,24,59,65,102,
German,Level 2,Moderate,2022,21,68,0.002,48,0.002,233,0.137,0.253,0.258,0.352,32,59,60,82,
German,Level 2,Moderate,2023,20,68,0.002,39,0.002,214,0.168,0.276,0.29,0.266,36,59,62,57,
German,Level 2,Moderate,2024,17,83,0.002,58,0.002,269,0.126,0.335,0.286,0.253,34,90,77,68,
German,Level 2,More,2019,2,7,0.001,5,0.001,24,0,0.042,0.458,0.5,0,1,11,12,Small Cohort
German,Level 2,More,2020,2,12,0.001,8,0.001,35,0,0.286,0.314,0.4,0,10,11,14,
German,Level 2,More,2021,2,8,0.001,7,0.001,32,0.031,0.188,0.438,0.344,1,6,14,11,
German,Level 2,More,2022,3,10,0.001,7,0.001,36,0,0.056,0.25,0.694,0,2,9,25,
German,Level 2,More,2023,4,10,0.001,2,0,23,0.087,0.217,0.304,0.391,2,5,7,9,Small Cohort
German,Level 2,More,2024,5,25,0.002,17,0.003,78,0.244,0.244,0.244,0.269,19,19,19,21,
German,Level 3,Fewer,2019,19,114,0.007,103,0.008,443,0.07,0.201,0.293,0.436,31,89,130,193,
German,Level 3,Fewer,2020,22,118,0.007,89,0.007,424,0.054,0.233,0.262,0.45,23,99,111,191,
German,Level 3,Fewer,2021,16,98,0.006,80,0.006,352,0.139,0.207,0.247,0.406,49,73,87,143,
German,Level 3,Fewer,2022,20,94,0.006,70,0.005,344,0.087,0.218,0.285,0.41,30,75,98,141,
German,Level 3,Fewer,2023,17,66,0.004,51,0.004,238,0.067,0.256,0.261,0.416,16,61,62,99,
German,Level 3,Fewer,2024,20,89,0.005,63,0.005,307,0.094,0.225,0.287,0.394,29,69,88,121,
German,Level 3,Moderate,2019,27,88,0.003,55,0.003,295,0.092,0.197,0.322,0.39,27,58,95,115,
German,Level 3,Moderate,2020,33,70,0.003,44,0.002,234,0.081,0.269,0.299,0.35,19,63,70,82,
German,Level 3,Moderate,2021,17,35,0.001,24,0.001,120,0.133,0.225,0.2,0.442,16,27,24,53,
German,Level 3,Moderate,2022,14,39,0.002,24,0.001,129,0.171,0.163,0.287,0.38,22,21,37,49,
German,Level 3,Moderate,2023,22,60,0.002,28,0.002,176,0.074,0.176,0.267,0.483,13,31,47,85,
German,Level 3,Moderate,2024,21,57,0.002,35,0.002,198,0.076,0.227,0.202,0.495,15,45,40,98,
German,Level 3,More,2019,,,,,,2,,,,,,,,,Small Cohort
German,Level 3,More,2020,3,3,0,2,0,8,0,0.125,0,0.875,0,1,0,7,Small Cohort
German,Level 3,More,2021,3,3,0,2,0,11,0.091,0.273,0.364,0.273,1,3,4,3,Small Cohort
German,Level 3,More,2023,,,,,,4,,,,,,,,,Small Cohort
German,Level 3,More,2024,1,1,0,1,0,5,0,0.4,0,0.6,0,2,0,3,Small Cohort
Hangarau,Level 1,Moderate,2024,,,,,,3,,,,,,,,,Small Cohort
