Secondary Subject,Level,School Equity Index Group,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Chinese,Level 3,Moderate,2024,36,180,0.006,113,0.006,605,0.078,0.159,0.25,0.514,47,96,151,311,
Chinese,Level 3,More,2019,7,43,0.006,34,0.007,178,0.022,0.169,0.174,0.635,4,30,31,113,
Chinese,Level 3,More,2020,5,37,0.005,30,0.007,149,0.054,0.128,0.174,0.644,8,19,26,96,
Chinese,Level 3,More,2021,5,44,0.006,31,0.007,160,0.081,0.106,0.131,0.681,13,17,21,109,
Chinese,Level 3,More,2022,5,32,0.004,14,0.004,84,0.095,0.167,0.131,0.607,8,14,11,51,
Chinese,Level 3,More,2023,4,28,0.004,17,0.004,93,0.043,0.151,0.14,0.667,4,14,13,62,
Chinese,Level 3,More,2024,6,33,0.004,19,0.004,108,0.12,0.074,0.176,0.63,13,8,19,68,
Chinese (Mandarin),Level 1,Fewer,2024,29,278,0.021,99,0.014,598,0.104,0.224,0.251,0.421,62,134,150,252,
Chinese (Mandarin),Level 1,Moderate,2024,28,267,0.007,137,0.005,701,0.252,0.241,0.165,0.341,177,169,116,239,
Chinese (Mandarin),Level 1,More,2024,4,28,0.002,6,0.001,45,0.2,0.244,0.222,0.333,9,11,10,15,
Classical Studies,Level 1,Fewer,2019,16,572,0.026,167,0.011,1076,0.067,0.291,0.371,0.271,72,313,399,292,
Classical Studies,Level 1,Fewer,2020,19,653,0.025,266,0.018,1415,0.092,0.295,0.323,0.29,130,417,457,411,
Classical Studies,Level 1,Fewer,2021,14,351,0.014,217,0.015,959,0.069,0.271,0.317,0.343,66,260,304,329,
Classical Studies,Level 1,Fewer,2022,13,433,0.017,191,0.014,1042,0.125,0.274,0.336,0.265,130,286,350,276,
Classical Studies,Level 1,Fewer,2023,10,305,0.013,156,0.011,797,0.139,0.274,0.338,0.25,111,218,269,199,
Classical Studies,Level 1,Moderate,2019,32,776,0.018,222,0.008,1521,0.172,0.354,0.241,0.233,261,539,367,354,
Classical Studies,Level 1,Moderate,2020,32,992,0.02,250,0.009,1745,0.167,0.39,0.24,0.203,291,681,418,355,
Classical Studies,Level 1,Moderate,2021,29,709,0.015,191,0.007,1297,0.207,0.343,0.248,0.202,268,445,322,262,
Classical Studies,Level 1,Moderate,2022,26,623,0.013,188,0.007,1201,0.196,0.374,0.236,0.194,235,449,284,233,
Classical Studies,Level 1,Moderate,2023,30,647,0.013,224,0.008,1412,0.147,0.408,0.245,0.2,208,576,346,282,
Classical Studies,Level 1,More,2019,13,177,0.013,26,0.003,260,0.235,0.415,0.223,0.127,61,108,58,33,
Classical Studies,Level 1,More,2020,14,320,0.022,16,0.002,411,0.319,0.448,0.156,0.078,131,184,64,32,
Classical Studies,Level 1,More,2021,11,216,0.014,12,0.002,322,0.183,0.373,0.245,0.199,59,120,79,64,
Classical Studies,Level 1,More,2022,11,228,0.014,13,0.002,341,0.164,0.449,0.211,0.176,56,153,72,60,
Classical Studies,Level 1,More,2023,9,258,0.014,21,0.002,378,0.138,0.532,0.148,0.183,52,201,56,69,
Classical Studies,Level 2,Fewer,2019,48,1371,0.068,998,0.065,4181,0.121,0.317,0.303,0.26,504,1324,1266,1087,
Classical Studies,Level 2,Fewer,2020,46,1340,0.066,959,0.062,4022,0.14,0.301,0.289,0.27,565,1210,1161,1086,
Classical Studies,Level 2,Fewer,2021,45,1302,0.067,942,0.063,3958,0.096,0.311,0.295,0.298,379,1231,1169,1179,
Classical Studies,Level 2,Fewer,2022,47,1310,0.071,929,0.065,3956,0.116,0.312,0.302,0.269,460,1236,1195,1065,
Classical Studies,Level 2,Fewer,2023,48,1440,0.073,1048,0.069,4437,0.117,0.307,0.306,0.27,519,1364,1356,1198,
Classical Studies,Level 2,Fewer,2024,51,1485,0.072,1016,0.062,4425,0.1,0.331,0.317,0.252,443,1463,1402,1117,
Classical Studies,Level 2,Moderate,2019,79,1583,0.044,1052,0.042,4584,0.196,0.362,0.241,0.201,897,1660,1104,923,
Classical Studies,Level 2,Moderate,2020,80,1670,0.047,1112,0.045,4731,0.186,0.372,0.239,0.203,879,1761,1131,960,
Classical Studies,Level 2,Moderate,2021,81,1760,0.05,1016,0.043,4701,0.178,0.359,0.251,0.212,837,1686,1181,997,
Classical Studies,Level 2,Moderate,2022,80,1628,0.048,849,0.037,4104,0.225,0.347,0.232,0.196,925,1423,952,804,
Classical Studies,Level 2,Moderate,2023,87,1862,0.052,1025,0.041,4846,0.184,0.357,0.255,0.203,894,1732,1234,986,
