"Subject","School Equity Index Group","Academic Year","Outstanding Scholarship Rate","Scholarship Rate","No Award Rate","Outstanding Scholarship Count","Scholarship Count","No Award Count","Total Assessed Result Count","Total Student Count","Cohort Warning"
"Samoan","Fewer","2021","0","0.333","0.667","0","1","2","3","5","Small Cohort"
"Samoan","Fewer","2022","","","","","","","","2","Small Cohort"
"Samoan","Fewer","2023","0","0","1","0","0","4","4","6","Small Cohort"
"Samoan","Fewer","2024","","","","","","","","2","Small Cohort"
"Samoan","Moderate","2019","0","0.1","0.9","0","2","18","20","36",""
"Samoan","Moderate","2020","0.067","0.133","0.8","1","2","12","15","31",""
"Samoan","Moderate","2021","0","0.235","0.765","0","4","13","17","32",""
"Samoan","Moderate","2022","0.037","0.074","0.889","1","2","24","27","35",""
"Samoan","Moderate","2023","0.045","0.091","0.864","1","2","19","22","27","Small Cohort"
"Samoan","Moderate","2024","0","0.154","0.846","0","4","22","26","35",""
"Samoan","More","2019","0.03","0.152","0.818","1","5","27","33","39",""
"Samoan","More","2020","0","0.135","0.865","0","5","32","37","49",""
"Samoan","More","2021","0.031","0.125","0.844","1","4","27","32","49",""
"Samoan","More","2022","0","0.114","0.886","0","5","39","44","52",""
"Samoan","More","2023","0","0.167","0.833","0","7","35","42","59",""
"Samoan","More","2024","0.031","0.125","0.844","1","4","27","32","42",""
"Sculpture","Fewer","2019","0.067","0.2","0.733","1","3","11","15","29","Small Cohort"
"Sculpture","Fewer","2020","0","0.273","0.727","0","3","8","11","23","Small Cohort"
"Sculpture","Fewer","2021","0.143","0.143","0.714","1","1","5","7","23","Small Cohort"
"Sculpture","Fewer","2022","0","0.214","0.786","0","3","11","14","18","Small Cohort"
"Sculpture","Fewer","2023","0","0.357","0.643","0","5","9","14","26","Small Cohort"
"Sculpture","Fewer","2024","0.154","0.462","0.385","2","6","5","13","35",""
"Sculpture","Moderate","2019","0","0.143","0.857","0","1","6","7","28","Small Cohort"
"Sculpture","Moderate","2020","0.125","0.25","0.625","1","2","5","8","32",""
"Sculpture","Moderate","2021","0","0.182","0.818","0","4","18","22","23","Small Cohort"
"Sculpture","Moderate","2022","0.04","0.04","0.92","1","1","23","25","47",""
"Sculpture","Moderate","2023","0","0.211","0.789","0","4","15","19","44",""
"Sculpture","Moderate","2024","0","0.308","0.692","0","4","9","13","51",""
"Sculpture","More","2019","","","","","","","","2","Small Cohort"
"Sculpture","More","2020","","","","","","","","1","Small Cohort"
"Sculpture","More","2021","","","","","","","","1","Small Cohort"
"Sculpture","More","2022","","","","","","","","2","Small Cohort"
"Sculpture","More","2023","","","","","","","","2","Small Cohort"
"Spanish","Fewer","2019","0.026","0.158","0.816","1","6","31","38","51",""
"Spanish","Fewer","2020","0","0.15","0.85","0","6","34","40","53",""
"Spanish","Fewer","2021","0.03","0.152","0.818","1","5","27","33","48",""
"Spanish","Fewer","2022","0","0.114","0.886","0","5","39","44","66",""
"Spanish","Fewer","2023","0.021","0.064","0.915","1","3","43","47","57",""
"Spanish","Fewer","2024","0.013","0.187","0.8","1","14","60","75","101",""
"Spanish","Moderate","2019","0","0.107","0.893","0","3","25","28","38",""
"Spanish","Moderate","2020","0.038","0.154","0.808","1","4","21","26","33",""
"Spanish","Moderate","2021","0","0.111","0.889","0","3","24","27","42",""
"Spanish","Moderate","2022","0","0.059","0.941","0","1","16","17","35",""
"Spanish","Moderate","2023","0","0.138","0.862","0","4","25","29","48",""
"Spanish","Moderate","2024","0","0.036","0.964","0","1","27","28","39",""
"Spanish","More","2019","","","","","","","","1","Small Cohort"
"Spanish","More","2021","","","","","","","","1","Small Cohort"
"Spanish","More","2023","","","","","","","","1","Small Cohort"
"Spanish","More","2024","","","","","","","","1","Small Cohort"
"Statistics","Fewer","2019","0.051","0.296","0.653","28","163","360","551","678",""
"Statistics","Fewer","2020","0.037","0.317","0.645","21","179","364","564","715",""
"Statistics","Fewer","2021","0.039","0.341","0.62","21","182","331","534","843",""
"Statistics","Fewer","2022","0.04","0.345","0.614","20","172","306","498","750",""
"Statistics","Fewer","2023","0.044","0.349","0.607","21","167","290","478","689",""
"Statistics","Fewer","2024","0.037","0.401","0.562","20","214","300","534","829",""
"Statistics","Moderate","2019","0.024","0.271","0.706","6","69","180","255","428",""
"Statistics","Moderate","2020","0.03","0.265","0.705","7","62","165","234","355",""
"Statistics","Moderate","2021","0.033","0.327","0.64","7","69","135","211","388",""
"Statistics","Moderate","2022","0.02","0.286","0.694","4","56","136","196","392",""
"Statistics","Moderate","2023","0.018","0.282","0.7","3","48","119","170","318",""
"Statistics","Moderate","2024","0.041","0.32","0.64","9","71","142","222","332",""
"Statistics","More","2019","","","","","","","","4","Small Cohort"
"Statistics","More","2020","","","","","","","","4","Small Cohort"
"Statistics","More","2021","0","0.667","0.333","0","2","1","3","6","Small Cohort"
"Statistics","More","2022","","","","","","","","2","Small Cohort"
"Statistics","More","2023","0","0","1","0","0","2","2","8","Small Cohort"
"Statistics","More","2024","0","0","1","0","0","6","6","14","Small Cohort"
"Te Ao Haka","Fewer","2023","","","","","","","","2","Small Cohort"
"Te Ao Haka","Fewer","2024","","","","","","","","4","Small Cohort"
"Te Ao Haka","Moderate","2023","","","","","","","","4","Small Cohort"
"Te Ao Haka","Moderate","2024","0.5","0","0.5","1","0","1","2","9","Small Cohort"
"Te Ao Haka","More","2023","0.2","0.2","0.6","2","2","6","10","25","Small Cohort"
"Te Ao Haka","More","2024","0.5","0.125","0.375","4","1","3","8","29","Small Cohort"
"Te Reo Maori","Fewer","2019","0.05","0","0.95","1","0","19","20","24","Small Cohort"
"Te Reo Maori","Fewer","2020","0","0.083","0.917","0","1","11","12","18","Small Cohort"
"Te Reo Maori","Fewer","2021","0","0.5","0.5","0","1","1","2","13","Small Cohort"
"Te Reo Maori","Fewer","2022","0","0.083","0.917","0","1","11","12","24","Small Cohort"
"Te Reo Maori","Fewer","2023","0.091","0.273","0.636","1","3","7","11","17","Small Cohort"
"Te Reo Maori","Fewer","2024","0","0.524","0.476","0","11","10","21","28","Small Cohort"
"Te Reo Maori","Moderate","2019","0","0.083","0.917","0","2","22","24","41",""
"Te Reo Maori","Moderate","2020","0.083","0.25","0.667","2","6","16","24","32",""
"Te Reo Maori","Moderate","2021","0.056","0.389","0.556","2","14","20","36","57",""
"Te Reo Maori","Moderate","2022","0.031","0.25","0.719","1","8","23","32","44",""
"Te Reo Maori","Moderate","2023","0.042","0.25","0.708","1","6","17","24","38",""
"Te Reo Maori","Moderate","2024","0.069","0.31","0.621","2","9","18","29","52",""
"Te Reo Maori","More","2019","0.029","0.309","0.662","2","21","45","68","83",""
"Te Reo Maori","More","2020","0","0.382","0.618","0","21","34","55","92",""
"Te Reo Maori","More","2021","0.017","0.237","0.746","1","14","44","59","117",""
"Te Reo Maori","More","2022","0.029","0.25","0.721","2","17","49","68","95",""
"Te Reo Maori","More","2023","0.025","0.278","0.696","2","22","55","79","126",""
"Te Reo Maori","More","2024","0.038","0.192","0.769","4","20","80","104","163",""
"Te Reo Rangatira","Fewer","2019","","","","","","","","3","Small Cohort"
"Te Reo Rangatira","Fewer","2020","0","0.333","0.667","0","1","2","3","5","Small Cohort"
"Te Reo Rangatira","Fewer","2021","","","","","","","","4","Small Cohort"
"Te Reo Rangatira","Fewer","2022","","","","","","","","2","Small Cohort"
"Te Reo Rangatira","Fewer","2023","0","0.333","0.667","0","1","2","3","6","Small Cohort"
"Te Reo Rangatira","Fewer","2024","0","0.111","0.889","0","1","8","9","12","Small Cohort"
"Te Reo Rangatira","Moderate","2019","0","0","1","0","0","17","17","17","Small Cohort"
"Te Reo Rangatira","Moderate","2020","0","0.214","0.786","0","3","11","14","18","Small Cohort"
"Te Reo Rangatira","Moderate","2021","0.05","0.2","0.75","1","4","15","20","22","Small Cohort"
"Te Reo Rangatira","Moderate","2022","0","0.111","0.889","0","2","16","18","24","Small Cohort"
"Te Reo Rangatira","Moderate","2023","0","0.083","0.917","0","1","11","12","14","Small Cohort"
"Te Reo Rangatira","Moderate","2024","0.167","0","0.833","1","0","5","6","10","Small Cohort"
"Te Reo Rangatira","More","2019","0.021","0.063","0.917","1","3","44","48","56",""
"Te Reo Rangatira","More","2020","0.029","0.176","0.794","1","6","27","34","57",""
"Te Reo Rangatira","More","2021","0","0.057","0.943","0","2","33","35","77",""
"Te Reo Rangatira","More","2022","0.029","0.086","0.886","1","3","31","35","42",""
"Te Reo Rangatira","More","2023","0.023","0.091","0.886","1","4","39","44","77",""
"Te Reo Rangatira","More","2024","0.033","0.148","0.82","2","9","50","61","92",""
"Technology","Fewer","2019","0.061","0.351","0.588","7","40","67","114","192",""
"Technology","Fewer","2020","0.03","0.287","0.683","5","47","112","164","251",""
"Technology","Fewer","2021","0.042","0.296","0.662","6","42","94","142","283",""
"Technology","Fewer","2022","0.028","0.239","0.732","4","34","104","142","268",""
"Technology","Fewer","2023","0.05","0.262","0.688","7","37","97","141","239",""
"Technology","Fewer","2024","0.05","0.379","0.571","8","61","92","161","281",""
"Technology","Moderate","2019","0.086","0.371","0.543","3","13","19","35","87",""
"Technology","Moderate","2020","0.098","0.244","0.659","4","10","27","41","73",""
"Technology","Moderate","2021","0.027","0.219","0.753","2","16","55","73","120",""
"Technology","Moderate","2022","0.032","0.194","0.774","1","6","24","31","78",""
"Technology","Moderate","2023","0.022","0.178","0.8","1","8","36","45","94",""
"Technology","Moderate","2024","0.03","0.318","0.652","2","21","43","66","135",""
"Technology","More","2019","","","","","","","","1","Small Cohort"
"Technology","More","2020","","","","","","","","2","Small Cohort"
"Technology","More","2021","","","","","","","","1","Small Cohort"
"Technology","More","2024","","","","","","","","3","Small Cohort"
