"Year Level","Qualification","Ethnicity","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate - Excellence Endorsement","Current Year Attainment Rate - Excellence Endorsement","Cumulative Year Attainment Rate - Merit Endorsement","Current Year Attainment Rate - Merit Endorsement","Cumulative Year Attainment Rate - No Endorsement","Current Year Attainment Rate - No Endorsement","Cumulative Year Attainment - Excellence Endorsement","Current Year Attainment - Excellence Endorsement","Cumulative Year Attainment - Merit Endorsement","Current Year Attainment - Merit Endorsement","Cumulative Year Attainment - No Endorsement","Current Year Attainment - No Endorsement","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"13","NCEA Level 3","Middle Eastern/Latin American/African","2024","1","0.113","0.116","0.245","0.248","0.643","0.637","105","104","228","223","599","573","932","900","1378",""
"13","University Entrance","Maori","2015","1","0","0","0","0","0","0","0","0","0","0","0","0","2620","2568","9436",""
"13","University Entrance","Maori","2016","1","0","0","0","0","0","0","0","0","0","0","0","0","2687","2608","9547",""
"13","University Entrance","Maori","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","2894","2793","9887",""
"13","University Entrance","Maori","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","2850","2794","9743",""
"13","University Entrance","Maori","2019","1","0","0","0","0","0","0","0","0","0","0","0","0","2757","2695","9225",""
"13","University Entrance","Maori","2020","1","0","0","0","0","0","0","0","0","0","0","0","0","3147","3093","9220",""
"13","University Entrance","Maori","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","3061","2996","9651",""
"13","University Entrance","Maori","2022","1","0","0","0","0","0","0","0","0","0","0","0","0","2893","2849","9357",""
"13","University Entrance","Maori","2023","1","0","0","0","0","0","0","0","0","0","0","0","0","2916","2847","9345",""
"13","University Entrance","Maori","2024","1","0","0","0","0","0","0","0","0","0","0","0","0","3221","3146","10089",""
"13","University Entrance","European","2015","1","0","0","0","0","0","0","0","0","0","0","0","0","17096","16730","31172",""
"13","University Entrance","European","2016","1","0","0","0","0","0","0","0","0","0","0","0","0","17074","16563","30728",""
"13","University Entrance","European","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","17059","16600","31014",""
"13","University Entrance","European","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","16545","16263","30083",""
"13","University Entrance","European","2019","1","0","0","0","0","0","0","0","0","0","0","0","0","16293","15981","29563",""
"13","University Entrance","European","2020","1","0","0","0","0","0","0","0","0","0","0","0","0","17427","17144","29550",""
"13","University Entrance","European","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","17515","17155","30604",""
"13","University Entrance","European","2022","1","0","0","0","0","0","0","0","0","0","0","0","0","16373","16087","29214",""
"13","University Entrance","European","2023","1","0","0","0","0","0","0","0","0","0","0","0","0","16058","15796","28950",""
"13","University Entrance","European","2024","1","0","0","0","0","0","0","0","0","0","0","0","0","17280","16972","31077",""
"13","University Entrance","Pacific Peoples","2015","1","0","0","0","0","0","0","0","0","0","0","0","0","1510","1487","5663",""
"13","University Entrance","Pacific Peoples","2016","1","0","0","0","0","0","0","0","0","0","0","0","0","1580","1561","5707",""
"13","University Entrance","Pacific Peoples","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","1716","1698","5857",""
"13","University Entrance","Pacific Peoples","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","1699","1689","5949",""
"13","University Entrance","Pacific Peoples","2019","1","0","0","0","0","0","0","0","0","0","0","0","0","1775","1762","5867",""
"13","University Entrance","Pacific Peoples","2020","1","0","0","0","0","0","0","0","0","0","0","0","0","1969","1955","5838",""
"13","University Entrance","Pacific Peoples","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","2035","2017","6176",""
"13","University Entrance","Pacific Peoples","2022","1","0","0","0","0","0","0","0","0","0","0","0","0","1733","1708","6047",""
"13","University Entrance","Pacific Peoples","2023","1","0","0","0","0","0","0","0","0","0","0","0","0","1809","1775","6067",""
"13","University Entrance","Pacific Peoples","2024","1","0","0","0","0","0","0","0","0","0","0","0","0","2082","2035","6471",""
"13","University Entrance","Asian","2015","1","0","0","0","0","0","0","0","0","0","0","0","0","3681","3588","6404",""
"13","University Entrance","Asian","2016","1","0","0","0","0","0","0","0","0","0","0","0","0","3750","3619","6379",""
"13","University Entrance","Asian","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","4079","3944","6785",""
"13","University Entrance","Asian","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","4148","4058","6900",""
"13","University Entrance","Asian","2019","1","0","0","0","0","0","0","0","0","0","0","0","0","3951","3872","6658",""
"13","University Entrance","Asian","2020","1","0","0","0","0","0","0","0","0","0","0","0","0","4666","4562","7284",""
"13","University Entrance","Asian","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","4783","4639","7541",""
"13","University Entrance","Asian","2022","1","0","0","0","0","0","0","0","0","0","0","0","0","4852","4684","7921",""
"13","University Entrance","Asian","2023","1","0","0","0","0","0","0","0","0","0","0","0","0","4728","4630","8133",""
"13","University Entrance","Asian","2024","1","0","0","0","0","0","0","0","0","0","0","0","0","5673","5527","9799",""
"13","University Entrance","Middle Eastern/Latin American/African","2015","1","0","0","0","0","0","0","0","0","0","0","0","0","506","498","963",""
"13","University Entrance","Middle Eastern/Latin American/African","2016","1","0","0","0","0","0","0","0","0","0","0","0","0","514","494","988",""
"13","University Entrance","Middle Eastern/Latin American/African","2017","1","0","0","0","0","0","0","0","0","0","0","0","0","529","509","1037",""
"13","University Entrance","Middle Eastern/Latin American/African","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","531","526","1057",""
"13","University Entrance","Middle Eastern/Latin American/African","2019","1","0","0","0","0","0","0","0","0","0","0","0","0","533","520","1025",""
"13","University Entrance","Middle Eastern/Latin American/African","2020","1","0","0","0","0","0","0","0","0","0","0","0","0","625","616","1083",""
"13","University Entrance","Middle Eastern/Latin American/African","2021","1","0","0","0","0","0","0","0","0","0","0","0","0","639","623","1141",""
"13","University Entrance","Middle Eastern/Latin American/African","2022","1","0","0","0","0","0","0","0","0","0","0","0","0","634","612","1234",""
"13","University Entrance","Middle Eastern/Latin American/African","2023","1","0","0","0","0","0","0","0","0","0","0","0","0","629","620","1223",""
"13","University Entrance","Middle Eastern/Latin American/African","2024","1","0","0","0","0","0","0","0","0","0","0","0","0","729","710","1378",""
