"Subject","Region","Academic Year","Outstanding Scholarship Rate","Scholarship Rate","No Award Rate","Outstanding Scholarship Count","Scholarship Count","No Award Count","Total Assessed Result Count","Total Student Count","Cohort Warning"
"Accounting","Auckland","2015","0.044","0.398","0.558","5","45","63","113","133",""
"Accounting","Auckland","2016","0.042","0.302","0.656","4","29","63","96","135",""
"Accounting","Auckland","2017","0.042","0.314","0.644","5","37","76","118","160",""
"Accounting","Auckland","2018","0.029","0.32","0.65","3","33","67","103","145",""
"Accounting","Auckland","2019","0.031","0.305","0.664","4","39","85","128","166",""
"Accounting","Auckland","2020","0.04","0.303","0.657","4","30","65","99","147",""
"Accounting","Auckland","2021","0.07","0.38","0.549","5","27","39","71","155",""
"Accounting","Auckland","2022","0","0.215","0.785","0","20","73","93","174",""
"Accounting","Auckland","2023","0.019","0.257","0.724","2","27","76","105","185",""
"Accounting","Auckland","2024","0.032","0.302","0.667","4","38","84","126","206",""
"Accounting","Bay of Plenty","2015","0.056","0","0.944","1","0","17","18","18","Small Cohort"
"Accounting","Bay of Plenty","2016","0","0.286","0.714","0","4","10","14","20","Small Cohort"
"Accounting","Bay of Plenty","2017","0","0.214","0.786","0","3","11","14","24","Small Cohort"
"Accounting","Bay of Plenty","2018","0.067","0.267","0.667","1","4","10","15","22","Small Cohort"
"Accounting","Bay of Plenty","2019","0","0.111","0.889","0","1","8","9","24","Small Cohort"
"Accounting","Bay of Plenty","2020","0","0.2","0.8","0","3","12","15","34",""
"Accounting","Bay of Plenty","2021","0","0.25","0.75","0","1","3","4","16","Small Cohort"
"Accounting","Bay of Plenty","2022","0","0.286","0.714","0","2","5","7","21","Small Cohort"
"Accounting","Bay of Plenty","2023","0","0.25","0.75","0","1","3","4","6","Small Cohort"
"Accounting","Canterbury","2015","0","0.143","0.857","0","4","24","28","41",""
"Accounting","Canterbury","2016","0","0.4","0.6","0","10","15","25","36",""
"Accounting","Canterbury","2017","0","0.176","0.824","0","3","14","17","25","Small Cohort"
"Accounting","Canterbury","2018","0.071","0.286","0.643","1","4","9","14","32",""
"Accounting","Canterbury","2019","0.063","0.313","0.625","1","5","10","16","25","Small Cohort"
"Accounting","Canterbury","2020","0","0.133","0.867","0","2","13","15","22","Small Cohort"
"Accounting","Canterbury","2021","0","0.333","0.667","0","5","10","15","25","Small Cohort"
"Accounting","Canterbury","2022","0","0.444","0.556","0","4","5","9","22","Small Cohort"
"Accounting","Canterbury","2023","0.091","0.455","0.455","1","5","5","11","17","Small Cohort"
"Accounting","Canterbury","2024","0","0.167","0.833","0","3","15","18","24","Small Cohort"
"Accounting","Hawke's Bay","2015","0.037","0.37","0.593","1","10","16","27","32",""
"Accounting","Hawke's Bay","2016","0.077","0.346","0.577","2","9","15","26","34",""
"Accounting","Hawke's Bay","2017","0.045","0.182","0.773","1","4","17","22","32",""
"Accounting","Hawke's Bay","2018","0.071","0.321","0.607","2","9","17","28","37",""
"Accounting","Hawke's Bay","2019","0","0.294","0.706","0","5","12","17","21","Small Cohort"
"Accounting","Hawke's Bay","2020","0","0.375","0.625","0","6","10","16","25","Small Cohort"
"Accounting","Hawke's Bay","2021","0.05","0.4","0.55","1","8","11","20","31",""
"Accounting","Hawke's Bay","2022","0.2","0.4","0.4","3","6","6","15","22","Small Cohort"
"Accounting","Hawke's Bay","2023","0.1","0.2","0.7","1","2","7","10","11","Small Cohort"
"Accounting","Hawke's Bay","2024","0","0.25","0.75","0","3","9","12","21","Small Cohort"
"Accounting","Manawatu-Whanganui","2015","0.182","0.091","0.727","2","1","8","11","18","Small Cohort"
"Accounting","Manawatu-Whanganui","2016","0","0.12","0.88","0","3","22","25","26","Small Cohort"
"Accounting","Manawatu-Whanganui","2017","0","0.133","0.867","0","2","13","15","19","Small Cohort"
"Accounting","Manawatu-Whanganui","2018","0","0.167","0.833","0","1","5","6","9","Small Cohort"
"Accounting","Manawatu-Whanganui","2019","0","0.083","0.917","0","1","11","12","27","Small Cohort"
"Accounting","Manawatu-Whanganui","2020","0","0.273","0.727","0","3","8","11","13","Small Cohort"
"Accounting","Manawatu-Whanganui","2021","0","0.125","0.875","0","1","7","8","15","Small Cohort"
"Accounting","Manawatu-Whanganui","2022","0","0.2","0.8","0","1","4","5","7","Small Cohort"
"Accounting","Manawatu-Whanganui","2023","0","0.05","0.95","0","1","19","20","21","Small Cohort"
"Accounting","Manawatu-Whanganui","2024","0.037","0.148","0.815","1","4","22","27","34",""
"Accounting","Marlborough","2017","","","","","","","","1","Small Cohort"
"Accounting","Nelson","2015","0","0","1","0","0","4","4","5","Small Cohort"
"Accounting","Nelson","2016","0","0","1","0","0","3","3","6","Small Cohort"
"Accounting","Nelson","2017","0","0.5","0.5","0","1","1","2","9","Small Cohort"
"Accounting","Nelson","2018","","","","","","","","3","Small Cohort"
"Accounting","Nelson","2019","","","","","","","","3","Small Cohort"
"Accounting","Nelson","2020","","","","","","","","2","Small Cohort"
"Accounting","Nelson","2021","","","","","","","","3","Small Cohort"
"Accounting","Nelson","2022","","","","","","","","4","Small Cohort"
"Accounting","Nelson","2023","","","","","","","","2","Small Cohort"
"Accounting","Nelson","2024","","","","","","","","1","Small Cohort"
"Accounting","Northland","2015","","","","","","","","1","Small Cohort"
"Accounting","Northland","2021","","","","","","","","1","Small Cohort"
"Accounting","Otago","2015","0","0.2","0.8","0","1","4","5","7","Small Cohort"
"Accounting","Otago","2016","0","0","1","0","0","8","8","12","Small Cohort"
"Accounting","Otago","2017","","","","","","","","4","Small Cohort"
"Accounting","Otago","2018","","","","","","","","3","Small Cohort"
"Accounting","Otago","2019","","","","","","","","3","Small Cohort"
"Accounting","Otago","2020","","","","","","","","4","Small Cohort"
"Accounting","Otago","2021","","","","","","","","3","Small Cohort"
"Accounting","Otago","2023","","","","","","","","4","Small Cohort"
"Accounting","Otago","2024","","","","","","","","3","Small Cohort"
"Accounting","Other","2017","","","","","","","","1","Small Cohort"
"Accounting","Other","2021","0.111","0.111","0.778","1","1","7","9","11","Small Cohort"
"Accounting","Other","2022","0.222","0.556","0.222","2","5","2","9","9","Small Cohort"
"Accounting","Other","2023","0","0.75","0.25","0","3","1","4","7","Small Cohort"
"Accounting","Other","2024","0.071","0.286","0.643","1","4","9","14","17","Small Cohort"
"Accounting","Southland","2015","0","0.1","0.9","0","1","9","10","13","Small Cohort"
"Accounting","Southland","2016","0","0.167","0.833","0","1","5","6","8","Small Cohort"
"Accounting","Southland","2017","0","0.2","0.8","0","1","4","5","6","Small Cohort"
"Accounting","Southland","2018","","","","","","","","4","Small Cohort"
"Accounting","Southland","2019","","","","","","","","4","Small Cohort"
"Accounting","Southland","2021","","","","","","","","4","Small Cohort"
"Accounting","Southland","2022","0","0.2","0.8","0","1","4","5","5","Small Cohort"
"Accounting","Southland","2024","","","","","","","","2","Small Cohort"
"Accounting","Taranaki","2015","0","0.15","0.85","0","3","17","20","21","Small Cohort"
"Accounting","Taranaki","2016","0","0.2","0.8","0","3","12","15","18","Small Cohort"
"Accounting","Taranaki","2017","0","0.143","0.857","0","1","6","7","8","Small Cohort"
"Accounting","Taranaki","2018","0.25","0.5","0.25","1","2","1","4","5","Small Cohort"
"Accounting","Taranaki","2019","0","0.375","0.625","0","3","5","8","9","Small Cohort"
"Accounting","Taranaki","2020","","","","","","","","2","Small Cohort"
"Accounting","Taranaki","2021","","","","","","","","4","Small Cohort"
"Accounting","Taranaki","2022","0","0","1","0","0","6","6","6","Small Cohort"
"Accounting","Taranaki","2023","","","","","","","","4","Small Cohort"
"Accounting","Taranaki","2024","","","","","","","","4","Small Cohort"
"Accounting","Tasman","2016","","","","","","","","1","Small Cohort"
"Accounting","Tasman","2019","","","","","","","","1","Small Cohort"
"Accounting","Waikato","2015","0","0.216","0.784","0","8","29","37","45",""
"Accounting","Waikato","2016","0.053","0.158","0.789","1","3","15","19","37",""
"Accounting","Waikato","2017","0.036","0.321","0.643","1","9","18","28","43",""
"Accounting","Waikato","2018","0","0.381","0.619","0","8","13","21","34",""
"Accounting","Waikato","2019","0.087","0.087","0.826","2","2","19","23","31",""
"Accounting","Waikato","2020","0.037","0.222","0.741","1","6","20","27","39",""
"Accounting","Waikato","2021","0","0.143","0.857","0","1","6","7","21","Small Cohort"
"Accounting","Waikato","2022","0.063","0.25","0.688","1","4","11","16","31",""
"Accounting","Waikato","2023","0.091","0.273","0.636","1","3","7","11","18","Small Cohort"
"Accounting","Waikato","2024","0","0.222","0.778","0","2","7","9","19","Small Cohort"
"Accounting","Wellington","2015","0.034","0.138","0.828","1","4","24","29","38",""
"Accounting","Wellington","2016","0.095","0.333","0.571","2","7","12","21","29","Small Cohort"
"Accounting","Wellington","2017","0.059","0.353","0.588","1","6","10","17","23","Small Cohort"
"Accounting","Wellington","2018","0","0.231","0.769","0","3","10","13","23","Small Cohort"
"Accounting","Wellington","2019","0","0.045","0.955","0","1","21","22","32",""
"Accounting","Wellington","2020","0.2","0.4","0.4","1","2","2","5","12","Small Cohort"
"Accounting","Wellington","2021","0","0.2","0.8","0","1","4","5","13","Small Cohort"
"Accounting","Wellington","2022","0","0.5","0.5","0","1","1","2","10","Small Cohort"
"Accounting","Wellington","2023","0","0","1","0","0","5","5","12","Small Cohort"
"Accounting","Wellington","2024","0","0","1","0","0","3","3","7","Small Cohort"
"Agriculture and Horticulture","Auckland","2015","0.067","0","0.933","1","0","14","15","19","Small Cohort"
"Agriculture and Horticulture","Auckland","2016","0.143","0.143","0.714","1","1","5","7","14","Small Cohort"
"Agriculture and Horticulture","Auckland","2017","0.111","0","0.889","1","0","8","9","15","Small Cohort"
"Agriculture and Horticulture","Auckland","2018","0","0.2","0.8","0","1","4","5","7","Small Cohort"
"Agriculture and Horticulture","Auckland","2019","0","0.154","0.846","0","2","11","13","14","Small Cohort"
"Agriculture and Horticulture","Auckland","2020","0.167","0.417","0.417","2","5","5","12","16","Small Cohort"
"Agriculture and Horticulture","Auckland","2021","0","0.158","0.842","0","6","32","38","56",""
"Agriculture and Horticulture","Auckland","2022","0","0.172","0.828","0","5","24","29","35",""
"Agriculture and Horticulture","Auckland","2023","0","0.213","0.787","0","10","37","47","73",""
"Agriculture and Horticulture","Auckland","2024","0.034","0.241","0.724","1","7","21","29","72",""
"Agriculture and Horticulture","Bay of Plenty","2015","","","","","","","","4","Small Cohort"
"Agriculture and Horticulture","Bay of Plenty","2016","","","","","","","","4","Small Cohort"
"Agriculture and Horticulture","Bay of Plenty","2017","0","0.2","0.8","0","1","4","5","7","Small Cohort"
"Agriculture and Horticulture","Bay of Plenty","2018","0","0.143","0.857","0","1","6","7","8","Small Cohort"
"Agriculture and Horticulture","Bay of Plenty","2019","","","","","","","","4","Small Cohort"
"Agriculture and Horticulture","Bay of Plenty","2020","0","0.2","0.8","0","1","4","5","5","Small Cohort"
"Agriculture and Horticulture","Bay of Plenty","2021","0","0.143","0.857","0","1","6","7","10","Small Cohort"
"Agriculture and Horticulture","Bay of Plenty","2022","","","","","","","","3","Small Cohort"
"Agriculture and Horticulture","Bay of Plenty","2023","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Bay of Plenty","2024","","","","","","","","2","Small Cohort"
"Agriculture and Horticulture","Canterbury","2015","0.083","0.333","0.583","1","4","7","12","18","Small Cohort"
"Agriculture and Horticulture","Canterbury","2016","0","0","1","0","0","8","8","13","Small Cohort"
"Agriculture and Horticulture","Canterbury","2017","0","0.083","0.917","0","2","22","24","27","Small Cohort"
"Agriculture and Horticulture","Canterbury","2018","0.125","0","0.875","1","0","7","8","10","Small Cohort"
"Agriculture and Horticulture","Canterbury","2019","0","0.136","0.864","0","3","19","22","25","Small Cohort"
"Agriculture and Horticulture","Canterbury","2020","0","0","1","0","0","9","9","11","Small Cohort"
"Agriculture and Horticulture","Canterbury","2021","0","0.105","0.895","0","2","17","19","23","Small Cohort"
"Agriculture and Horticulture","Canterbury","2022","0","0.143","0.857","0","2","12","14","15","Small Cohort"
"Agriculture and Horticulture","Canterbury","2023","0","0.111","0.889","0","1","8","9","11","Small Cohort"
"Agriculture and Horticulture","Canterbury","2024","0","0","1","0","0","12","12","21","Small Cohort"
"Agriculture and Horticulture","Hawke's Bay","2015","0","0.25","0.75","0","4","12","16","19","Small Cohort"
"Agriculture and Horticulture","Hawke's Bay","2016","0.111","0.333","0.556","1","3","5","9","12","Small Cohort"
"Agriculture and Horticulture","Hawke's Bay","2017","0","0.556","0.444","0","5","4","9","14","Small Cohort"
"Agriculture and Horticulture","Hawke's Bay","2018","0.067","0.2","0.733","1","3","11","15","17","Small Cohort"
"Agriculture and Horticulture","Hawke's Bay","2019","0","0.375","0.625","0","6","10","16","22","Small Cohort"
"Agriculture and Horticulture","Hawke's Bay","2020","0","0.267","0.733","0","4","11","15","20","Small Cohort"
"Agriculture and Horticulture","Hawke's Bay","2021","0.125","0.5","0.375","1","4","3","8","15","Small Cohort"
"Agriculture and Horticulture","Hawke's Bay","2022","0.125","0.25","0.625","2","4","10","16","17","Small Cohort"
"Agriculture and Horticulture","Hawke's Bay","2023","0.2","0.4","0.4","2","4","4","10","12","Small Cohort"
"Agriculture and Horticulture","Hawke's Bay","2024","0","0.5","0.5","0","6","6","12","12","Small Cohort"
"Agriculture and Horticulture","Manawatu-Whanganui","2015","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Manawatu-Whanganui","2016","0","0.25","0.75","0","1","3","4","5","Small Cohort"
"Agriculture and Horticulture","Manawatu-Whanganui","2017","0","0.2","0.8","0","1","4","5","7","Small Cohort"
"Agriculture and Horticulture","Manawatu-Whanganui","2018","","","","","","","","2","Small Cohort"
"Agriculture and Horticulture","Manawatu-Whanganui","2019","","","","","","","","3","Small Cohort"
"Agriculture and Horticulture","Manawatu-Whanganui","2020","0","0.2","0.8","0","1","4","5","8","Small Cohort"
"Agriculture and Horticulture","Manawatu-Whanganui","2021","","","","","","","","3","Small Cohort"
"Agriculture and Horticulture","Manawatu-Whanganui","2022","0","0.182","0.818","0","2","9","11","19","Small Cohort"
"Agriculture and Horticulture","Manawatu-Whanganui","2024","0","0","1","0","0","2","2","5","Small Cohort"
"Agriculture and Horticulture","Nelson","2018","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Northland","2019","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Northland","2021","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Otago","2015","0","0","1","0","0","5","5","5","Small Cohort"
"Agriculture and Horticulture","Otago","2016","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Otago","2017","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Otago","2018","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Otago","2019","0","0","1","0","0","4","4","5","Small Cohort"
"Agriculture and Horticulture","Otago","2020","","","","","","","","4","Small Cohort"
"Agriculture and Horticulture","Otago","2021","0","0","1","0","0","2","2","9","Small Cohort"
"Agriculture and Horticulture","Otago","2022","0","0","1","0","0","3","3","5","Small Cohort"
"Agriculture and Horticulture","Otago","2023","0","0.091","0.909","0","1","10","11","16","Small Cohort"
"Agriculture and Horticulture","Otago","2024","0","0.2","0.8","0","2","8","10","15","Small Cohort"
"Agriculture and Horticulture","Other","2017","","","","","","","","2","Small Cohort"
"Agriculture and Horticulture","Other","2021","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Other","2024","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Southland","2015","0","0","1","0","0","6","6","6","Small Cohort"
"Agriculture and Horticulture","Southland","2016","0","0","1","0","0","5","5","5","Small Cohort"
"Agriculture and Horticulture","Southland","2017","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Southland","2021","","","","","","","","4","Small Cohort"
"Agriculture and Horticulture","Southland","2022","","","","","","","","3","Small Cohort"
"Agriculture and Horticulture","Southland","2024","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Taranaki","2015","0","0.286","0.714","0","2","5","7","9","Small Cohort"
"Agriculture and Horticulture","Taranaki","2016","","","","","","","","2","Small Cohort"
"Agriculture and Horticulture","Taranaki","2017","","","","","","","","3","Small Cohort"
"Agriculture and Horticulture","Taranaki","2018","","","","","","","","4","Small Cohort"
"Agriculture and Horticulture","Taranaki","2019","","","","","","","","2","Small Cohort"
"Agriculture and Horticulture","Taranaki","2020","","","","","","","","2","Small Cohort"
"Agriculture and Horticulture","Taranaki","2021","0","0.167","0.833","0","1","5","6","7","Small Cohort"
"Agriculture and Horticulture","Taranaki","2022","0","0","1","0","0","6","6","9","Small Cohort"
"Agriculture and Horticulture","Taranaki","2023","","","","","","","","2","Small Cohort"
"Agriculture and Horticulture","Taranaki","2024","0","0.6","0.4","0","3","2","5","7","Small Cohort"
"Agriculture and Horticulture","Tasman","2015","","","","","","","","2","Small Cohort"
"Agriculture and Horticulture","Tasman","2016","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Tasman","2018","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Tasman","2022","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Waikato","2015","0","0.4","0.6","0","2","3","5","5","Small Cohort"
"Agriculture and Horticulture","Waikato","2016","0","0","1","0","0","7","7","9","Small Cohort"
"Agriculture and Horticulture","Waikato","2017","0.167","0.167","0.667","1","1","4","6","7","Small Cohort"
"Agriculture and Horticulture","Waikato","2018","0","0.375","0.625","0","3","5","8","14","Small Cohort"
"Agriculture and Horticulture","Waikato","2019","","","","","","","","4","Small Cohort"
"Agriculture and Horticulture","Waikato","2020","0","0","1","0","0","5","5","10","Small Cohort"
"Agriculture and Horticulture","Waikato","2021","0","0.667","0.333","0","2","1","3","9","Small Cohort"
"Agriculture and Horticulture","Waikato","2022","0","0.1","0.9","0","1","9","10","16","Small Cohort"
"Agriculture and Horticulture","Waikato","2023","0","0","1","0","0","1","1","10","Small Cohort"
"Agriculture and Horticulture","Waikato","2024","","","","","","","","3","Small Cohort"
"Agriculture and Horticulture","Wellington","2015","","","","","","","","3","Small Cohort"
"Agriculture and Horticulture","Wellington","2016","","","","","","","","2","Small Cohort"
"Agriculture and Horticulture","Wellington","2017","","","","","","","","2","Small Cohort"
"Agriculture and Horticulture","Wellington","2018","0","0.75","0.25","0","3","1","4","5","Small Cohort"
"Agriculture and Horticulture","Wellington","2019","","","","","","","","4","Small Cohort"
"Agriculture and Horticulture","Wellington","2020","","","","","","","","4","Small Cohort"
"Agriculture and Horticulture","Wellington","2021","0","0.333","0.667","0","1","2","3","5","Small Cohort"
"Agriculture and Horticulture","Wellington","2022","0","0.167","0.833","0","1","5","6","13","Small Cohort"
"Agriculture and Horticulture","Wellington","2023","","","","","","","","3","Small Cohort"
"Agriculture and Horticulture","Wellington","2024","","","","","","","","3","Small Cohort"
"Art History","Auckland","2015","0.017","0.19","0.793","2","22","92","116","153",""
"Art History","Auckland","2016","0.036","0.226","0.738","3","19","62","84","121",""
"Art History","Auckland","2017","0.024","0.212","0.765","2","18","65","85","116",""
"Art History","Auckland","2018","0.024","0.153","0.824","2","13","70","85","112",""
"Art History","Auckland","2019","0.029","0.176","0.794","3","18","81","102","138",""
"Art History","Auckland","2020","0.03","0.188","0.782","3","19","79","101","149",""
"Art History","Auckland","2021","0.019","0.143","0.838","2","15","88","105","170",""
"Art History","Auckland","2022","0.019","0.171","0.81","2","18","85","105","176",""
"Art History","Auckland","2023","0.019","0.208","0.774","2","22","82","106","155",""
"Art History","Auckland","2024","0.018","0.145","0.836","2","16","92","110","205",""
"Art History","Bay of Plenty","2015","0","0.25","0.75","0","2","6","8","9","Small Cohort"
"Art History","Bay of Plenty","2016","0","0.2","0.8","0","1","4","5","12","Small Cohort"
"Art History","Bay of Plenty","2017","0","0.143","0.857","0","1","6","7","8","Small Cohort"
"Art History","Bay of Plenty","2018","0","0","1","0","0","3","3","6","Small Cohort"
"Art History","Bay of Plenty","2019","","","","","","","","3","Small Cohort"
"Art History","Bay of Plenty","2020","0","0","1","0","0","6","6","12","Small Cohort"
"Art History","Bay of Plenty","2021","","","","","","","","1","Small Cohort"
"Art History","Bay of Plenty","2022","","","","","","","","4","Small Cohort"
"Art History","Bay of Plenty","2023","","","","","","","","3","Small Cohort"
"Art History","Bay of Plenty","2024","0","0","1","0","0","5","5","6","Small Cohort"
"Art History","Canterbury","2015","0.1","0.2","0.7","2","4","14","20","23","Small Cohort"
"Art History","Canterbury","2016","0","0.148","0.852","0","4","23","27","44",""
"Art History","Canterbury","2017","0.059","0.176","0.765","1","3","13","17","22","Small Cohort"
"Art History","Canterbury","2018","0","0.214","0.786","0","3","11","14","18","Small Cohort"
"Art History","Canterbury","2019","0","0","1","0","0","12","12","22","Small Cohort"
"Art History","Canterbury","2020","0","0.125","0.875","0","1","7","8","24","Small Cohort"
"Art History","Canterbury","2021","0","0","1","0","0","9","9","17","Small Cohort"
"Art History","Canterbury","2022","0","0.182","0.818","0","2","9","11","32",""
"Art History","Canterbury","2023","0","0","1","0","0","6","6","16","Small Cohort"
"Art History","Canterbury","2024","0","0.25","0.75","0","1","3","4","7","Small Cohort"
"Art History","Hawke's Bay","2015","","","","","","","","4","Small Cohort"
"Art History","Hawke's Bay","2017","","","","","","","","2","Small Cohort"
"Art History","Hawke's Bay","2018","0","0","0","0","0","0","0","5","Small Cohort"
"Art History","Hawke's Bay","2019","","","","","","","","1","Small Cohort"
"Art History","Hawke's Bay","2021","","","","","","","","3","Small Cohort"
"Art History","Hawke's Bay","2023","","","","","","","","2","Small Cohort"
"Art History","Manawatu-Whanganui","2015","0","0","1","0","0","5","5","7","Small Cohort"
"Art History","Manawatu-Whanganui","2016","0","0.167","0.833","0","1","5","6","7","Small Cohort"
"Art History","Manawatu-Whanganui","2017","0","0","1","0","0","6","6","8","Small Cohort"
"Art History","Manawatu-Whanganui","2018","0","0.6","0.4","0","3","2","5","5","Small Cohort"
"Art History","Manawatu-Whanganui","2019","0","0","1","0","0","4","4","6","Small Cohort"
"Art History","Manawatu-Whanganui","2020","0","1","0","0","1","0","1","6","Small Cohort"
"Art History","Manawatu-Whanganui","2021","0","0","1","0","0","8","8","12","Small Cohort"
"Art History","Manawatu-Whanganui","2022","","","","","","","","4","Small Cohort"
"Art History","Manawatu-Whanganui","2023","","","","","","","","3","Small Cohort"
"Art History","Manawatu-Whanganui","2024","0","0","1","0","0","1","1","8","Small Cohort"
"Art History","Marlborough","2015","","","","","","","","2","Small Cohort"
"Art History","Nelson","2015","0","0.167","0.833","0","1","5","6","6","Small Cohort"
"Art History","Nelson","2016","","","","","","","","1","Small Cohort"
"Art History","Nelson","2019","","","","","","","","4","Small Cohort"
"Art History","Nelson","2020","","","","","","","","2","Small Cohort"
"Art History","Nelson","2021","","","","","","","","2","Small Cohort"
"Art History","Nelson","2022","","","","","","","","2","Small Cohort"
"Art History","Northland","2019","","","","","","","","2","Small Cohort"
"Art History","Northland","2021","0","0","1","0","0","6","6","7","Small Cohort"
"Art History","Northland","2022","","","","","","","","2","Small Cohort"
"Art History","Northland","2023","","","","","","","","1","Small Cohort"
"Art History","Northland","2024","","","","","","","","1","Small Cohort"
"Art History","Otago","2015","0","0","1","0","0","5","5","6","Small Cohort"
"Art History","Otago","2016","0","0.429","0.571","0","3","4","7","7","Small Cohort"
"Art History","Otago","2017","0","0.125","0.875","0","1","7","8","9","Small Cohort"
"Art History","Otago","2018","0","0","1","0","0","5","5","6","Small Cohort"
"Art History","Otago","2019","0","0","1","0","0","4","4","5","Small Cohort"
"Art History","Otago","2020","","","","","","","","2","Small Cohort"
"Art History","Otago","2021","0","0.5","0.5","0","2","2","4","5","Small Cohort"
"Art History","Otago","2022","0","0","1","0","0","5","5","6","Small Cohort"
"Art History","Otago","2024","","","","","","","","3","Small Cohort"
"Art History","Other","2015","","","","","","","","1","Small Cohort"
"Art History","Other","2016","","","","","","","","1","Small Cohort"
"Art History","Other","2017","","","","","","","","2","Small Cohort"
"Art History","Other","2018","","","","","","","","1","Small Cohort"
"Art History","Other","2019","","","","","","","","2","Small Cohort"
"Art History","Other","2020","","","","","","","","1","Small Cohort"
"Art History","Other","2022","","","","","","","","2","Small Cohort"
"Art History","Other","2023","","","","","","","","3","Small Cohort"
"Art History","Other","2024","","","","","","","","2","Small Cohort"
"Art History","Southland","2015","","","","","","","","4","Small Cohort"
"Art History","Southland","2016","","","","","","","","1","Small Cohort"
"Art History","Southland","2017","","","","","","","","1","Small Cohort"
"Art History","Southland","2018","","","","","","","","2","Small Cohort"
"Art History","Southland","2021","","","","","","","","1","Small Cohort"
"Art History","Taranaki","2015","0","0.5","0.5","0","2","2","4","5","Small Cohort"
"Art History","Taranaki","2016","0","0","1","0","0","6","6","6","Small Cohort"
"Art History","Taranaki","2017","0","0.286","0.714","0","2","5","7","8","Small Cohort"
"Art History","Taranaki","2018","","","","","","","","3","Small Cohort"
"Art History","Taranaki","2019","","","","","","","","3","Small Cohort"
"Art History","Taranaki","2020","","","","","","","","4","Small Cohort"
"Art History","Taranaki","2021","","","","","","","","4","Small Cohort"
"Art History","Taranaki","2022","","","","","","","","2","Small Cohort"
"Art History","Taranaki","2023","","","","","","","","4","Small Cohort"
"Art History","Taranaki","2024","0","0.286","0.714","0","2","5","7","10","Small Cohort"
"Art History","Waikato","2015","0","0","1","0","0","6","6","8","Small Cohort"
"Art History","Waikato","2016","0","0.222","0.778","0","2","7","9","11","Small Cohort"
"Art History","Waikato","2017","","","","","","","","3","Small Cohort"
"Art History","Waikato","2018","0","0.286","0.714","0","4","10","14","18","Small Cohort"
"Art History","Waikato","2019","0","0","1","0","0","2","2","10","Small Cohort"
"Art History","Waikato","2020","0","0.25","0.75","0","1","3","4","5","Small Cohort"
"Art History","Waikato","2022","","","","","","","","4","Small Cohort"
"Art History","Waikato","2023","","","","","","","","2","Small Cohort"
"Art History","Waikato","2024","","","","","","","","2","Small Cohort"
"Art History","Wellington","2015","0","0.118","0.882","0","4","30","34","44",""
"Art History","Wellington","2016","0.045","0.091","0.864","1","2","19","22","37",""
"Art History","Wellington","2017","0","0.212","0.788","0","7","26","33","44",""
"Art History","Wellington","2018","0.048","0.19","0.762","1","4","16","21","30",""
"Art History","Wellington","2019","0","0.176","0.824","0","3","14","17","23","Small Cohort"
"Art History","Wellington","2020","0","0","1","0","0","8","8","12","Small Cohort"
"Art History","Wellington","2021","0","0.4","0.6","0","2","3","5","11","Small Cohort"
"Art History","Wellington","2022","0","0","1","0","0","4","4","9","Small Cohort"
"Art History","Wellington","2023","0","0","1","0","0","4","4","10","Small Cohort"
"Biology","Auckland","2015","0.037","0.231","0.732","20","126","399","545","627",""
"Biology","Auckland","2016","0.022","0.226","0.752","12","124","412","548","654",""
"Biology","Auckland","2017","0.027","0.238","0.734","16","139","428","583","720",""
"Biology","Auckland","2018","0.034","0.262","0.704","16","123","331","470","610",""
"Biology","Auckland","2019","0.034","0.249","0.717","17","124","357","498","708",""
"Biology","Auckland","2020","0.035","0.267","0.698","20","152","397","569","792",""
"Biology","Auckland","2021","0.032","0.297","0.67","17","157","354","528","812",""
"Biology","Auckland","2022","0.028","0.267","0.706","16","155","410","581","871",""
"Biology","Auckland","2023","0.027","0.288","0.686","15","161","384","560","832",""
"Biology","Auckland","2024","0.032","0.288","0.681","23","207","490","720","1021",""
"Biology","Bay of Plenty","2015","0.026","0.224","0.75","2","17","57","76","92",""
"Biology","Bay of Plenty","2016","0","0.211","0.789","0","16","60","76","94",""
"Biology","Bay of Plenty","2017","0.054","0.243","0.703","4","18","52","74","92",""
"Biology","Bay of Plenty","2018","0.037","0.278","0.685","2","15","37","54","71",""
"Biology","Bay of Plenty","2019","0","0.246","0.754","0","15","46","61","99",""
"Biology","Bay of Plenty","2020","0.043","0.203","0.754","3","14","52","69","93",""
"Biology","Bay of Plenty","2021","0.017","0.339","0.644","1","20","38","59","92",""
