"Subject","Gender","Academic Year","Outstanding Scholarship Rate","Scholarship Rate","No Award Rate","Outstanding Scholarship Count","Scholarship Count","No Award Count","Total Assessed Result Count","Total Student Count","Cohort Warning"
"Sculpture","Male","2020","0","0","1","0","0","4","4","15","Small Cohort"
"Sculpture","Male","2021","0","0","1","0","0","3","3","10","Small Cohort"
"Sculpture","Male","2022","0","0.077","0.923","0","1","12","13","22","Small Cohort"
"Sculpture","Male","2023","0","0.182","0.818","0","2","9","11","20","Small Cohort"
"Sculpture","Male","2024","0.143","0.286","0.571","1","2","4","7","18","Small Cohort"
"Spanish","Female","2015","0","0.19","0.81","0","8","34","42","46",""
"Spanish","Female","2016","0","0.167","0.833","0","7","35","42","48",""
"Spanish","Female","2017","0.021","0.17","0.809","1","8","38","47","56",""
"Spanish","Female","2018","0","0.115","0.885","0","6","46","52","63",""
"Spanish","Female","2019","0","0.178","0.822","0","8","37","45","59",""
"Spanish","Female","2020","0.028","0.194","0.778","1","7","28","36","49",""
"Spanish","Female","2021","0","0.128","0.872","0","5","34","39","57",""
"Spanish","Female","2022","0","0.235","0.765","0","8","26","34","61",""
"Spanish","Female","2023","0","0.163","0.837","0","8","41","49","69",""
"Spanish","Female","2024","0","0.154","0.846","0","10","55","65","91",""
"Spanish","Male","2015","0.043","0.13","0.826","1","3","19","23","31",""
"Spanish","Male","2016","0.032","0.065","0.903","1","2","28","31","34",""
"Spanish","Male","2017","0","0.1","0.9","0","3","27","30","36",""
"Spanish","Male","2018","0.028","0.167","0.806","1","6","29","36","40",""
"Spanish","Male","2019","0.032","0.097","0.871","1","3","27","31","41",""
"Spanish","Male","2020","0","0.116","0.884","0","5","38","43","53",""
"Spanish","Male","2021","0.034","0.207","0.759","1","6","22","29","44",""
"Spanish","Male","2022","0.029","0.057","0.914","1","2","32","35","52",""
"Spanish","Male","2023","0.027","0.054","0.919","1","2","34","37","52",""
"Spanish","Male","2024","0.02","0.14","0.84","1","7","42","50","65",""
"Statistics","Female","2015","0.021","0.313","0.666","8","119","253","380","478",""
"Statistics","Female","2016","0.04","0.317","0.644","15","120","244","379","477",""
"Statistics","Female","2017","0.043","0.306","0.651","16","114","242","372","485",""
"Statistics","Female","2018","0.034","0.259","0.707","12","91","248","351","451",""
"Statistics","Female","2019","0.038","0.3","0.662","11","86","190","287","482",""
"Statistics","Female","2020","0.028","0.32","0.652","10","113","230","353","499",""
"Statistics","Female","2021","0.038","0.339","0.623","12","107","197","316","592",""
"Statistics","Female","2022","0.04","0.346","0.615","12","104","185","301","504",""
"Statistics","Female","2023","0.029","0.28","0.691","8","77","190","275","458",""
"Statistics","Female","2024","0.048","0.353","0.599","14","103","175","292","534",""
"Statistics","Male","2015","0.055","0.337","0.608","33","202","365","600","717",""
"Statistics","Male","2016","0.049","0.314","0.637","27","172","349","548","664",""
"Statistics","Male","2017","0.048","0.308","0.644","28","180","376","584","721",""
"Statistics","Male","2018","0.036","0.363","0.601","22","223","369","614","732",""
"Statistics","Male","2019","0.038","0.289","0.674","23","177","413","613","855",""
"Statistics","Male","2020","0.034","0.295","0.671","19","164","373","556","728",""
"Statistics","Male","2021","0.037","0.329","0.634","19","168","324","511","785",""
"Statistics","Male","2022","0.035","0.343","0.622","16","159","288","463","747",""
"Statistics","Male","2023","0.043","0.367","0.59","20","170","273","463","674",""
"Statistics","Male","2024","0.04","0.372","0.587","22","203","320","545","758",""
"Te Ao Haka","Female","2023","0.182","0.182","0.636","2","2","7","11","21","Small Cohort"
"Te Ao Haka","Female","2024","0.5","0.125","0.375","4","1","3","8","25","Small Cohort"
"Te Ao Haka","Male","2023","0","1","0","0","3","0","3","10","Small Cohort"
"Te Ao Haka","Male","2024","0.333","0","0.667","1","0","2","3","17","Small Cohort"
"Te Reo Maori","Female","2015","0.014","0.197","0.789","1","14","56","71","86",""
"Te Reo Maori","Female","2016","0.042","0.25","0.708","2","12","34","48","59",""
"Te Reo Maori","Female","2017","0.015","0.231","0.754","1","15","49","65","76",""
"Te Reo Maori","Female","2018","0.016","0.188","0.797","1","12","51","64","85",""
"Te Reo Maori","Female","2019","0.029","0.217","0.754","2","15","52","69","91",""
"Te Reo Maori","Female","2020","0.031","0.313","0.656","2","20","42","64","88",""
"Te Reo Maori","Female","2021","0.015","0.284","0.701","1","19","47","67","116",""
"Te Reo Maori","Female","2022","0.039","0.273","0.688","3","21","53","77","113",""
"Te Reo Maori","Female","2023","0.039","0.276","0.684","3","21","52","76","116",""
"Te Reo Maori","Female","2024","0.04","0.28","0.68","4","28","68","100","154",""
"Te Reo Maori","Male","2015","0.034","0.31","0.655","1","9","19","29","40",""
"Te Reo Maori","Male","2016","0.044","0.244","0.711","2","11","32","45","52",""
"Te Reo Maori","Male","2017","0.044","0.156","0.8","2","7","36","45","64",""
"Te Reo Maori","Male","2018","0.047","0.256","0.698","2","11","30","43","60",""
"Te Reo Maori","Male","2019","0.023","0.182","0.795","1","8","35","44","59",""
"Te Reo Maori","Male","2020","0","0.276","0.724","0","8","21","29","57",""
"Te Reo Maori","Male","2021","0.065","0.323","0.613","2","10","19","31","72",""
"Te Reo Maori","Male","2022","0","0.128","0.872","0","5","34","39","54",""
"Te Reo Maori","Male","2023","0.025","0.275","0.7","1","11","28","40","67",""
"Te Reo Maori","Male","2024","0.036","0.214","0.75","2","12","42","56","91",""
"Te Reo Rangatira","Female","2015","0.028","0.056","0.917","1","2","33","36","40",""
"Te Reo Rangatira","Female","2016","0","0.2","0.8","0","3","12","15","19","Small Cohort"
"Te Reo Rangatira","Female","2017","0","0.091","0.909","0","3","30","33","36",""
"Te Reo Rangatira","Female","2018","0.031","0.156","0.813","1","5","26","32","41",""
"Te Reo Rangatira","Female","2019","0","0.077","0.923","0","3","36","39","46",""
"Te Reo Rangatira","Female","2020","0","0.2","0.8","0","7","28","35","53",""
"Te Reo Rangatira","Female","2021","0","0.143","0.857","0","5","30","35","66",""
"Te Reo Rangatira","Female","2022","0.027","0.027","0.946","1","1","35","37","40",""
"Te Reo Rangatira","Female","2023","0.026","0.077","0.897","1","3","35","39","64",""
"Te Reo Rangatira","Female","2024","0.021","0.125","0.854","1","6","41","48","74",""
"Te Reo Rangatira","Male","2015","0","0.111","0.889","0","2","16","18","21","Small Cohort"
"Te Reo Rangatira","Male","2016","0.071","0.214","0.714","1","3","10","14","19","Small Cohort"
"Te Reo Rangatira","Male","2017","0.04","0.16","0.8","1","4","20","25","28","Small Cohort"
"Te Reo Rangatira","Male","2018","0","0.125","0.875","0","2","14","16","22","Small Cohort"
"Te Reo Rangatira","Male","2019","0.036","0.036","0.929","1","1","26","28","30",""
"Te Reo Rangatira","Male","2020","0.063","0.188","0.75","1","3","12","16","29","Small Cohort"
"Te Reo Rangatira","Male","2021","0.045","0.045","0.909","1","1","20","22","38",""
"Te Reo Rangatira","Male","2022","0","0.222","0.778","0","4","14","18","28","Small Cohort"
"Te Reo Rangatira","Male","2023","0","0.15","0.85","0","3","17","20","33",""
"Te Reo Rangatira","Male","2024","0.071","0.143","0.786","2","4","22","28","40",""
"Technology","Female","2015","0.025","0.317","0.658","3","38","79","120","159",""
"Technology","Female","2016","0.055","0.297","0.648","5","27","59","91","128",""
"Technology","Female","2017","0.108","0.386","0.506","9","32","42","83","141",""
"Technology","Female","2018","0.042","0.331","0.627","5","39","74","118","158",""
"Technology","Female","2019","0.045","0.386","0.568","4","34","50","88","144",""
"Technology","Female","2020","0.067","0.276","0.657","7","29","69","105","165",""
"Technology","Female","2021","0.022","0.281","0.696","3","38","94","135","236",""
"Technology","Female","2022","0.045","0.25","0.705","5","28","79","112","200",""
"Technology","Female","2023","0.036","0.241","0.723","3","20","60","83","155",""
"Technology","Female","2024","0.026","0.291","0.684","3","34","80","117","206",""
"Technology","Male","2015","0.034","0.237","0.729","2","14","43","59","109",""
"Technology","Male","2016","0.06","0.321","0.619","5","27","52","84","139",""
"Technology","Male","2017","0.008","0.22","0.772","1","27","95","123","188",""
"Technology","Male","2018","0.058","0.182","0.76","7","22","92","121","182",""
"Technology","Male","2019","0.08","0.299","0.621","7","26","54","87","177",""
"Technology","Male","2020","0.024","0.309","0.667","3","38","82","123","194",""
"Technology","Male","2021","0.059","0.227","0.714","7","27","85","119","218",""
"Technology","Male","2022","0.046","0.253","0.701","4","22","61","87","198",""
"Technology","Male","2023","0.039","0.279","0.682","5","36","88","129","217",""
"Technology","Male","2024","0.075","0.436","0.489","10","58","65","133","257",""
