Secondary Subject,Level,Gender,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Business Studies,Level 1,Female,2020,192,3738,0.081,981,0.036,8782,0.14,0.334,0.273,0.252,1233,2932,2401,2216,
Business Studies,Level 1,Female,2021,194,4368,0.096,1129,0.043,10103,0.103,0.336,0.287,0.274,1043,3390,2899,2771,
Business Studies,Level 1,Female,2022,189,4211,0.091,1189,0.046,10124,0.138,0.335,0.288,0.238,1402,3395,2915,2412,
Business Studies,Level 1,Female,2023,182,4025,0.087,1080,0.039,9517,0.132,0.336,0.287,0.245,1260,3195,2732,2330,
Business Studies,Level 1,Male,2015,158,3137,0.084,969,0.032,7889,0.201,0.459,0.231,0.109,1589,3619,1821,860,
Business Studies,Level 1,Male,2016,158,3330,0.09,943,0.032,8073,0.198,0.455,0.228,0.119,1596,3673,1843,961,
Business Studies,Level 1,Male,2017,164,3942,0.11,1035,0.036,9294,0.196,0.422,0.249,0.134,1819,3922,2312,1241,
Business Studies,Level 1,Male,2018,169,4095,0.116,1144,0.04,10105,0.191,0.436,0.246,0.128,1926,4402,2481,1296,
Business Studies,Level 1,Male,2019,175,4288,0.101,1200,0.043,10359,0.176,0.456,0.237,0.131,1825,4724,2453,1357,
Business Studies,Level 1,Male,2020,177,4039,0.083,1025,0.037,9173,0.2,0.45,0.215,0.136,1832,4125,1973,1243,
Business Studies,Level 1,Male,2021,178,4175,0.087,1087,0.041,9909,0.136,0.456,0.264,0.144,1346,4520,2614,1429,
Business Studies,Level 1,Male,2022,171,4533,0.093,1359,0.05,11367,0.186,0.426,0.257,0.13,2119,4848,2918,1482,
Business Studies,Level 1,Male,2023,170,4360,0.09,1437,0.051,11317,0.191,0.463,0.224,0.123,2157,5237,2532,1391,
Business Studies,Level 2,Female,2015,139,1800,0.051,1161,0.045,5609,0.178,0.323,0.272,0.227,1000,1810,1525,1274,
Business Studies,Level 2,Female,2016,162,2071,0.057,1317,0.049,6314,0.181,0.338,0.252,0.23,1140,2135,1589,1450,
Business Studies,Level 2,Female,2017,173,2246,0.062,1416,0.053,6717,0.196,0.324,0.253,0.226,1319,2175,1702,1521,
Business Studies,Level 2,Female,2018,172,2284,0.064,1441,0.055,6785,0.176,0.318,0.256,0.25,1193,2160,1737,1695,
Business Studies,Level 2,Female,2019,189,2494,0.07,1434,0.056,6905,0.161,0.322,0.264,0.253,1112,2220,1823,1750,
Business Studies,Level 2,Female,2020,202,2746,0.077,1284,0.051,7101,0.147,0.311,0.269,0.272,1047,2210,1910,1934,
Business Studies,Level 2,Female,2021,191,3026,0.087,1480,0.061,7773,0.108,0.33,0.286,0.276,842,2564,2222,2145,
Business Studies,Level 2,Female,2022,197,3077,0.091,1588,0.067,8158,0.163,0.324,0.26,0.253,1332,2642,2118,2066,
Business Studies,Level 2,Female,2023,205,3170,0.089,1708,0.068,8520,0.166,0.333,0.251,0.25,1415,2834,2139,2132,
Business Studies,Level 2,Female,2024,201,3580,0.09,1879,0.069,9545,0.161,0.332,0.252,0.255,1539,3172,2401,2433,
Business Studies,Level 2,Male,2015,132,2183,0.062,1466,0.058,7011,0.263,0.424,0.21,0.103,1846,2971,1469,725,
Business Studies,Level 2,Male,2016,162,2550,0.071,1762,0.069,8085,0.239,0.415,0.211,0.135,1935,3352,1707,1091,
Business Studies,Level 2,Male,2017,164,2880,0.079,1919,0.076,9066,0.252,0.394,0.211,0.143,2283,3573,1912,1298,
Business Studies,Level 2,Male,2018,170,2860,0.081,1942,0.08,8850,0.258,0.4,0.216,0.126,2285,3541,1910,1114,
Business Studies,Level 2,Male,2019,180,3183,0.089,2079,0.086,9650,0.267,0.392,0.213,0.127,2577,3787,2056,1230,
Business Studies,Level 2,Male,2020,177,3233,0.09,1795,0.076,9194,0.245,0.397,0.222,0.136,2252,3649,2039,1254,
Business Studies,Level 2,Male,2021,182,3502,0.1,1925,0.084,9584,0.17,0.446,0.237,0.147,1629,4274,2275,1406,
Business Studies,Level 2,Male,2022,180,3478,0.102,1873,0.085,9645,0.223,0.424,0.222,0.131,2149,4094,2139,1263,
Business Studies,Level 2,Male,2023,192,3884,0.108,2281,0.095,11135,0.227,0.428,0.214,0.13,2533,4771,2384,1447,
Business Studies,Level 2,Male,2024,196,4294,0.109,2535,0.097,12224,0.217,0.427,0.224,0.131,2655,5225,2744,1600,
Business Studies,Level 3,Female,2015,120,1526,0.059,1270,0.06,4969,0.211,0.347,0.232,0.21,1046,1726,1155,1042,
Business Studies,Level 3,Female,2016,142,1683,0.064,1405,0.067,5265,0.181,0.329,0.252,0.239,952,1730,1326,1257,
Business Studies,Level 3,Female,2017,157,1926,0.069,1635,0.075,5847,0.183,0.317,0.253,0.247,1069,1853,1480,1445,
Business Studies,Level 3,Female,2018,174,2039,0.072,1598,0.074,5675,0.17,0.311,0.263,0.256,963,1767,1494,1451,
Business Studies,Level 3,Female,2019,185,2261,0.08,1678,0.079,5865,0.168,0.298,0.247,0.287,987,1749,1446,1683,
Business Studies,Level 3,Female,2020,192,2335,0.082,1695,0.081,5606,0.132,0.293,0.234,0.341,741,1641,1312,1912,
Business Studies,Level 3,Female,2021,197,2513,0.088,1864,0.087,5921,0.071,0.279,0.293,0.357,423,1650,1732,2116,
Business Studies,Level 3,Female,2022,210,2503,0.089,1780,0.089,5925,0.144,0.294,0.244,0.318,852,1741,1447,1885,
Business Studies,Level 3,Female,2023,203,2649,0.097,1939,0.096,6119,0.134,0.301,0.249,0.316,823,1842,1521,1933,
Business Studies,Level 3,Female,2024,210,2957,0.099,2137,0.097,6896,0.117,0.293,0.282,0.308,804,2021,1944,2127,
Business Studies,Level 3,Male,2015,111,1648,0.069,1425,0.079,5556,0.256,0.4,0.222,0.122,1425,2221,1231,679,
Business Studies,Level 3,Male,2016,139,2068,0.085,1690,0.093,6496,0.243,0.397,0.232,0.128,1576,2578,1509,833,
Business Studies,Level 3,Male,2017,142,2284,0.091,1881,0.102,7095,0.265,0.386,0.21,0.139,1879,2737,1490,989,
Business Studies,Level 3,Male,2018,167,2500,0.1,1987,0.107,7191,0.245,0.395,0.217,0.143,1765,2838,1563,1025,
Business Studies,Level 3,Male,2019,176,2598,0.102,2023,0.112,7145,0.232,0.406,0.22,0.142,1656,2902,1574,1013,
Business Studies,Level 3,Male,2020,187,2754,0.106,1958,0.11,7311,0.229,0.386,0.216,0.168,1677,2825,1580,1229,
Business Studies,Level 3,Male,2021,185,3000,0.116,2128,0.119,7798,0.153,0.415,0.255,0.176,1196,3235,1992,1375,
Business Studies,Level 3,Male,2022,185,3094,0.122,2208,0.128,7863,0.223,0.384,0.223,0.17,1751,3020,1753,1339,
Business Studies,Level 3,Male,2023,188,3171,0.127,2213,0.127,7737,0.208,0.407,0.22,0.165,1609,3152,1701,1275,
