"Subject","Ethnicity","Academic Year","Outstanding Scholarship Rate","Scholarship Rate","No Award Rate","Outstanding Scholarship Count","Scholarship Count","No Award Count","Total Assessed Result Count","Total Student Count","Cohort Warning"
"Drama","Asian","2024","0.097","0.29","0.613","3","9","19","31","45",""
"Drama","Middle Eastern/Latin American/African","2015","0.25","0.75","0","1","3","0","4","7","Small Cohort"
"Drama","Middle Eastern/Latin American/African","2016","0","0","1","0","0","2","2","5","Small Cohort"
"Drama","Middle Eastern/Latin American/African","2017","0.2","0.2","0.6","1","1","3","5","7","Small Cohort"
"Drama","Middle Eastern/Latin American/African","2018","0","0.429","0.571","0","3","4","7","8","Small Cohort"
"Drama","Middle Eastern/Latin American/African","2019","0","0.2","0.8","0","1","4","5","7","Small Cohort"
"Drama","Middle Eastern/Latin American/African","2020","0","0.667","0.333","0","2","1","3","8","Small Cohort"
"Drama","Middle Eastern/Latin American/African","2021","0","0","1","0","0","5","5","8","Small Cohort"
"Drama","Middle Eastern/Latin American/African","2022","0","0","1","0","0","5","5","9","Small Cohort"
"Drama","Middle Eastern/Latin American/African","2023","0","0.5","0.5","0","2","2","4","12","Small Cohort"
"Drama","Middle Eastern/Latin American/African","2024","0","1","0","0","1","0","1","6","Small Cohort"
"Earth and Space Science","Maori","2015","0","0.25","0.75","0","2","6","8","10","Small Cohort"
"Earth and Space Science","Maori","2016","0","0.111","0.889","0","1","8","9","12","Small Cohort"
"Earth and Space Science","Maori","2017","0","0.5","0.5","0","1","1","2","6","Small Cohort"
"Earth and Space Science","Maori","2018","0","0","1","0","0","7","7","8","Small Cohort"
"Earth and Space Science","Maori","2019","0","0.167","0.833","0","1","5","6","10","Small Cohort"
"Earth and Space Science","Maori","2020","0","0.6","0.4","0","3","2","5","10","Small Cohort"
"Earth and Space Science","Maori","2021","0","0.143","0.857","0","1","6","7","11","Small Cohort"
"Earth and Space Science","Maori","2022","0","0","1","0","0","6","6","14","Small Cohort"
"Earth and Space Science","Maori","2023","0","0","1","0","0","3","3","7","Small Cohort"
"Earth and Space Science","Maori","2024","0","0.4","0.6","0","4","6","10","17","Small Cohort"
"Earth and Space Science","European","2015","0.04","0.187","0.773","3","14","58","75","93",""
"Earth and Space Science","European","2016","0.019","0.15","0.832","2","16","89","107","133",""
"Earth and Space Science","European","2017","0.022","0.14","0.839","2","13","78","93","115",""
"Earth and Space Science","European","2018","0.021","0.189","0.789","2","18","75","95","112",""
"Earth and Space Science","European","2019","0.012","0.134","0.854","1","11","70","82","121",""
"Earth and Space Science","European","2020","0.011","0.163","0.826","1","15","76","92","127",""
"Earth and Space Science","European","2021","0.022","0.222","0.756","2","20","68","90","143",""
"Earth and Space Science","European","2022","0","0.115","0.885","0","9","69","78","135",""
"Earth and Space Science","European","2023","0.01","0.097","0.893","1","10","92","103","152",""
"Earth and Space Science","European","2024","0.016","0.185","0.798","2","23","99","124","197",""
"Earth and Space Science","Pacific Peoples","2015","","","","","","","","3","Small Cohort"
"Earth and Space Science","Pacific Peoples","2016","","","","","","","","3","Small Cohort"
"Earth and Space Science","Pacific Peoples","2017","0.167","0.167","0.667","1","1","4","6","6","Small Cohort"
"Earth and Space Science","Pacific Peoples","2018","","","","","","","","1","Small Cohort"
"Earth and Space Science","Pacific Peoples","2020","","","","","","","","2","Small Cohort"
"Earth and Space Science","Pacific Peoples","2021","","","","","","","","2","Small Cohort"
"Earth and Space Science","Pacific Peoples","2022","","","","","","","","4","Small Cohort"
"Earth and Space Science","Pacific Peoples","2023","","","","","","","","4","Small Cohort"
"Earth and Space Science","Pacific Peoples","2024","0","0.25","0.75","0","1","3","4","7","Small Cohort"
"Earth and Space Science","Asian","2015","0","0.205","0.795","0","9","35","44","64",""
"Earth and Space Science","Asian","2016","0","0.185","0.815","0","12","53","65","80",""
"Earth and Space Science","Asian","2017","0","0.139","0.861","0","11","68","79","96",""
"Earth and Space Science","Asian","2018","0.015","0.104","0.881","1","7","59","67","92",""
"Earth and Space Science","Asian","2019","0.013","0.156","0.831","1","12","64","77","110",""
"Earth and Space Science","Asian","2020","0.036","0.12","0.843","3","10","70","83","126",""
"Earth and Space Science","Asian","2021","0.012","0.105","0.884","1","9","76","86","145",""
"Earth and Space Science","Asian","2022","0.032","0.183","0.785","3","17","73","93","153",""
"Earth and Space Science","Asian","2023","0.017","0.11","0.873","2","13","103","118","195",""
"Earth and Space Science","Asian","2024","0.007","0.106","0.887","1","15","125","141","222",""
"Earth and Space Science","Middle Eastern/Latin American/African","2015","0","0.333","0.667","0","2","4","6","7","Small Cohort"
"Earth and Space Science","Middle Eastern/Latin American/African","2016","0","0","1","0","0","2","2","5","Small Cohort"
"Earth and Space Science","Middle Eastern/Latin American/African","2017","","","","","","","","3","Small Cohort"
"Earth and Space Science","Middle Eastern/Latin American/African","2018","0","0","1","0","0","3","3","7","Small Cohort"
"Earth and Space Science","Middle Eastern/Latin American/African","2019","","","","","","","","4","Small Cohort"
"Earth and Space Science","Middle Eastern/Latin American/African","2020","","","","","","","","1","Small Cohort"
"Earth and Space Science","Middle Eastern/Latin American/African","2021","0","0.2","0.8","0","1","4","5","9","Small Cohort"
"Earth and Space Science","Middle Eastern/Latin American/African","2022","0","0","1","0","0","2","2","9","Small Cohort"
"Earth and Space Science","Middle Eastern/Latin American/African","2023","","","","","","","","4","Small Cohort"
"Earth and Space Science","Middle Eastern/Latin American/African","2024","0","0","1","0","0","1","1","6","Small Cohort"
"Economics","Maori","2015","0","0.143","0.857","0","3","18","21","25","Small Cohort"
"Economics","Maori","2016","0","0.111","0.889","0","2","16","18","23","Small Cohort"
"Economics","Maori","2017","0","0.2","0.8","0","3","12","15","23","Small Cohort"
"Economics","Maori","2018","0","0.077","0.923","0","1","12","13","24","Small Cohort"
"Economics","Maori","2019","0","0.067","0.933","0","1","14","15","25","Small Cohort"
"Economics","Maori","2020","0","0.222","0.778","0","4","14","18","27","Small Cohort"
"Economics","Maori","2021","0.042","0.25","0.708","1","6","17","24","37",""
"Economics","Maori","2022","0","0.25","0.75","0","5","15","20","33",""
"Economics","Maori","2023","0.063","0.188","0.75","1","3","12","16","25","Small Cohort"
"Economics","Maori","2024","0","0.077","0.923","0","1","12","13","26","Small Cohort"
"Economics","European","2015","0.013","0.227","0.759","4","68","227","299","375",""
"Economics","European","2016","0.025","0.235","0.74","7","67","211","285","364",""
"Economics","European","2017","0.019","0.243","0.739","5","65","198","268","347",""
"Economics","European","2018","0.016","0.223","0.761","4","55","188","247","333",""
"Economics","European","2019","0.029","0.226","0.745","7","54","178","239","320",""
"Economics","European","2020","0.025","0.181","0.794","6","43","189","238","334",""
"Economics","European","2021","0.022","0.179","0.799","5","40","179","224","384",""
"Economics","European","2022","0.021","0.234","0.745","4","45","143","192","329",""
"Economics","European","2023","0.022","0.258","0.72","4","47","131","182","280",""
"Economics","European","2024","0.011","0.199","0.79","2","35","139","176","322",""
"Economics","Pacific Peoples","2015","0","0.25","0.75","0","1","3","4","6","Small Cohort"
"Economics","Pacific Peoples","2016","0","0.4","0.6","0","2","3","5","9","Small Cohort"
"Economics","Pacific Peoples","2017","0","0.286","0.714","0","2","5","7","9","Small Cohort"
"Economics","Pacific Peoples","2018","0","0","1","0","0","4","4","6","Small Cohort"
"Economics","Pacific Peoples","2019","0","0.222","0.778","0","2","7","9","11","Small Cohort"
"Economics","Pacific Peoples","2020","0","0.222","0.778","0","2","7","9","11","Small Cohort"
"Economics","Pacific Peoples","2021","0","0","1","0","0","4","4","11","Small Cohort"
"Economics","Pacific Peoples","2022","0","0.333","0.667","0","1","2","3","11","Small Cohort"
"Economics","Pacific Peoples","2023","0","0","1","0","0","3","3","10","Small Cohort"
"Economics","Pacific Peoples","2024","0","0","1","0","0","9","9","13","Small Cohort"
"Economics","Asian","2015","0.046","0.252","0.702","6","33","92","131","165",""
"Economics","Asian","2016","0.04","0.232","0.728","5","29","91","125","148",""
"Economics","Asian","2017","0.034","0.224","0.741","5","33","109","147","182",""
"Economics","Asian","2018","0.046","0.229","0.725","6","30","95","131","164",""
"Economics","Asian","2019","0.015","0.244","0.74","2","32","97","131","160",""
"Economics","Asian","2020","0.023","0.18","0.797","4","31","137","172","234",""
"Economics","Asian","2021","0.006","0.143","0.851","1","24","143","168","262",""
"Economics","Asian","2022","0.043","0.322","0.635","5","37","73","115","215",""
"Economics","Asian","2023","0.041","0.182","0.777","6","27","115","148","229",""
"Economics","Asian","2024","0.016","0.231","0.753","3","43","140","186","287",""
"Economics","Middle Eastern/Latin American/African","2015","0","0.286","0.714","0","2","5","7","13","Small Cohort"
"Economics","Middle Eastern/Latin American/African","2016","","","","","","","","4","Small Cohort"
"Economics","Middle Eastern/Latin American/African","2017","0.143","0","0.857","1","0","6","7","9","Small Cohort"
"Economics","Middle Eastern/Latin American/African","2018","0.167","0.167","0.667","1","1","4","6","7","Small Cohort"
"Economics","Middle Eastern/Latin American/African","2019","0","0","1","0","0","3","3","6","Small Cohort"
"Economics","Middle Eastern/Latin American/African","2020","0","0","1","0","0","8","8","12","Small Cohort"
"Economics","Middle Eastern/Latin American/African","2021","0","0.091","0.909","0","1","10","11","16","Small Cohort"
"Economics","Middle Eastern/Latin American/African","2022","0","0.6","0.4","0","3","2","5","10","Small Cohort"
"Economics","Middle Eastern/Latin American/African","2023","0","0.2","0.8","0","1","4","5","9","Small Cohort"
"Economics","Middle Eastern/Latin American/African","2024","0.143","0","0.857","1","0","6","7","16","Small Cohort"
"English","Maori","2015","0.028","0.252","0.72","3","27","77","107","134",""
"English","Maori","2016","0.038","0.181","0.781","4","19","82","105","134",""
"English","Maori","2017","0","0.25","0.75","0","25","75","100","131",""
"English","Maori","2018","0","0.257","0.743","0","28","81","109","140",""
"English","Maori","2019","0","0.232","0.768","0","22","73","95","146",""
"English","Maori","2020","0.051","0.269","0.679","4","21","53","78","132",""
"English","Maori","2021","0.028","0.264","0.708","2","19","51","72","144",""
"English","Maori","2022","0","0.279","0.721","0","19","49","68","138",""
"English","Maori","2023","0.028","0.254","0.718","2","18","51","71","138",""
"English","Maori","2024","0.079","0.213","0.708","7","19","63","89","164",""
"English","European","2015","0.03","0.309","0.661","34","347","743","1124","1409",""
"English","European","2016","0.027","0.282","0.691","31","318","779","1128","1424",""
"English","European","2017","0.032","0.297","0.671","36","337","762","1135","1461",""
"English","European","2018","0.034","0.295","0.671","34","297","676","1007","1284",""
"English","European","2019","0.039","0.311","0.65","36","287","600","923","1417",""
"English","European","2020","0.042","0.338","0.62","34","277","508","819","1330",""
"English","European","2021","0.034","0.331","0.635","29","279","535","843","1405",""
"English","European","2022","0.039","0.343","0.619","29","258","466","753","1345",""
"English","European","2023","0.044","0.347","0.61","34","269","473","776","1333",""
"English","European","2024","0.054","0.382","0.563","48","337","497","882","1500",""
"English","Pacific Peoples","2015","0.1","0.233","0.667","3","7","20","30","46",""
"English","Pacific Peoples","2016","0.057","0.057","0.886","2","2","31","35","51",""
"English","Pacific Peoples","2017","0","0.245","0.755","0","12","37","49","67",""
"English","Pacific Peoples","2018","0.037","0.148","0.815","2","8","44","54","77",""
"English","Pacific Peoples","2019","0","0.111","0.889","0","5","40","45","68",""
"English","Pacific Peoples","2020","0.026","0.184","0.789","1","7","30","38","70",""
"English","Pacific Peoples","2021","0","0.167","0.833","0","6","30","36","71",""
"English","Pacific Peoples","2022","0","0.154","0.846","0","6","33","39","81",""
"English","Pacific Peoples","2023","0","0.133","0.867","0","4","26","30","76",""
"English","Pacific Peoples","2024","0","0.195","0.805","0","8","33","41","85",""
"English","Asian","2015","0.065","0.338","0.597","25","129","228","382","475",""
"English","Asian","2016","0.049","0.371","0.581","19","145","227","391","470",""
"English","Asian","2017","0.039","0.31","0.651","18","142","298","458","554",""
"English","Asian","2018","0.043","0.365","0.592","18","153","248","419","502",""
"English","Asian","2019","0.04","0.363","0.598","16","147","242","405","540",""
"English","Asian","2020","0.031","0.357","0.613","13","152","261","426","597",""
"English","Asian","2021","0.057","0.354","0.589","24","149","248","421","686",""
"English","Asian","2022","0.049","0.329","0.622","20","134","253","407","682",""
"English","Asian","2023","0.04","0.362","0.598","17","152","251","420","681",""
"English","Asian","2024","0.045","0.396","0.559","27","240","339","606","968",""
"English","Middle Eastern/Latin American/African","2015","0","0.36","0.64","0","9","16","25","33",""
"English","Middle Eastern/Latin American/African","2016","0.028","0.333","0.639","1","12","23","36","46",""
"English","Middle Eastern/Latin American/African","2017","0","0.32","0.68","0","8","17","25","34",""
"English","Middle Eastern/Latin American/African","2018","0","0.276","0.724","0","8","21","29","35",""
"English","Middle Eastern/Latin American/African","2019","0.031","0.281","0.688","1","9","22","32","44",""
"English","Middle Eastern/Latin American/African","2020","0.038","0.231","0.731","1","6","19","26","39",""
"English","Middle Eastern/Latin American/African","2021","0","0.4","0.6","0","12","18","30","64",""
"English","Middle Eastern/Latin American/African","2022","0","0.323","0.677","0","10","21","31","56",""
"English","Middle Eastern/Latin American/African","2023","0","0.267","0.733","0","8","22","30","65",""
"English","Middle Eastern/Latin American/African","2024","0.071","0.321","0.607","2","9","17","28","65",""
"French","Maori","2015","","","","","","","","1","Small Cohort"
"French","Maori","2016","","","","","","","","1","Small Cohort"
"French","Maori","2017","0","0","1","0","0","3","3","5","Small Cohort"
"French","Maori","2018","0","0","1","0","0","5","5","5","Small Cohort"
"French","Maori","2019","","","","","","","","3","Small Cohort"
"French","Maori","2020","","","","","","","","4","Small Cohort"
"French","Maori","2021","","","","","","","","3","Small Cohort"
"French","Maori","2022","","","","","","","","2","Small Cohort"
"French","Maori","2023","","","","","","","","3","Small Cohort"
"French","Maori","2024","","","","","","","","4","Small Cohort"
"French","European","2015","0.027","0.147","0.827","2","11","62","75","97",""
"French","European","2016","0.022","0.161","0.817","2","15","76","93","108",""
"French","European","2017","0.022","0.152","0.826","2","14","76","92","105",""
"French","European","2018","0.024","0.096","0.88","2","8","73","83","87",""
"French","European","2019","0.034","0.19","0.776","2","11","45","58","68",""
"French","European","2020","0.027","0.162","0.811","2","12","60","74","83",""
"French","European","2021","0.029","0.129","0.843","2","9","59","70","87",""
"French","European","2022","0.023","0.205","0.773","1","9","34","44","58",""
"French","European","2023","0.033","0.1","0.867","2","6","52","60","76",""
"French","European","2024","0.016","0.188","0.797","1","12","51","64","90",""
"French","Pacific Peoples","2015","","","","","","","","1","Small Cohort"
"French","Pacific Peoples","2016","","","","","","","","4","Small Cohort"
"French","Pacific Peoples","2017","0","0.25","0.75","0","1","3","4","5","Small Cohort"
"French","Pacific Peoples","2018","0","0.167","0.833","0","1","5","6","6","Small Cohort"
"French","Pacific Peoples","2019","","","","","","","","2","Small Cohort"
"French","Pacific Peoples","2020","","","","","","","","3","Small Cohort"
"French","Pacific Peoples","2021","0","0.667","0.333","0","2","1","3","5","Small Cohort"
"French","Pacific Peoples","2022","","","","","","","","3","Small Cohort"
"French","Pacific Peoples","2023","","","","","","","","1","Small Cohort"
"French","Pacific Peoples","2024","0","0.333","0.667","0","1","2","3","5","Small Cohort"
"French","Asian","2015","0","0.375","0.625","0","9","15","24","26","Small Cohort"
"French","Asian","2016","0","0.091","0.909","0","2","20","22","23","Small Cohort"
"French","Asian","2017","0","0.176","0.824","0","3","14","17","19","Small Cohort"
"French","Asian","2018","0","0.211","0.789","0","4","15","19","27","Small Cohort"
"French","Asian","2019","0","0.167","0.833","0","3","15","18","19","Small Cohort"
"French","Asian","2020","0.056","0.111","0.833","1","2","15","18","22","Small Cohort"
"French","Asian","2021","0.063","0.188","0.75","1","3","12","16","24","Small Cohort"
"French","Asian","2022","0","0.133","0.867","0","2","13","15","20","Small Cohort"
"French","Asian","2023","0.05","0.2","0.75","1","4","15","20","24","Small Cohort"
"French","Asian","2024","0.111","0.222","0.667","2","4","12","18","24","Small Cohort"
"French","Middle Eastern/Latin American/African","2016","","","","","","","","4","Small Cohort"
"French","Middle Eastern/Latin American/African","2017","","","","","","","","3","Small Cohort"
"French","Middle Eastern/Latin American/African","2018","","","","","","","","1","Small Cohort"
"French","Middle Eastern/Latin American/African","2019","0","0","1","0","0","3","3","5","Small Cohort"
"French","Middle Eastern/Latin American/African","2020","0","0.167","0.833","0","1","5","6","6","Small Cohort"
"French","Middle Eastern/Latin American/African","2021","0","0","1","0","0","5","5","6","Small Cohort"
"French","Middle Eastern/Latin American/African","2022","","","","","","","","1","Small Cohort"
"French","Middle Eastern/Latin American/African","2023","0","0.429","0.571","0","3","4","7","8","Small Cohort"
"French","Middle Eastern/Latin American/African","2024","0","0","1","0","0","4","4","6","Small Cohort"
"Geography","Maori","2015","0.024","0.119","0.857","1","5","36","42","52",""
"Geography","Maori","2016","0","0.137","0.863","0","7","44","51","66",""
"Geography","Maori","2017","0.024","0.268","0.707","1","11","29","41","54",""
"Geography","Maori","2018","0","0.2","0.8","0","8","32","40","54",""
"Geography","Maori","2019","0","0.333","0.667","0","9","18","27","48",""
"Geography","Maori","2020","0","0.122","0.878","0","5","36","41","63",""
"Geography","Maori","2021","0","0.136","0.864","0","3","19","22","45",""
"Geography","Maori","2022","0","0.091","0.909","0","2","20","22","41",""
"Geography","Maori","2023","0","0.053","0.947","0","1","18","19","37",""
"Geography","Maori","2024","0","0.138","0.862","0","4","25","29","51",""
"Geography","European","2015","0.021","0.243","0.736","12","141","427","580","698",""
"Geography","European","2016","0.029","0.23","0.741","17","135","434","586","732",""
"Geography","European","2017","0.025","0.23","0.745","13","122","395","530","682",""
"Geography","European","2018","0.022","0.236","0.742","12","130","408","550","684",""
"Geography","European","2019","0.02","0.249","0.73","9","111","325","445","653",""
"Geography","European","2020","0.016","0.174","0.81","8","87","406","501","718",""
"Geography","European","2021","0.024","0.233","0.743","8","78","249","335","594",""
"Geography","European","2022","0.006","0.186","0.809","2","67","292","361","550",""
"Geography","European","2023","0.011","0.223","0.765","4","78","267","349","533",""
"Geography","European","2024","0.016","0.221","0.762","6","81","279","366","603",""
"Geography","Pacific Peoples","2015","0.077","0","0.923","1","0","12","13","19","Small Cohort"
"Geography","Pacific Peoples","2016","0","0.143","0.857","0","3","18","21","30",""
"Geography","Pacific Peoples","2017","0.034","0.034","0.931","1","1","27","29","33",""
"Geography","Pacific Peoples","2018","0","0.05","0.95","0","1","19","20","26","Small Cohort"
"Geography","Pacific Peoples","2019","0","0","1","0","0","16","16","25","Small Cohort"
"Geography","Pacific Peoples","2020","0.1","0","0.9","1","0","9","10","27","Small Cohort"
"Geography","Pacific Peoples","2021","0","0.167","0.833","0","2","10","12","26","Small Cohort"
"Geography","Pacific Peoples","2022","0","0.111","0.889","0","1","8","9","22","Small Cohort"
"Geography","Pacific Peoples","2023","0","0","1","0","0","14","14","19","Small Cohort"
"Geography","Pacific Peoples","2024","0","0","1","0","0","11","11","23","Small Cohort"
"Geography","Asian","2015","0.032","0.224","0.744","4","28","93","125","149",""
"Geography","Asian","2016","0.03","0.296","0.674","4","40","91","135","167",""
"Geography","Asian","2017","0.027","0.274","0.699","5","51","130","186","218",""
"Geography","Asian","2018","0.049","0.197","0.754","9","36","138","183","212",""
"Geography","Asian","2019","0.053","0.222","0.725","9","38","124","171","205",""
"Geography","Asian","2020","0.042","0.203","0.755","8","39","145","192","252",""
"Geography","Asian","2021","0.053","0.252","0.695","8","38","105","151","248",""
"Geography","Asian","2022","0.048","0.242","0.709","8","40","117","165","238",""
"Geography","Asian","2023","0.033","0.273","0.694","6","50","127","183","251",""
"Geography","Asian","2024","0.032","0.324","0.644","7","72","143","222","314",""
"Geography","Middle Eastern/Latin American/African","2015","0.125","0.5","0.375","1","4","3","8","10","Small Cohort"
"Geography","Middle Eastern/Latin American/African","2016","0","0.182","0.818","0","2","9","11","11","Small Cohort"
"Geography","Middle Eastern/Latin American/African","2017","0","0","1","0","0","5","5","9","Small Cohort"
"Geography","Middle Eastern/Latin American/African","2018","0","0","1","0","0","10","10","13","Small Cohort"
"Geography","Middle Eastern/Latin American/African","2019","0.077","0.231","0.692","1","3","9","13","17","Small Cohort"
"Geography","Middle Eastern/Latin American/African","2020","0","0.2","0.8","0","3","12","15","24","Small Cohort"
"Geography","Middle Eastern/Latin American/African","2021","0","0.118","0.882","0","2","15","17","26","Small Cohort"
"Geography","Middle Eastern/Latin American/African","2022","0","0","1","0","0","10","10","11","Small Cohort"
"Geography","Middle Eastern/Latin American/African","2023","0","0.2","0.8","0","2","8","10","16","Small Cohort"
"Geography","Middle Eastern/Latin American/African","2024","0","0","1","0","0","9","9","21","Small Cohort"
"German","Maori","2015","","","","","","","","2","Small Cohort"
"German","Maori","2017","","","","","","","","1","Small Cohort"
"German","Maori","2021","","","","","","","","1","Small Cohort"
"German","Maori","2022","","","","","","","","1","Small Cohort"
"German","Maori","2024","","","","","","","","1","Small Cohort"
"German","European","2015","0","0.163","0.837","0","7","36","43","48",""
"German","European","2016","0.022","0.13","0.848","1","6","39","46","56",""
"German","European","2017","0.024","0.22","0.756","1","9","31","41","47",""
"German","European","2018","0.026","0.154","0.821","1","6","32","39","48",""
"German","European","2019","0.038","0.231","0.731","1","6","19","26","33",""
"German","European","2020","0.091","0.182","0.727","2","4","16","22","26","Small Cohort"
"German","European","2021","0.048","0.143","0.81","1","3","17","21","32",""
"German","European","2022","0","0.154","0.846","0","4","22","26","29","Small Cohort"
"German","European","2023","0.034","0.207","0.759","1","6","22","29","39",""
"German","European","2024","0.022","0.156","0.822","1","7","37","45","59",""
"German","Pacific Peoples","2019","","","","","","","","1","Small Cohort"
"German","Pacific Peoples","2020","","","","","","","","1","Small Cohort"
"German","Pacific Peoples","2023","","","","","","","","1","Small Cohort"
"German","Pacific Peoples","2024","","","","","","","","1","Small Cohort"
"German","Asian","2015","","","","","","","","4","Small Cohort"
"German","Asian","2016","","","","","","","","2","Small Cohort"
"German","Asian","2017","0","0","1","0","0","9","9","11","Small Cohort"
"German","Asian","2018","0","0.125","0.875","0","1","7","8","8","Small Cohort"
"German","Asian","2019","","","","","","","","4","Small Cohort"
"German","Asian","2020","0","0.4","0.6","0","2","3","5","6","Small Cohort"
"German","Asian","2021","","","","","","","","4","Small Cohort"
"German","Asian","2022","0.5","0","0.5","1","0","1","2","5","Small Cohort"
"German","Asian","2023","0","0","1","0","0","7","7","9","Small Cohort"
"German","Asian","2024","0","0.167","0.833","0","1","5","6","9","Small Cohort"
"German","Middle Eastern/Latin American/African","2015","","","","","","","","2","Small Cohort"
"German","Middle Eastern/Latin American/African","2016","","","","","","","","1","Small Cohort"
"German","Middle Eastern/Latin American/African","2017","","","","","","","","3","Small Cohort"
"German","Middle Eastern/Latin American/African","2020","","","","","","","","1","Small Cohort"
"German","Middle Eastern/Latin American/African","2021","","","","","","","","2","Small Cohort"
"German","Middle Eastern/Latin American/African","2022","","","","","","","","4","Small Cohort"
"German","Middle Eastern/Latin American/African","2023","","","","","","","","4","Small Cohort"
"German","Middle Eastern/Latin American/African","2024","","","","","","","","1","Small Cohort"
"Health and Physical Education","Maori","2018","0.026","0.316","0.658","1","12","25","38","71",""
"Health and Physical Education","Maori","2019","0.067","0.2","0.733","2","6","22","30","65",""
"Health and Physical Education","Maori","2020","0.111","0.389","0.5","2","7","9","18","65",""
"Health and Physical Education","Maori","2021","0","0.421","0.579","0","8","11","19","63",""
"Health and Physical Education","Maori","2022","0.15","0.15","0.7","3","3","14","20","64",""
"Health and Physical Education","Maori","2023","0.056","0.167","0.778","1","3","14","18","57",""
"Health and Physical Education","Maori","2024","0","0.24","0.76","0","6","19","25","58",""
"Health and Physical Education","European","2018","0.038","0.32","0.642","12","101","203","316","516",""
"Health and Physical Education","European","2019","0.023","0.344","0.633","7","105","193","305","585",""
"Health and Physical Education","European","2020","0.05","0.365","0.586","11","81","130","222","589",""
"Health and Physical Education","European","2021","0.052","0.31","0.638","11","66","136","213","569",""
"Health and Physical Education","European","2022","0.035","0.262","0.703","6","45","121","172","465",""
"Health and Physical Education","European","2023","0.041","0.253","0.706","7","43","120","170","444",""
"Health and Physical Education","European","2024","0.016","0.234","0.75","3","45","144","192","502",""
"Health and Physical Education","Pacific Peoples","2018","0","0.545","0.455","0","6","5","11","33",""
"Health and Physical Education","Pacific Peoples","2019","0.071","0.357","0.571","1","5","8","14","41",""
"Health and Physical Education","Pacific Peoples","2020","0","0.375","0.625","0","3","5","8","42",""
"Health and Physical Education","Pacific Peoples","2021","0","0.4","0.6","0","2","3","5","25","Small Cohort"
"Health and Physical Education","Pacific Peoples","2022","0","0.125","0.875","0","1","7","8","21","Small Cohort"
"Health and Physical Education","Pacific Peoples","2023","0","0.25","0.75","0","1","3","4","17","Small Cohort"
"Health and Physical Education","Pacific Peoples","2024","0","0.143","0.857","0","1","6","7","26","Small Cohort"
"Health and Physical Education","Asian","2018","0.048","0.492","0.46","3","31","29","63","122",""
"Health and Physical Education","Asian","2019","0.048","0.41","0.542","4","34","45","83","165",""
"Health and Physical Education","Asian","2020","0.02","0.337","0.643","2","33","63","98","219",""
"Health and Physical Education","Asian","2021","0.071","0.439","0.49","7","43","48","98","226",""
"Health and Physical Education","Asian","2022","0.082","0.424","0.494","7","36","42","85","234",""
"Health and Physical Education","Asian","2023","0.102","0.5","0.398","9","44","35","88","229",""
"Health and Physical Education","Asian","2024","0.081","0.412","0.507","11","56","69","136","300",""
"Health and Physical Education","Middle Eastern/Latin American/African","2018","0.25","0.25","0.5","1","1","2","4","8","Small Cohort"
"Health and Physical Education","Middle Eastern/Latin American/African","2019","0","0.4","0.6","0","4","6","10","19","Small Cohort"
"Health and Physical Education","Middle Eastern/Latin American/African","2020","0.333","0.333","0.333","1","1","1","3","15","Small Cohort"
"Health and Physical Education","Middle Eastern/Latin American/African","2021","0","0.25","0.75","0","2","6","8","18","Small Cohort"
"Health and Physical Education","Middle Eastern/Latin American/African","2022","0","0","1","0","0","3","3","14","Small Cohort"
"Health and Physical Education","Middle Eastern/Latin American/African","2023","0","0.25","0.75","0","2","6","8","18","Small Cohort"
"Health and Physical Education","Middle Eastern/Latin American/African","2024","0","0.6","0.4","0","6","4","10","22","Small Cohort"
"History","Maori","2015","0","0.067","0.933","0","3","42","45","60",""
"History","Maori","2016","0.023","0.227","0.75","1","10","33","44","75",""
"History","Maori","2017","0.038","0.231","0.731","2","12","38","52","76",""
"History","Maori","2018","0.017","0.169","0.814","1","10","48","59","85",""
"History","Maori","2019","0","0.211","0.789","0","12","45","57","93",""
"History","Maori","2020","0.047","0.063","0.891","3","4","57","64","98",""
"History","Maori","2021","0","0.14","0.86","0","8","49","57","103",""
"History","Maori","2022","0","0.25","0.75","0","13","39","52","87",""
"History","Maori","2023","0","0.174","0.826","0","8","38","46","76",""
"History","Maori","2024","0.04","0.18","0.78","2","9","39","50","84",""
"History","European","2015","0.02","0.224","0.756","13","146","492","651","822",""
"History","European","2016","0.025","0.237","0.737","16","150","466","632","841",""
"History","European","2017","0.024","0.215","0.761","16","143","505","664","849",""
"History","European","2018","0.024","0.205","0.77","16","135","506","657","824",""
"History","European","2019","0.027","0.238","0.734","16","139","428","583","829",""
"History","European","2020","0.022","0.212","0.767","13","127","460","600","907",""
"History","European","2021","0.032","0.249","0.719","16","126","364","506","861",""
"History","European","2022","0.023","0.255","0.722","11","120","340","471","782",""
"History","European","2023","0.02","0.232","0.748","10","115","371","496","769",""
"History","European","2024","0.036","0.271","0.693","15","113","289","417","649",""
"History","Pacific Peoples","2015","0","0.161","0.839","0","5","26","31","40",""
"History","Pacific Peoples","2016","0","0.308","0.692","0","4","9","13","24","Small Cohort"
"History","Pacific Peoples","2017","0.071","0.107","0.821","2","3","23","28","41",""
"History","Pacific Peoples","2018","0","0.167","0.833","0","7","35","42","56",""
"History","Pacific Peoples","2019","0","0.042","0.958","0","1","23","24","47",""
"History","Pacific Peoples","2020","0","0.08","0.92","0","2","23","25","41",""
"History","Pacific Peoples","2021","0","0.059","0.941","0","1","16","17","41",""
